time,action,ticker,price,reason,fee,holding_bars
2023-11-14 10:30:00-05:00,ENTER,TQQQ,21.5049991607666,QQQ_BULL_CONFIRM,2.4987506246876565,0
2023-11-14 10:30:00-05:00,STATE,TQQQ,,CASH->TQQQ: QQQ_BULL_CONFIRM,0.0,0
2023-11-16 11:30:00-05:00,EXIT,TQQQ,21.225000381469727,LONG_CONTEXT_LOST,2.4662164627725858,15
2023-11-16 11:30:00-05:00,STATE,CASH,,TQQQ->CASH: LONG_CONTEXT_LOST,0.0,0
2023-11-20 15:30:00-05:00,ENTER,TQQQ,22.424999237060547,QQQ_BULL_CONFIRM,2.463751478801798,0
2023-11-20 15:30:00-05:00,STATE,TQQQ,,CASH->TQQQ: QQQ_BULL_CONFIRM,0.0,0
2023-11-30 10:30:00-05:00,EXIT,TQQQ,21.805500030517578,LONG_CONTEXT_LOST,2.395689399062042,40
2023-11-30 10:30:00-05:00,STATE,CASH,,TQQQ->CASH: LONG_CONTEXT_LOST,0.0,0
2023-12-12 10:30:00-05:00,ENTER,TQQQ,23.0893497467041,QQQ_BULL_CONFIRM,2.3932949069090568,0
2023-12-12 10:30:00-05:00,STATE,TQQQ,,CASH->TQQQ: QQQ_BULL_CONFIRM,0.0,0
2023-12-20 15:30:00-05:00,EXIT,TQQQ,24.375,LONG_CONTEXT_LOST,2.5265572220904806,47
2023-12-20 15:30:00-05:00,STATE,CASH,,TQQQ->CASH: LONG_CONTEXT_LOST,0.0,0
2023-12-26 15:30:00-05:00,ENTER,SOXL,32.459999084472656,SEMI_BULL_CONFIRM,2.524031927515677,0
2023-12-26 15:30:00-05:00,STATE,SOXL,,CASH->SOXL: SEMI_BULL_CONFIRM,0.0,0
2023-12-29 11:30:00-05:00,EXIT,SOXL,30.920000076293945,LONG_CONTEXT_LOST,2.4042843374165477,17
2023-12-29 11:30:00-05:00,STATE,CASH,,SOXL->CASH: LONG_CONTEXT_LOST,0.0,0
2024-01-17 09:30:00-05:00,ENTER,SOXL,27.979999542236328,SEMI_BULL_CONFIRM,2.4018812546205295,0
2024-01-17 09:30:00-05:00,STATE,SOXL,,CASH->SOXL: SEMI_BULL_CONFIRM,0.0,0
2024-01-17 10:30:00-05:00,EXIT,SOXL,27.469999313354492,LONG_CONTEXT_LOST,2.358101411531027,1
2024-01-17 10:30:00-05:00,STATE,CASH,,SOXL->CASH: LONG_CONTEXT_LOST,0.0,0
2024-01-18 15:30:00-05:00,ENTER,SOXL,31.139999389648438,SEMI_BULL_CONFIRM,2.355744488580971,0
2024-01-18 15:30:00-05:00,STATE,SOXL,,CASH->SOXL: SEMI_BULL_CONFIRM,0.0,0
2024-01-25 14:30:00-05:00,EXIT,SOXL,36.9098014831543,LONG_CONTEXT_LOST,2.792230671894696,34
2024-01-25 14:30:00-05:00,STATE,CASH,,SOXL->CASH: LONG_CONTEXT_LOST,0.0,0
2024-02-09 10:30:00-05:00,ENTER,SOXL,38.58000183105469,SEMI_BULL_CONFIRM,2.7894398366404287,0
