ticker,entry_time,entry_price,entry_reason,exit_time,exit_price,exit_reason,holding_bars,gross_return_pct
TQQQ,2023-11-14 10:30:00-05:00,21.5049991607666,QQQ_BULL_CONFIRM,2023-11-16 11:30:00-05:00,21.225000381469727,LONG_CONTEXT_LOST,15,-0.0130201715984114
TQQQ,2023-11-20 15:30:00-05:00,22.424999237060547,QQQ_BULL_CONFIRM,2023-11-30 10:30:00-05:00,21.805500030517578,LONG_CONTEXT_LOST,40,-0.02762538361736744
TQQQ,2023-12-12 10:30:00-05:00,23.0893497467041,QQQ_BULL_CONFIRM,2023-12-20 15:30:00-05:00,24.375,LONG_CONTEXT_LOST,47,0.055681527084989524
SOXL,2023-12-26 15:30:00-05:00,32.459999084472656,SEMI_BULL_CONFIRM,2023-12-29 11:30:00-05:00,30.920000076293945,LONG_CONTEXT_LOST,17,-0.04744297756050686
SOXL,2024-01-17 09:30:00-05:00,27.979999542236328,SEMI_BULL_CONFIRM,2024-01-17 10:30:00-05:00,27.469999313354492,LONG_CONTEXT_LOST,1,-0.01822731369641306
SOXL,2024-01-18 15:30:00-05:00,31.139999389648438,SEMI_BULL_CONFIRM,2024-01-25 14:30:00-05:00,36.9098014831543,LONG_CONTEXT_LOST,34,0.18528587689773235
SOXL,2024-02-09 10:30:00-05:00,38.58000183105469,SEMI_BULL_CONFIRM,2024-02-13 10:30:00-05:00,37.13990020751953,LONG_CONTEXT_LOST,14,-0.037327671207520674
SOXL,2024-02-26 10:30:00-05:00,41.290000915527344,SEMI_BULL_CONFIRM,2024-02-28 10:30:00-05:00,39.43000030517578,LONG_CONTEXT_LOST,14,-0.045047240714690795
SOXL,2024-03-04 10:30:00-05:00,50.0099983215332,SEMI_BULL_CONFIRM,2024-03-05 13:30:00-05:00,46.349998474121094,LONG_CONTEXT_LOST,10,-0.07318536233255968
SOXL,2024-03-07 10:30:00-05:00,54.13999938964844,SEMI_BULL_CONFIRM,2024-03-08 12:30:00-05:00,51.54999923706055,LONG_CONTEXT_LOST,9,-0.04783893944932516
TQQQ,2024-05-06 10:30:00-04:00,28.78499984741211,QQQ_BULL_CONFIRM,2024-05-17 14:30:00-04:00,31.139999389648438,LONG_CONTEXT_LOST,67,0.08181342903317934
TQQQ,2024-06-06 09:30:00-04:00,33.869998931884766,QQQ_BULL_CONFIRM,2024-06-20 12:30:00-04:00,37.70000076293945,LONG_CONTEXT_LOST,66,0.11307947894409809
TQQQ,2024-07-08 11:30:00-04:00,41.084999084472656,QQQ_BULL_CONFIRM,2024-07-11 11:30:00-04:00,40.29499816894531,LONG_CONTEXT_LOST,21,-0.019228451579202055
TQQQ,2024-08-13 10:30:00-04:00,30.8700008392334,QQQ_BULL_CONFIRM,2024-08-22 14:30:00-04:00,34.60499954223633,LONG_CONTEXT_LOST,53,0.12099120834023536
TQQQ,2024-09-26 10:30:00-04:00,36.6349983215332,QQQ_BULL_CONFIRM,2024-09-30 14:30:00-04:00,35.28485107421875,LONG_CONTEXT_LOST,18,-0.03685402781964553
