regime,status,5m1t_pnl,5m1t_pf,5m1t_dd,trades,all_years_positive,all_costs_positive,all_orders_positive,top3_exclusion_positive,top3_exclusion_pnl,5m3t_pnl,20m3t_pnl
FAST,RESEARCH_ONLY,567141.2930000003,3.0413464431863537,0.02725979372595566,29,False,True,True,True,30677.744999999937,463742.9615,1611572.7684999993
STRUCTURAL,RESEARCH_ONLY,397103.79250000033,2.303639265810905,0.04197836441738323,28,False,True,True,False,-76355.44999999978,360126.3424999998,949900.1225000008
