regime,order_policy,ending_equity,return_pct,trades,wins,losses,pf,max_dd_pct,commissions,taxes,pnl,trade_trades,trade_pnl,trade_pf,trade_winrate,trade_top1_share,trade_top3_share,trade_residual_top1,trade_residual_top3,rejects
FAST,ASC,5567141.293,0.11342825859999994,29,14,15,3.0413464431863537,0.02725979372595566,7685.499000000001,45733.208,567141.2930000003,29,567141.2930000003,3.0413464431863537,0.4827586206896552,0.39894137977357974,0.6562109237359667,232048.39300000016,15953.493000000017,35
FAST,DESC,5586007.5430000005,0.1172015086,30,15,15,3.109252894028691,0.02725979372595566,7778.649,46373.808,586007.5430000003,30,586007.5430000003,3.109252894028691,0.5,0.4058940657343973,0.6676472617748626,250914.64300000016,34819.74300000002,34
FAST,HASH_0,5567141.293,0.11342825859999994,29,14,15,3.0413464431863537,0.02725979372595566,7685.499000000001,45733.208,567141.2930000003,29,567141.2930000003,3.0413464431863537,0.4827586206896552,0.39894137977357974,0.6562109237359667,232048.39300000016,15953.493000000017,35
FAST,HASH_1,5567141.293,0.11342825859999994,29,14,15,3.0413464431863537,0.02725979372595566,7685.499000000001,45733.208,567141.2930000003,29,567141.2930000003,3.0413464431863537,0.4827586206896552,0.39894137977357974,0.6562109237359667,232048.39300000016,15953.493000000017,35
STRUCTURAL,ASC,5397103.7925,0.07942075850000019,28,10,18,2.303639265810905,0.04197836441738323,7336.177500000001,43210.03,397103.79250000033,28,397103.79250000033,2.303639265810905,0.35714285714285715,0.4892273765512635,0.7125332829213575,62010.89250000019,-90940.93999999983,36
STRUCTURAL,DESC,5402339.1425,0.0804678285,28,10,18,2.3439242022328663,0.040957908836974144,7304.8275,43006.03,402339.1425000003,28,402339.1425000003,2.3439242022328663,0.35714285714285715,0.4683896221422447,0.7008056362616637,94094.24250000017,-58857.58999999985,36
STRUCTURAL,HASH_0,5402339.1425,0.0804678285,28,10,18,2.3439242022328663,0.040957908836974144,7304.8275,43006.03,402339.1425000003,28,402339.1425000003,2.3439242022328663,0.35714285714285715,0.4683896221422447,0.7008056362616637,94094.24250000017,-58857.58999999985,36
STRUCTURAL,HASH_1,5397103.7925,0.07942075850000019,28,10,18,2.303639265810905,0.04197836441738323,7336.177500000001,43210.03,397103.79250000033,28,397103.79250000033,2.303639265810905,0.35714285714285715,0.4892273765512635,0.7125332829213575,62010.89250000019,-90940.93999999983,36
