regime,ending_equity,return_pct,trades,wins,losses,pf,max_dd_pct,commissions,taxes,pnl,trade_trades,trade_pnl,trade_pf,trade_winrate,trade_top1_share,trade_top3_share,trade_residual_top1,trade_residual_top3,rejects
FAST,5567141.293,0.11342825859999994,29,14,15,3.0413464431863537,0.02725979372595566,7685.499000000001,45733.208,567141.2930000003,29,567141.2930000003,3.0413464431863537,0.4827586206896552,0.39894137977357974,0.6562109237359667,232048.39300000016,15953.493000000017,35
STRUCTURAL,5397103.7925,0.07942075850000019,28,10,18,2.303639265810905,0.04197836441738323,7336.177500000001,43210.03,397103.79250000033,28,397103.79250000033,2.303639265810905,0.35714285714285715,0.4892273765512635,0.7125332829213575,62010.89250000019,-90940.93999999983,36
