regime,excluded_top3,ending_equity,return_pct,trades,wins,losses,pf,max_dd_pct,commissions,taxes,pnl,trade_trades,trade_pnl,trade_pf,trade_winrate,trade_top1_share,trade_top3_share,trade_residual_top1,trade_residual_top3,rejects
FAST,"000810,006400,012330",5030677.745,0.006135549000000129,24,9,15,1.1239655350157418,0.02845963018182407,5945.741999999999,34616.513,30677.744999999937,24,30677.744999999937,1.1239655350157418,0.375,0.26694660848961704,0.6777041095958972,-42502.25000000006,-155106.1600000001,32
STRUCTURAL,"006400,012330,055550",4923644.550000001,-0.01527108999999982,24,7,17,0.7327176862557848,0.04117948975523689,5873.445,33482.005000000005,-76355.44999999978,24,-76355.44999999978,0.7327176862557848,0.2916666666666667,0.3297007196917686,0.8431564427893992,-140918.79999999987,-241465.80999999988,33
