Datetime,breadth20,breadth120,breadth200,coverage20,coverage120,coverage200,ew_index,ew_ema5,ew_ema20,ew_ema120,ew_ema200
2023-08-21 12:00:00+09:00,0.375,,,40,0,0,0.9568556889627461,0.9555349637873647,0.9591615262697436,,
2023-08-21 13:00:00+09:00,0.325,,,40,0,0,0.9553177665151404,0.9554625646966234,0.9587954539121624,,
2023-08-21 14:00:00+09:00,0.25,,,40,0,0,0.9516170831726846,0.9541807375219772,0.9581117995560215,,
2023-08-22 09:00:00+09:00,0.525,,,40,0,0,0.9545414085275391,0.9543009611904979,0.9577717623152138,,
2023-08-22 10:00:00+09:00,0.35,,,40,0,0,0.9526566473074115,0.9537528565628025,0.9572846085049469,,
2023-08-22 11:00:00+09:00,0.475,,,40,0,0,0.9535788185741869,0.9536948438999308,0.9569316761305888,,
2023-08-22 12:00:00+09:00,0.525,,,40,0,0,0.9556885224324623,0.9543594034107746,0.9568132805402911,,
2023-08-22 13:00:00+09:00,0.4,,,40,0,0,0.9525621111253654,0.9537603059823049,0.9564084072626792,,
2023-08-22 14:00:00+09:00,0.325,,,40,0,0,0.9517086289949143,0.9530764136531746,0.9559608093324158,,
2023-08-23 09:00:00+09:00,0.5,,,40,0,0,0.9510012821088444,0.952384703138398,0.9554884734063613,,
2023-08-23 10:00:00+09:00,0.4,,,40,0,0,0.9487111930435409,0.9511601997734457,0.9548430181337118,,
2023-08-23 11:00:00+09:00,0.325,,,40,0,0,0.9487652209084183,0.9503618734851034,0.9542641803027314,,
2023-08-23 12:00:00+09:00,0.375,,,40,0,0,0.9486737817580206,0.9497991762427426,0.9537317613937113,,
2023-08-23 13:00:00+09:00,0.375,,,40,0,0,0.9491126656918896,0.9495703393924584,0.9532918475173473,,
2023-08-23 14:00:00+09:00,0.45,,,40,0,0,0.9500173946222322,0.949719357802383,0.9529799948606696,,
2023-08-24 09:00:00+09:00,0.45,,,40,0,0,0.9517976937709243,0.9504121364585636,0.9528673947568844,,
2023-08-24 10:00:00+09:00,0.5,,,40,0,0,0.9534572047667078,0.9514271592279451,0.9529235671387724,,
2023-08-24 11:00:00+09:00,0.6,,,40,0,0,0.9560868239995635,0.9529803808184847,0.953224829696943,,
2023-08-24 12:00:00+09:00,0.6,,,40,0,0,0.9554553489809767,0.9538053702059821,0.9534372601049462,,
2023-08-24 13:00:00+09:00,0.575,,,40,0,0,0.9584267349129024,0.9553458251082889,0.9539124481818944,,
2023-08-24 14:00:00+09:00,0.55,,,40,0,0,0.9580314586776368,0.9562410362980716,0.9543047348957745,,
2023-08-25 09:00:00+09:00,0.35,,,40,0,0,0.9530700274881728,0.9551840333614388,0.9541871437140982,,
2023-08-25 10:00:00+09:00,0.475,,,40,0,0,0.9555571572636901,0.9553084079955226,0.9543176211950116,,
2023-08-25 11:00:00+09:00,0.425,,,40,0,0,0.9534790815835885,0.954698632524878,0.954237760279638,,
2023-08-25 12:00:00+09:00,0.35,,,40,0,0,0.9525419463286464,0.9539797371261343,0.9540762541890674,,
2023-08-25 13:00:00+09:00,0.375,,,40,0,0,0.9526143379759082,0.953524604076059,0.9539370240735284,,
2023-08-25 14:00:00+09:00,0.45,,,40,0,0,0.9544806632471241,0.953843290466414,0.9539887992329186,,
2023-08-28 09:00:00+09:00,0.675,,,40,0,0,0.9686856742516131,0.9587907517281471,0.9553885016156514,,
2023-08-28 10:00:00+09:00,0.725,,,40,0,0,0.9693519947851432,0.9623111660804792,0.9567183581079839,,
2023-08-28 11:00:00+09:00,0.725,,,40,0,0,0.9686335068691393,0.9644186130100326,0.9578531341804749,,
2023-08-28 12:00:00+09:00,0.625,,,40,0,0,0.9677010452966258,0.9655127571055637,0.9587910304772512,,
2023-08-28 13:00:00+09:00,0.65,,,40,0,0,0.9681430627064159,0.9663895256391812,0.9596817002133622,,
2023-08-28 14:00:00+09:00,0.625,,,40,0,0,0.9690503921824275,0.9672764811535967,0.9605739565913683,,
2023-08-29 09:00:00+09:00,0.775,,,40,0,0,0.9733395075772278,0.9692974899614738,0.9617897233519264,,
2023-08-29 10:00:00+09:00,0.875,,,40,0,0,0.974168601378571,0.9709211937671729,0.9629686641163687,,
2023-08-29 11:00:00+09:00,0.825,,,40,0,0,0.9742850664506665,0.9720424846616709,0.9640464167196352,,
2023-08-29 12:00:00+09:00,0.85,,,40,0,0,0.9749594005349956,0.9730147899527792,0.9650857485115742,,
2023-08-29 13:00:00+09:00,0.825,,,40,0,0,0.9750581282674042,0.973695902724321,0.9660354989645105,,
2023-08-29 14:00:00+09:00,0.775,,,40,0,0,0.9746287654176131,0.9740068569554184,0.9668539052933773,,
2023-08-30 09:00:00+09:00,0.85,,,40,0,0,0.9781751812942827,0.9753962984017066,0.9679321220553683,,
2023-08-30 10:00:00+09:00,0.875,,,40,0,0,0.9796131293306116,0.9768019087113418,0.9690445989387247,,
2023-08-30 11:00:00+09:00,0.8,,,40,0,0,0.9773498802582479,0.9769845658936438,0.9698355781120126,,
2023-08-30 12:00:00+09:00,0.825,,,40,0,0,0.9779645899738327,0.9773112405870401,0.9706097697179001,,
