close,ma60,ret20,high20,dd20,mrs_raw,mrs,regime,date_key
366.8399963378906,,,,,,,WARMUP,2021-08-10
366.2099914550781,,,,,,,WARMUP,2021-08-11
367.5299987792969,,,,,,,WARMUP,2021-08-12
368.82000732421875,,,,,,,WARMUP,2021-08-13
368.9800109863281,,,,,,,WARMUP,2021-08-16
365.7300109863281,,,,,,,WARMUP,2021-08-17
362.2099914550781,,,,,,,WARMUP,2021-08-18
363.9599914550781,,,,,,,WARMUP,2021-08-19
367.7300109863281,,,,,,,WARMUP,2021-08-20
373.2300109863281,,,,,,,WARMUP,2021-08-23
374.3699951171875,,,,,,,WARMUP,2021-08-24
374.79998779296875,,,,,,,WARMUP,2021-08-25
372.4200134277344,,,,,,,WARMUP,2021-08-26
376.0400085449219,,,,,,,WARMUP,2021-08-27
380.260009765625,,,,,,,WARMUP,2021-08-30
379.95001220703125,,,,,,,WARMUP,2021-08-31
380.5799865722656,,,,,,,WARMUP,2021-09-01
380.3999938964844,,,,,,,WARMUP,2021-09-02
381.57000732421875,,,,,,,WARMUP,2021-09-03
382.1099853515625,,,382.1099853515625,0.0,,,WARMUP,2021-09-07
380.7799987792969,,0.03800022511331158,382.1099853515625,-0.0034806380970179296,,,WARMUP,2021-09-08
379.4700012207031,,0.036208760205963975,382.1099853515625,-0.006908963994831097,,,WARMUP,2021-09-09
376.5899963378906,,0.024651042333103,382.1099853515625,-0.014446073709885376,,,WARMUP,2021-09-10
376.3299865722656,,0.020362179651076007,382.1099853515625,-0.015126531629313322,,,WARMUP,2021-09-13
375.260009765625,,0.01701988886202721,382.1099853515625,-0.017926711806903306,,,WARMUP,2021-09-14
378.04998779296875,,0.033685988123903776,382.1099853515625,-0.010625206653153363,,,WARMUP,2021-09-15
378.30999755859375,,0.04444937048489006,382.1099853515625,-0.009944748733725306,,,WARMUP,2021-09-16
373.8299865722656,,0.027118351876337154,382.1099853515625,-0.02166915049780449,,,WARMUP,2021-09-17
365.70001220703125,,-0.0055203511235104585,382.1099853515625,-0.04294567997073706,,,WARMUP,2021-09-20
366.1499938964844,,-0.01896958144157146,382.1099853515625,-0.04176805649398052,,,WARMUP,2021-09-21
369.57000732421875,,-0.012821507747879823,382.1099853515625,-0.032817718740865365,,,WARMUP,2021-09-22
372.9800109863281,,-0.004855861435208886,382.1099853515625,-0.023893577020329126,,,WARMUP,2021-09-23
373.3299865722656,,0.0024434055950857125,382.1099853515625,-0.022977674271502657,,,WARMUP,2021-09-24
370.3500061035156,,-0.015131375151871684,382.1099853515625,-0.030776424848534267,,,WARMUP,2021-09-27
359.8699951171875,,-0.05362124368798338,382.1099853515625,-0.05820311189699212,,,WARMUP,2021-09-28
359.2799987792969,,-0.054401928579150716,382.1099853515625,-0.05974716036604166,,,WARMUP,2021-09-29
357.9599914550781,,-0.059435587564435344,382.1099853515625,-0.06320168229643364,,,WARMUP,2021-09-30
360.17999267578125,,-0.05315457819435576,382.1099853515625,-0.0573918335465754,,,WARMUP,2021-10-01
352.6199951171875,,-0.07587077509064422,382.1099853515625,-0.07717670661561638,,,WARMUP,2021-10-04
357.3800048828125,,-0.06471953473290426,380.7799987792969,-0.06145279156336991,,,WARMUP,2021-10-05
359.6700134277344,,-0.055438797781492744,379.4700012207031,-0.052178005453065834,,,WARMUP,2021-10-06
362.9700012207031,,-0.04348169801808244,378.30999755859375,-0.04054874689246013,,,WARMUP,2021-10-07
361.1600036621094,,-0.04097292234480088,378.30999755859375,-0.045333176514395834,,,WARMUP,2021-10-08
358.3900146484375,,-0.04767085420758299,378.30999755859375,-0.05265518500359212,,,WARMUP,2021-10-11
357.1400146484375,,-0.048286507076798935,378.30999755859375,-0.055959353563944325,,,WARMUP,2021-10-12
360.0,,-0.04774497652636733,378.30999755859375,-0.04839945461858397,,,WARMUP,2021-10-13
366.6300048828125,,-0.030874131667567695,373.8299865722656,-0.019260043196297483,,,WARMUP,2021-10-14
368.94000244140625,,-0.013080770153557686,373.3299865722656,-0.011758991478734604,,,WARMUP,2021-10-15
372.6499938964844,,0.019004597914857646,373.3299865722656,-0.001821425281222644,,,WARMUP,2021-10-18
375.4700012207031,,0.025454069314701844,375.4700012207031,0.0,,,WARMUP,2021-10-19
374.9800109863281,,0.014638643707261867,375.4700012207031,-0.0013050050144671754,,,WARMUP,2021-10-20
377.2699890136719,,0.011501897959622864,377.2699890136719,0.0,,,WARMUP,2021-10-21
374.1000061035156,,0.002062570805843711,377.2699890136719,-0.008402425325279128,,,WARMUP,2021-10-22
377.92999267578125,,0.020467089097730318,377.92999267578125,0.0,,,WARMUP,2021-10-25
379.1199951171875,,0.05349153933695261,379.1199951171875,0.0,,,WARMUP,2021-10-26
380.0,,0.05767090094383809,380.0,0.0,,,WARMUP,2021-10-27
384.2200012207031,,0.07336018100481057,384.2200012207031,0.0,,,WARMUP,2021-10-28
386.1099853515625,,0.07199176301589394,386.1099853515625,0.0,,,WARMUP,2021-10-29
387.42999267578125,,0.09871816130853617,387.42999267578125,0.0,,,WARMUP,2021-11-01
389.04998779296875,371.51599985758463,0.08861710917638232,389.04998779296875,0.0,3.0,,WARMUP,2021-11-02
393.17999267578125,371.9549997965495,0.09316867683432761,393.17999267578125,0.0,3.0,3.0,BULL_STRONG,2021-11-03
398.2200012207031,372.4884999593099,0.09711546376133251,398.2200012207031,0.0,3.0,3.0,BULL_STRONG,2021-11-04
398.6000061035156,373.00633341471354,0.1036659709319141,398.6000061035156,0.0,3.0,3.0,BULL_STRONG,2021-11-05
398.05999755859375,373.49366658528646,0.11068942015326644,398.6000061035156,-0.0013547630121752974,3.0,3.0,BULL_STRONG,2021-11-08
395.32000732421875,373.9326665242513,0.1069048303460618,398.6000061035156,-0.008228797614330818,3.0,3.0,BULL_STRONG,2021-11-09
389.510009765625,374.32899983723956,0.0819722493489583,398.6000061035156,-0.022804807322381104,3.0,3.0,BULL_STRONG,2021-11-10
390.5899963378906,374.8019999186198,0.06535196556740241,398.6000061035156,-0.020095357859941432,3.0,3.0,BULL_STRONG,2021-11-11
394.70001220703125,375.31433359781903,0.06982167722437782,398.6000061035156,-0.009784229394797284,3.0,3.0,BULL_STRONG,2021-11-12
394.6099853515625,375.7623331705729,0.05892926825373368,398.6000061035156,-0.010010087031752102,3.0,3.0,BULL_STRONG,2021-11-15
397.4200134277344,376.1654998779297,0.05846009570849553,398.6000061035156,-0.0029603428442367408,3.0,3.0,BULL_STRONG,2021-11-16
397.6300048828125,376.55316670735675,0.060403203458517796,398.6000061035156,-0.0024335203358005764,3.0,3.0,BULL_STRONG,2021-11-17
401.75,377.00233357747396,0.06488724706231808,401.75,0.0,3.0,3.0,BULL_STRONG,2021-11-18
403.989990234375,377.5284998575846,0.0798983791585095,403.989990234375,0.0,3.0,3.0,BULL_STRONG,2021-11-19
399.29998779296875,377.9161661783854,0.05654485098122497,403.989990234375,-0.01160920457134429,3.0,3.0,BULL_STRONG,2021-11-22
397.4800109863281,378.20316619873046,0.048427980865175524,403.989990234375,-0.016114209276002378,3.0,3.0,BULL_STRONG,2021-11-23
398.760009765625,378.5166661580404,0.049368446751644646,403.989990234375,-0.012945816963721879,3.0,3.0,BULL_STRONG,2021-11-24
391.20001220703125,378.69366658528645,0.01816670387838215,403.989990234375,-0.031659145861321014,3.0,3.0,BULL_STRONG,2021-11-26
399.69000244140625,379.0151667277018,0.03517136982996916,403.989990234375,-0.010643797858640336,3.0,3.0,BULL_STRONG,2021-11-29
393.82000732421875,379.2193333943685,0.01649334013689785,403.989990234375,-0.025173848748718086,3.0,3.0,BULL_STRONG,2021-11-30
