ticker,strategy,scheme,mrs_v2,regime_v2,signal_time,entry_time,entry_i,signal_i,planned_seed,reserved_risk,risk_pct_first,regime_risk_mult,dd_mult_at_entry,equity_at_entry,mtm_dd_at_entry,first_entry,structural_stop,active_stop,common_one_r,common_target,anchor,atr,box_high,shares,buy_notional,sell_notional,fees,cash_out,cash_in,partial_taken,added30,added50,pending_confirm50,confirm50_skip,last_mark,exit_time,exit_price,exit_reason,status,pnl,cash_after_exit,actual_capital_used,fill_count,fill_detail,event_detail,confirm_bar_time
GILD,C,S3,3,BULL_STRONG,2023-11-08 14:30:00-05:00,2023-11-08 15:30:00-05:00,293,292,1000.0,42.79732140830335,0.04279732140830335,1.0,1.0,5000.0,0.0,78.23500061035156,74.88675214385154,74.88675214385154,81.58324907685159,84.93149754335161,78.23500061035156,0.8129767761563615,,0.0,500.0,480.10114352995845,0.49005057176497924,500.25,479.86109295819347,False,True,False,False,,75.72000122070312,2023-11-09 15:30:00+00:00,74.88675214385154,stop,LOSS,-20.388907041806533,4979.611092958194,500.0,2,"[{""time"": ""2023-11-08 20:30:00+00:00"", ""price"": 78.23500061035156, ""fraction"": 0.2, ""shares"": 2.556400568028337, ""reason"": ""starter20""}, {""time"": ""2023-11-08 20:30:00+00:00"", ""price"": 77.82851222227337, ""fraction"": 0.3, ""shares"": 3.8546284829808735, ""reason"": ""adverse30""}]","[{""time"": ""2023-11-09 15:30:00+00:00"", ""price"": 74.88675214385154, ""shares"": 6.41102905100921, ""reason"": ""stop""}]",
LLY,C,S3,3,BULL_STRONG,2023-11-13 11:30:00-05:00,2023-11-13 12:30:00-05:00,311,310,944.2581930550929,49.796110929581936,0.05273569379204378,1.0,1.0,4979.611092958194,0.004077781408361236,608.2999877929688,576.2208659030148,576.2208659030148,640.3791096829227,672.4582315728767,608.2999877929688,7.716634044190942,,0.0,944.2581930550929,916.6637495245553,0.9304609712898241,944.7303221516204,916.205417649793,False,True,True,False,,588.02001953125,2023-11-17 15:30:00+00:00,592.27001953125,time,TIME,-28.524904501827336,4456.342265925149,944.2581930550929,3,"[{""time"": ""2023-11-13 17:30:00+00:00"", ""price"": 608.2999877929688, ""fraction"": 0.2, ""shares"": 0.31045806740225207, ""reason"": ""starter20""}, {""time"": ""2023-11-14 14:30:00+00:00"", ""price"": 604.4416707708733, ""fraction"": 0.3, ""shares"": 0.4686597096379053, ""reason"": ""adverse30""}, {""time"": ""2023-11-14 15:30:00+00:00"", ""price"": 614.2756958007812, ""fraction"": 0.5, ""shares"": 0.7685947852976182, ""reason"": ""confirm50_next_open""}]","[{""time"": ""2023-11-17 15:30:00+00:00"", ""price"": 592.27001953125, ""shares"": 1.5477125623377757, ""reason"": ""time""}]",2023-11-14 14:30:00+00:00
AMZN,C,S3,3,BULL_STRONG,2023-11-17 09:30:00-05:00,2023-11-17 10:30:00-05:00,337,336,988.9933483882386,36.52526363421696,0.0369317586349212,1.0,1.0,4944.966741941193,0.011006651611761509,144.56170654296875,139.22278848907152,139.22278848907152,149.90062459686598,155.2395426507632,144.56170654296875,1.1888631335576954,,0.0,988.9933483882385,1004.4879456523116,0.9967406470202751,989.4878450624326,1003.9857016794855,False,True,True,False,,146.72999572753906,2023-11-22 20:30:00+00:00,146.72000122070312,time,TIME,14.49785661705289,4782.646379617488,988.9933483882385,3,"[{""time"": ""2023-11-17 15:30:00+00:00"", ""price"": 144.56170654296875, ""fraction"": 0.2, ""shares"": 1.368264628356854, ""reason"": ""starter20""}, {""time"": ""2023-11-17 15:30:00+00:00"", ""price"": 143.9672749761899, ""fraction"": 0.3, ""shares"": 2.0608711567649043, ""reason"": ""adverse30""}, {""time"": ""2023-11-17 18:30:00+00:00"", ""price"": 144.7100067138672, ""fraction"": 0.5, ""shares"": 3.4171560448606693, ""reason"": ""confirm50_next_open""}]","[{""time"": ""2023-11-22 20:30:00+00:00"", ""price"": 146.72000122070312, ""shares"": 6.846291829982428, ""reason"": ""time""}]",2023-11-17 17:30:00+00:00
AMAT,C,S3,3,BULL_STRONG,2023-11-20 09:30:00-05:00,2023-11-20 10:30:00-05:00,344,343,914.2312116738175,49.54550304027303,0.054193624553205526,1.0,1.0,4954.550304027303,0.009089939194539376,149.5800018310547,141.47371937115471,141.47371937115471,157.68628429095466,165.79256675085463,149.5800018310547,1.86513228100615,,0.0,182.8462423347635,185.26658445394807,0.1840564133943558,182.9376654559309,185.1739511617211,False,False,False,False,,151.13999938964844,2023-11-27 17:30:00+00:00,151.55999755859375,time,TIME,2.236285705790209,4967.820330779208,182.8462423347635,1,"[{""time"": ""2023-11-20 15:30:00+00:00"", ""price"": 149.5800018310547, ""fraction"": 0.2, ""shares"": 1.222397647389267, ""reason"": ""starter20""}]","[{""time"": ""2023-11-27 17:30:00+00:00"", ""price"": 151.55999755859375, ""shares"": 1.222397647389267, ""reason"": ""time""}]",
MU,C,S3,3,BULL_STRONG,2023-11-28 15:30:00-05:00,2023-11-29 09:30:00-05:00,381,380,993.5640661558417,40.479049244188666,0.04074125728077557,1.0,1.0,4967.820330779208,0.006435933844158304,77.44999694824219,74.29458669617857,74.29458669617857,80.6054072003058,83.76081745236942,77.44999694824219,0.6616495531763187,,0.0,496.78203307792086,477.76906780122835,0.4872755504395746,497.0304240944598,477.53018326732774,False,True,False,False,,75.41999816894531,2023-12-04 14:30:00+00:00,74.29458669617857,stop,LOSS,-19.500240827132075,3963.2579961176125,496.78203307792086,2,"[{""time"": ""2023-11-29 14:30:00+00:00"", ""price"": 77.44999694824219, ""fraction"": 0.2, ""shares"": 2.565691685746133, ""reason"": ""starter20""}, {""time"": ""2023-11-29 15:30:00+00:00"", ""price"": 77.11917217165403, ""fraction"": 0.3, ""shares"": 3.865046932600646, ""reason"": ""adverse30""}]","[{""time"": ""2023-12-04 14:30:00+00:00"", ""price"": 74.29458669617857, ""shares"": 6.430738618346779, ""reason"": ""stop""}]",
PANW,C,S3,3,BULL_STRONG,2023-12-04 13:30:00-05:00,2023-12-04 14:30:00-05:00,407,406,991.8117680415904,16.510734574798477,0.01664704443606291,1.0,1.0,4959.058840207952,0.008188231958409564,143.41000366210938,141.0226509585703,141.0226509585703,145.79735636564845,148.18470906918753,143.41000366210938,1.487399095406271,,0.0,495.90588402079527,489.1757492162155,0.49254081661850535,496.1538369628056,488.9311613416074,False,True,False,False,,141.27000427246094,2023-12-05 14:30:00+00:00,141.0226509585703,stop,LOSS,-7.222675621198221,3956.0353204964144,495.90588402079527,2,"[{""time"": ""2023-12-04 19:30:00+00:00"", ""price"": 143.41000366210938, ""fraction"": 0.2, ""shares"": 1.3831835195798672, ""reason"": ""starter20""}, {""time"": ""2023-12-04 19:30:00+00:00"", ""price"": 142.66630411440624, ""fraction"": 0.3, ""shares"": 2.0855907935616846, ""reason"": ""adverse30""}]","[{""time"": ""2023-12-05 14:30:00+00:00"", ""price"": 141.0226509585703, ""shares"": 3.4687743131415516, ""reason"": ""stop""}]",
UNH,C,S3,3,BULL_STRONG,2023-11-29 11:30:00-05:00,2023-11-29 12:30:00-05:00,384,383,993.6415058002688,23.127001308540574,0.02327499523071384,1.0,1.0,4968.207529001344,0.006358494199731335,540.4000244140625,527.8222164231476,540.4000244140625,552.9778324049774,565.5556403958924,540.4000244140625,3.311231963659968,,0.0,993.6415058002688,1009.6253635714489,1.0016334346858589,994.1383265531689,1009.1205508896633,True,True,True,False,,548.9600219726562,2023-12-05 15:30:00+00:00,548.469970703125,time,TIME,14.982224336494369,4458.530597549551,993.6415058002688,3,"[{""time"": ""2023-11-29 17:30:00+00:00"", ""price"": 540.4000244140625, ""fraction"": 0.2, ""shares"": 0.36774295370457866, ""reason"": ""starter20""}, {""time"": ""2023-11-29 17:30:00+00:00"", ""price"": 538.7444084322325, ""fraction"": 0.3, ""shares"": 0.5533095974165958, ""reason"": ""adverse30""}, {""time"": ""2023-11-30 15:30:00+00:00"", ""price"": 544.6300048828125, ""fraction"": 0.5, ""shares"": 0.9122170068596107, ""reason"": ""confirm50_next_open""}]","[{""time"": ""2023-11-30 20:30:00+00:00"", ""price"": 552.9778324049774, ""shares"": 0.9166347789903926, ""reason"": ""partial_1R""}, {""time"": ""2023-12-05 15:30:00+00:00"", ""price"": 548.469970703125, ""shares"": 0.9166347789903926, ""reason"": ""time""}]",2023-11-30 14:30:00+00:00
TSLA,C,S3,3,BULL_STRONG,2023-12-01 11:30:00-05:00,2023-12-01 12:30:00-05:00,398,397,994.600781844719,35.243773957325814,0.03543509576973992,1.0,1.0,4973.003909223595,0.005399218155281105,239.47500610351562,230.9891863277785,230.9891863277785,247.96082587925275,256.4466456549899,239.47500610351562,3.643230274823464,,0.0,497.3003909223595,505.0011121324337,0.5011507515273966,497.5490411178207,504.7486115763675,False,True,False,False,,240.0240936279297,2023-12-07 15:30:00+00:00,242.07000732421875,time,TIME,7.199570458546816,4963.279209125919,497.3003909223595,2,"[{""time"": ""2023-12-01 17:30:00+00:00"", ""price"": 239.47500610351562, ""fraction"": 0.2, ""shares"": 0.8306510128366318, ""reason"": ""starter20""}, {""time"": ""2023-12-01 18:30:00+00:00"", ""price"": 237.6533909661039, ""fraction"": 0.3, ""shares"": 1.255526939213643, ""reason"": ""adverse30""}]","[{""time"": ""2023-12-07 15:30:00+00:00"", ""price"": 242.07000732421875, ""shares"": 2.086177952050275, ""reason"": ""time""}]",
PANW,C,S3,3,BULL_STRONG,2023-12-15 09:30:00-05:00,2023-12-15 10:30:00-05:00,466,465,992.6558418251839,33.956124115186924,0.034207348291782805,1.0,1.0,4963.279209125919,0.007344158174816262,153.8612518310547,148.5980664010601,148.5980664010601,159.12443726104928,164.38762269104387,153.8612518310547,1.861762716072123,,0.0,992.6558418251839,970.9295816928573,0.9817927117590206,993.1521697460964,970.4441169020108,False,True,True,False,,150.3800048828125,2023-12-20 20:30:00+00:00,150.44500732421875,time,TIME,-22.708052844085614,4940.571156281833,992.6558418251839,3,"[{""time"": ""2023-12-15 15:30:00+00:00"", ""price"": 153.8612518310547, ""fraction"": 0.2, ""shares"": 1.2903259657800739, ""reason"": ""starter20""}, {""time"": ""2023-12-15 15:30:00+00:00"", ""price"": 152.93037047301863, ""fraction"": 0.3, ""shares"": 1.9472701964067707, ""reason"": ""adverse30""}, {""time"": ""2023-12-15 17:30:00+00:00"", ""price"": 154.3249969482422, ""fraction"": 0.5, ""shares"": 3.216121371957981, ""reason"": ""confirm50_next_open""}]","[{""time"": ""2023-12-20 20:30:00+00:00"", ""price"": 150.44500732421875, ""shares"": 6.453717534144825, ""reason"": ""time""}]",2023-12-15 16:30:00+00:00
AMD,C,S3,3,BULL_STRONG,2023-12-21 10:30:00-05:00,2023-12-21 11:30:00-05:00,495,494,988.1142312563667,30.579735837289103,0.030947571515499383,1.0,1.0,4940.571156281833,0.01188576874363334,139.30999755859375,134.99869144632513,139.30999755859375,143.62130367086237,147.932609783131,139.30999755859375,1.4852146834494528,,0.0,197.62284625127336,206.79676700246011,0.20220980662686674,197.72165767439898,206.69336861895889,True,False,False,False,,146.8000030517578,2023-12-28 14:30:00+00:00,147.932609783131,target,WIN,8.971710944559902,3721.9903406811354,197.62284625127336,1,"[{""time"": ""2023-12-21 16:30:00+00:00"", ""price"": 139.30999755859375, ""fraction"": 0.2, ""shares"": 1.4185833731577897, ""reason"": ""starter20""}]","[{""time"": ""2023-12-26 19:30:00+00:00"", ""price"": 143.62130367086237, ""shares"": 0.7092916865788949, ""reason"": ""partial_1R""}, {""time"": ""2023-12-28 14:30:00+00:00"", ""price"": 147.932609783131, ""shares"": 0.7092916865788949, ""reason"": ""target""}]",
TSLA,C,S3,3,BULL_STRONG,2023-12-21 14:30:00-05:00,2023-12-21 15:30:00-05:00,499,498,988.2533496168677,32.279495327935216,0.03266317826339727,1.0,1.0,4941.266748084338,0.011746650383132273,254.55999755859375,246.24525897960743,254.55999755859375,262.87473613758004,271.1894747165664,254.55999755859375,3.0189640815702425,,0.0,494.1266748084339,505.40629959637425,0.4997664872024041,494.3737381458381,505.1535964465761,True,True,False,False,,256.7052917480469,2023-12-28 18:30:00+00:00,256.010009765625,time,TIME,10.779858300737999,3971.225605699994,494.1266748084339,2,"[{""time"": ""2023-12-21 20:30:00+00:00"", ""price"": 254.55999755859375, ""fraction"": 0.2, ""shares"": 0.7764404141223289, ""reason"": ""starter20""}, {""time"": ""2023-12-22 18:30:00+00:00"", ""price"": 253.05051551780863, ""fraction"": 0.3, ""shares"": 1.1716079861698427, ""reason"": ""adverse30""}]","[{""time"": ""2023-12-27 14:30:00+00:00"", ""price"": 262.87473613758004, ""shares"": 0.9740242001460858, ""reason"": ""partial_1R""}, {""time"": ""2023-12-28 18:30:00+00:00"", ""price"": 256.010009765625, ""shares"": 0.9740242001460858, ""reason"": ""time""}]",
ADP,C,S3,3,BULL_STRONG,2023-12-22 09:30:00-05:00,2023-12-22 10:30:00-05:00,424,423,988.6028184179282,19.3783802912685,0.019601785398791326,1.0,1.0,4943.014092089641,0.011397181582071814,231.27000427246094,226.7366992795346,226.7366992795346,235.80330926538727,240.3366142583136,231.27000427246094,1.533183350611605,,0.0,988.6028184179281,993.844827848057,0.9912238231329926,989.0971198271371,993.3479054341329,False,True,True,False,,232.63999938964844,2023-12-28 20:30:00+00:00,232.42999267578125,time,TIME,4.250785606995805,4964.573511134127,988.6028184179281,3,"[{""time"": ""2023-12-22 15:30:00+00:00"", ""price"": 231.27000427246094, ""fraction"": 0.2, ""shares"": 0.8549338869326503, ""reason"": ""starter20""}, {""time"": ""2023-12-22 15:30:00+00:00"", ""price"": 230.50341259715515, ""fraction"": 0.3, ""shares"": 1.286665746869896, ""reason"": ""adverse30""}, {""time"": ""2023-12-22 18:30:00+00:00"", ""price"": 231.60000610351562, ""fraction"": 0.5, ""shares"": 2.1342892753985154, ""reason"": ""confirm50_next_open""}]","[{""time"": ""2023-12-28 20:30:00+00:00"", ""price"": 232.42999267578125, ""shares"": 4.275888909201061, ""reason"": ""time""}]",2023-12-22 17:30:00+00:00
