label,period_type,period,trades,pnl,pf,winrate,top1_share,top3_share
TOP20|$5000|5BPS,year,2023,8,0.1654392392141233,1.0034307988665447,0.75,0.37329857051405757,0.8608834532111397
TOP20|$5000|5BPS,year,2024,44,299.6187632376496,2.3101069773893377,0.6136363636363636,0.2494742146739381,0.5240715912270544
TOP20|$5000|5BPS,year,2025,61,12.425084213552793,1.0255636682178613,0.4918032786885246,0.23464697779834176,0.6864631046033155
TOP20|$5000|5BPS,year,2026,21,153.90769572004353,2.6706915361273933,0.6190476190476191,0.3367357822941749,0.714142285441421
TOP20|$5000|5BPS,quarter,2023Q4,8,0.1654392392141233,1.0034307988665447,0.75,0.37329857051405757,0.8608834532111397
TOP20|$5000|5BPS,quarter,2024Q1,14,159.03212186903215,3.1550311295623454,0.7142857142857143,0.4770567527060002,0.8103275766167818
TOP20|$5000|5BPS,quarter,2024Q2,11,118.84794127410638,4.195309693867305,0.7272727272727273,0.35442429149135746,0.8837325789288729
TOP20|$5000|5BPS,quarter,2024Q3,5,99.08122604082328,inf,1.0,0.39289341616553175,0.958916969920981
TOP20|$5000|5BPS,quarter,2024Q4,14,-77.34252594631221,0.34292719815443146,0.2857142857142857,0.7977312924910052,0.9999860262770524
TOP20|$5000|5BPS,quarter,2025Q1,7,-11.352992718670748,0.7492006292033041,0.42857142857142855,0.7002316637538616,1.0
TOP20|$5000|5BPS,quarter,2025Q2,17,4.971750288784449,1.038087489793385,0.47058823529411764,0.5036152152209498,0.9109145725754708
TOP20|$5000|5BPS,quarter,2025Q3,19,-2.636587412101136,0.9843131224753005,0.47368421052631576,0.39633706714348205,0.7129628676147035
TOP20|$5000|5BPS,quarter,2025Q4,18,21.44291405554023,1.150829646943303,0.5555555555555556,0.3670645974171088,0.8017148178942303
TOP20|$5000|5BPS,quarter,2026Q1,4,-0.6594489756113262,0.9786315000649428,0.25,1.0,0.0
TOP20|$5000|5BPS,quarter,2026Q2,14,150.4144708214703,3.6720791503925065,0.7142857142857143,0.3590253742358853,0.7308747579840337
TOP20|$5000|5BPS,quarter,2026Q3,3,4.1526738741845435,1.835518220327075,0.6666666666666666,0.7164001063118839,0.45519472979036524
TOP20|$5000|10BPS,year,2023,8,-4.661760047091491,0.9060825599124348,0.75,0.3790565945172382,0.8767015446967502
TOP20|$5000|10BPS,year,2024,44,269.3785066366619,2.1321580406106957,0.5909090909090909,0.25731268031956883,0.5361885704048107
TOP20|$5000|10BPS,year,2025,60,-24.990512242988785,0.9500861638740528,0.4666666666666667,0.2465689243220999,0.7052182159548022
TOP20|$5000|10BPS,year,2026,21,140.6022706058132,2.490332682808961,0.6190476190476191,0.34041925017142083,0.7214949873582958
TOP20|$5000|10BPS,quarter,2023Q4,8,-4.661760047091491,0.9060825599124348,0.75,0.3790565945172382,0.8767015446967502
TOP20|$5000|10BPS,quarter,2024Q1,14,149.32265455739304,2.9631265068332535,0.7142857142857143,0.4854515856562987,0.8206350341540513
TOP20|$5000|10BPS,quarter,2024Q2,11,110.27849881214141,3.8251356403118506,0.7272727272727273,0.3552097399523908,0.8853649603896769
TOP20|$5000|10BPS,quarter,2024Q3,5,94.98858689363698,inf,1.0,0.39675334271957996,0.9596312248121007
TOP20|$5000|10BPS,quarter,2024Q4,14,-85.21123362650954,0.3062963121258054,0.21428571428571427,0.8221547404760773,1.0
TOP20|$5000|10BPS,quarter,2025Q1,7,-14.587339782052652,0.6880792973457205,0.42857142857142855,0.6999837885961441,1.0
TOP20|$5000|10BPS,quarter,2025Q2,17,-5.066651963664327,0.9626758890067206,0.47058823529411764,0.508903123836049,0.9125507318646465
TOP20|$5000|10BPS,quarter,2025Q3,19,-14.027183285461689,0.9186615928742569,0.42105263157894735,0.4011405966845234,0.7124676979722954
TOP20|$5000|10BPS,quarter,2025Q4,17,8.690662788189883,1.0596456747944258,0.5294117647058824,0.3784800548865456,0.8207521834173173
TOP20|$5000|10BPS,quarter,2026Q1,4,-2.8490912590478956,0.9101013407675657,0.25,1.0,0.0
TOP20|$5000|10BPS,quarter,2026Q2,14,140.16327559359522,3.435270727541845,0.7142857142857143,0.3597269125825544,0.7329576985596635
TOP20|$5000|10BPS,quarter,2026Q3,3,3.2880862712658896,1.6453429511703843,0.6666666666666666,0.7029312393890765,0.3922239741637642
TOP20|$5000|20BPS,year,2023,8,-14.305884170181912,0.7273280543657532,0.75,0.39365822256291955,0.9167333312040297
TOP20|$5000|20BPS,year,2024,44,209.5561153531662,1.8164329080827968,0.5681818181818182,0.2755492173341093,0.5644699026179189
TOP20|$5000|20BPS,year,2025,60,-94.17131938446292,0.8221482580631541,0.4666666666666667,0.27300978940575804,0.7401507156184325
TOP20|$5000|20BPS,year,2026,21,115.12521164005022,2.167633537838114,0.6190476190476191,0.34882197677834154,0.7382160994066893
TOP20|$5000|20BPS,quarter,2023Q4,8,-14.305884170181912,0.7273280543657532,0.75,0.39365822256291955,0.9167333312040297
TOP20|$5000|20BPS,quarter,2024Q1,14,130.00574011308956,2.6135703318587393,0.7142857142857143,0.5042866701868143,0.8437887032548743
TOP20|$5000|20BPS,quarter,2024Q2,11,93.31201972611532,3.186527898593064,0.7272727272727273,0.3569693084039131,0.8890476171335268
TOP20|$5000|20BPS,quarter,2024Q3,5,86.9087449421283,inf,1.0,0.40542035045067537,0.9612330174685988
TOP20|$5000|20BPS,quarter,2024Q4,14,-100.67038942816694,0.24550025416488114,0.14285714285714285,0.8681972956462315,0.9839494387611002
TOP20|$5000|20BPS,quarter,2025Q1,7,-20.921470512107163,0.5790068106558056,0.42857142857142855,0.699405610673468,1.0
TOP20|$5000|20BPS,quarter,2025Q2,17,-24.65974251343789,0.830977239820969,0.47058823529411764,0.5202406179581066,0.9160676919796082
TOP20|$5000|20BPS,quarter,2025Q3,19,-36.121181732420524,0.8009040636204549,0.42105263157894735,0.4124331950040253,0.7113005153171772
TOP20|$5000|20BPS,quarter,2025Q4,17,-12.46892462649734,0.9182236198176077,0.5294117647058824,0.39427644288763347,0.8417358754788367
TOP20|$5000|20BPS,quarter,2026Q1,4,-7.05319265624513,0.7881352341556822,0.25,1.0,0.0
TOP20|$5000|20BPS,quarter,2026Q2,14,120.54120208004457,3.009930430679115,0.7142857142857143,0.361282728436467,0.7375724909882875
TOP20|$5000|20BPS,quarter,2026Q3,3,1.6372022162507918,1.3069828089460118,0.6666666666666666,0.6692675380034241,0.2348789952283852
TOP20|$5000|30BPS,year,2023,8,-23.936320134237604,0.5710099712278252,0.625,0.4080327070387302,0.9585854668108602
TOP20|$5000|30BPS,year,2024,44,150.60216073661428,1.545085935487991,0.5681818181818182,0.298264064680675,0.5998331143243443
TOP20|$5000|30BPS,year,2025,61,-180.74895958042507,0.6704032400750866,0.45901639344262296,0.2896264007589634,0.6777555613259252
TOP20|$5000|30BPS,year,2026,22,81.0760968549941,1.9536183676719114,0.6363636363636364,0.3176487778262928,0.7438272740507004
TOP20|$5000|30BPS,quarter,2023Q4,8,-23.936320134237604,0.5710099712278252,0.625,0.4080327070387302,0.9585854668108602
TOP20|$5000|30BPS,quarter,2024Q1,14,110.82427919632465,2.303235306022441,0.7142857142857143,0.526449718516396,0.8710729730456107
TOP20|$5000|30BPS,quarter,2024Q2,11,76.57356342102486,2.655111026738532,0.7272727272727273,0.3590429551715753,0.8934259570145413
TOP20|$5000|30BPS,quarter,2024Q3,5,78.96800342844114,inf,1.0,0.4156359861681544,0.9631181330782033
TOP20|$5000|30BPS,quarter,2024Q4,14,-115.76368530917637,0.20156341353285237,0.14285714285714285,0.8896764405142542,0.9642829688844363
TOP20|$5000|30BPS,quarter,2025Q1,7,-27.079160635742994,0.4845498436952142,0.42857142857142855,0.6986859518281935,1.0
TOP20|$5000|30BPS,quarter,2025Q2,17,-43.62052985780204,0.7198128814592695,0.47058823529411764,0.5327255243423503,0.9199531837115418
TOP20|$5000|30BPS,quarter,2025Q3,19,-57.321495571507796,0.6982452315359858,0.42105263157894735,0.42672010740061367,0.7098191560754744
TOP20|$5000|30BPS,quarter,2025Q4,18,-52.727773515372235,0.6489849933374787,0.5,0.4064235054160338,0.8714640492547159
TOP20|$5000|30BPS,quarter,2026Q1,4,-9.052347489255538,0.5664411030082672,0.25,1.0,0.0
TOP20|$5000|30BPS,quarter,2026Q2,15,90.04564526123701,2.536059520688561,0.7333333333333333,0.420618577019548,0.7759704623871472
TOP20|$5000|30BPS,quarter,2026Q3,3,0.08279908301263106,1.015002341458123,0.6666666666666666,0.6221633639945898,0.014780597881745891
TOP20|$20000|5BPS,year,2023,8,0.6617569568564932,1.0034307988665447,0.75,0.37329857051405757,0.8608834532111397
TOP20|$20000|5BPS,year,2024,44,1198.4750529505984,2.3101069773893377,0.6136363636363636,0.2494742146739381,0.5240715912270544
TOP20|$20000|5BPS,year,2025,61,49.70033685421117,1.0255636682178613,0.4918032786885246,0.23464697779834176,0.6864631046033155
TOP20|$20000|5BPS,year,2026,21,615.6307828801741,2.6706915361273933,0.6190476190476191,0.3367357822941749,0.714142285441421
TOP20|$20000|5BPS,quarter,2023Q4,8,0.6617569568564932,1.0034307988665447,0.75,0.37329857051405757,0.8608834532111397
TOP20|$20000|5BPS,quarter,2024Q1,14,636.1284874761286,3.1550311295623454,0.7142857142857143,0.4770567527060002,0.8103275766167818
TOP20|$20000|5BPS,quarter,2024Q2,11,475.3917650964255,4.195309693867305,0.7272727272727273,0.35442429149135746,0.8837325789288729
TOP20|$20000|5BPS,quarter,2024Q3,5,396.3249041632931,inf,1.0,0.39289341616553175,0.958916969920981
TOP20|$20000|5BPS,quarter,2024Q4,14,-309.37010378524883,0.34292719815443146,0.2857142857142857,0.7977312924910052,0.9999860262770524
TOP20|$20000|5BPS,quarter,2025Q1,7,-45.41197087468299,0.7492006292033041,0.42857142857142855,0.7002316637538616,1.0
TOP20|$20000|5BPS,quarter,2025Q2,17,19.887001155137796,1.038087489793385,0.47058823529411764,0.5036152152209498,0.9109145725754708
TOP20|$20000|5BPS,quarter,2025Q3,19,-10.546349648404544,0.9843131224753005,0.47368421052631576,0.39633706714348205,0.7129628676147035
TOP20|$20000|5BPS,quarter,2025Q4,18,85.77165622216091,1.150829646943303,0.5555555555555556,0.3670645974171088,0.8017148178942303
TOP20|$20000|5BPS,quarter,2026Q1,4,-2.637795902445305,0.9786315000649428,0.25,1.0,0.0
TOP20|$20000|5BPS,quarter,2026Q2,14,601.6578832858812,3.6720791503925065,0.7142857142857143,0.3590253742358853,0.7308747579840337
TOP20|$20000|5BPS,quarter,2026Q3,3,16.610695496738174,1.835518220327075,0.6666666666666666,0.7164001063118839,0.45519472979036524
TOP20|$20000|10BPS,year,2023,8,-18.647040188365963,0.9060825599124348,0.75,0.3790565945172382,0.8767015446967502
TOP20|$20000|10BPS,year,2024,44,1077.5140265466475,2.1321580406106957,0.5909090909090909,0.25731268031956883,0.5361885704048107
TOP20|$20000|10BPS,year,2025,60,-99.96204897195514,0.9500861638740528,0.4666666666666667,0.2465689243220999,0.7052182159548022
TOP20|$20000|10BPS,year,2026,21,562.4090824232528,2.490332682808961,0.6190476190476191,0.34041925017142083,0.7214949873582958
TOP20|$20000|10BPS,quarter,2023Q4,8,-18.647040188365963,0.9060825599124348,0.75,0.3790565945172382,0.8767015446967502
TOP20|$20000|10BPS,quarter,2024Q1,14,597.2906182295721,2.9631265068332535,0.7142857142857143,0.4854515856562987,0.8206350341540513
TOP20|$20000|10BPS,quarter,2024Q2,11,441.11399524856563,3.8251356403118506,0.7272727272727273,0.3552097399523908,0.8853649603896769
TOP20|$20000|10BPS,quarter,2024Q3,5,379.9543475745479,inf,1.0,0.39675334271957996,0.9596312248121007
TOP20|$20000|10BPS,quarter,2024Q4,14,-340.84493450603816,0.3062963121258054,0.21428571428571427,0.8221547404760773,1.0
TOP20|$20000|10BPS,quarter,2025Q1,7,-58.34935912821061,0.6880792973457205,0.42857142857142855,0.6999837885961441,1.0
TOP20|$20000|10BPS,quarter,2025Q2,17,-20.26660785465731,0.9626758890067206,0.47058823529411764,0.508903123836049,0.9125507318646465
TOP20|$20000|10BPS,quarter,2025Q3,19,-56.108733141846756,0.9186615928742569,0.42105263157894735,0.4011405966845234,0.7124676979722954
