time,ticker,reason,mrs_v2
2023-11-17 15:30:00+00:00,PANW,TOTAL_RISK_CAP,3.0
2023-11-17 15:30:00+00:00,PLTR,TOTAL_RISK_CAP,3.0
2023-11-22 18:30:00+00:00,NVDA,TOTAL_RISK_CAP,3.0
2023-12-22 15:30:00+00:00,MU,TOTAL_RISK_CAP,3.0
2023-12-22 15:30:00+00:00,NVDA,TOTAL_RISK_CAP,3.0
2023-12-22 15:30:00+00:00,PM,TOTAL_RISK_CAP,3.0
2024-02-14 15:30:00+00:00,CRM,TOTAL_RISK_CAP,3.0
2024-02-14 15:30:00+00:00,GOOGL,TOTAL_RISK_CAP,3.0
2024-02-14 15:30:00+00:00,INTU,TOTAL_RISK_CAP,3.0
2024-02-14 15:30:00+00:00,META,TOTAL_RISK_CAP,3.0
2024-02-14 15:30:00+00:00,NVDA,TOTAL_RISK_CAP,3.0
2024-02-22 15:30:00+00:00,META,TOTAL_RISK_CAP,3.0
2024-04-24 16:30:00+00:00,PEP,MRS_CASH,-3.0
2024-04-25 17:30:00+00:00,PANW,MRS_CASH,-3.0
2024-05-01 16:30:00+00:00,GOOG,MRS_CASH,-3.0
2024-05-02 17:30:00+00:00,PANW,MRS_CASH,-5.0
2024-08-06 18:30:00+00:00,ABBV,MRS_CASH,-5.0
2024-09-10 15:30:00+00:00,UNH,MRS_CASH,-3.0
2024-10-16 14:30:00+00:00,UNH,TOTAL_RISK_CAP,3.0
2024-10-16 17:30:00+00:00,NVDA,TOTAL_RISK_CAP,3.0
2025-02-05 17:30:00+00:00,UNH,TOTAL_RISK_CAP,3.0
2025-02-12 18:30:00+00:00,PLTR,SAME_TICKER_OPEN,
2025-02-26 15:30:00+00:00,MELI,MRS_CASH,-3.0
2025-02-27 15:30:00+00:00,AAPL,MRS_CASH,-3.0
2025-03-13 14:30:00+00:00,JNJ,MRS_CASH,-5.0
2025-04-08 14:30:00+00:00,UNH,MRS_CASH,-5.0
2025-04-22 14:30:00+00:00,COST,MRS_CASH,-5.0
2025-04-30 18:30:00+00:00,BKNG,MRS_CASH,-1.0
2025-05-01 13:30:00+00:00,AVGO,MRS_CASH,-1.0
2025-05-01 14:30:00+00:00,TSLA,MRS_CASH,-1.0
2025-05-07 17:30:00+00:00,AVGO,MRS_CASH,-1.0
2025-05-07 17:30:00+00:00,MELI,MRS_CASH,-1.0
2025-05-20 14:30:00+00:00,TSLA,TOTAL_RISK_CAP,3.0
2025-05-21 14:30:00+00:00,AMD,TOTAL_RISK_CAP,3.0
2025-06-16 14:30:00+00:00,QCOM,TOTAL_RISK_CAP,3.0
2025-06-16 14:30:00+00:00,V,TOTAL_RISK_CAP,3.0
2025-07-23 19:30:00+00:00,AVGO,TOTAL_RISK_CAP,3.0
2025-08-01 16:30:00+00:00,PLTR,TOTAL_RISK_CAP,3.0
2025-08-04 14:30:00+00:00,JPM,TOTAL_RISK_CAP,1.0
2025-08-04 14:30:00+00:00,NVDA,TOTAL_RISK_CAP,1.0
2025-08-04 14:30:00+00:00,ORCL,TOTAL_RISK_CAP,1.0
2025-08-04 17:30:00+00:00,INTU,TOTAL_RISK_CAP,1.0
2025-09-26 18:30:00+00:00,TSLA,TOTAL_RISK_CAP,3.0
2025-10-08 15:30:00+00:00,MU,TOTAL_RISK_CAP,3.0
2025-10-23 13:30:00+00:00,TSLA,INVALID_STOP,3.0
2025-11-07 20:30:00+00:00,GOOGL,GROSS_CAP,3.0
2025-11-18 18:30:00+00:00,CVX,MRS_CASH,-1.0
2025-11-20 15:30:00+00:00,CSCO,MRS_CASH,-5.0
2025-11-21 19:30:00+00:00,CSCO,MRS_CASH,-5.0
2025-12-16 17:30:00+00:00,INTU,MRS_CASH,-1.0
2026-01-05 15:30:00+00:00,CRM,MRS_CASH,-3.0
2026-01-05 16:30:00+00:00,V,MRS_CASH,-3.0
2026-01-05 19:30:00+00:00,PM,MRS_CASH,-3.0
2026-01-22 15:30:00+00:00,JNJ,MRS_CASH,-3.0
2026-01-30 14:30:00+00:00,AMD,INVALID_STOP,3.0
2026-02-04 20:30:00+00:00,GOOG,MRS_CASH,-3.0
2026-02-04 20:30:00+00:00,GOOGL,MRS_CASH,-3.0
2026-02-09 17:30:00+00:00,TMUS,MRS_CASH,-3.0
