label,top_n_each_index,starting_equity,cost_bps_side,ending_equity,return_pct,max_dd,rejected_entries,trades,pnl,pf,winrate,top1_share,top3_share
TOP20|$5000|5BPS,20,5000.0,5.0,5466.116982410457,0.09322339648209144,0.028590991423819268,53,134,466.11698241046,1.5451108988093472,0.5671641791044776,0.21799522714246597,0.5106864208617514
TOP20|$5000|10BPS,20,5000.0,10.0,5380.328504952393,0.0760657009904786,0.03547158861651023,54,133,380.32850495239484,1.4309249714081769,0.5488721804511278,0.22518323471961257,0.5249657529631914
TOP20|$5000|20BPS,20,5000.0,20.0,5216.204123438582,0.043240824687716506,0.049091305420228104,54,133,216.20412343857163,1.2306844731054034,0.5413533834586466,0.23999142137468882,0.5528222508272569
TOP20|$5000|30BPS,20,5000.0,30.0,5026.9929778769465,0.005398595575389242,0.06476781546278709,52,135,26.992977876945716,1.0279574758166674,0.5333333333333333,0.21236528444090955,0.5437829364299762
TOP20|$20000|5BPS,20,20000.0,5.0,21864.46792964183,0.09322339648209144,0.028590991423819268,53,134,1864.46792964184,1.5451108988093472,0.5671641791044776,0.21799522714246597,0.5106864208617514
TOP20|$20000|10BPS,20,20000.0,10.0,21521.31401980957,0.0760657009904786,0.03547158861651023,54,133,1521.3140198095793,1.4309249714081769,0.5488721804511278,0.22518323471961257,0.5249657529631914
TOP20|$20000|20BPS,20,20000.0,20.0,20864.81649375433,0.043240824687716506,0.049091305420228104,54,133,864.8164937542865,1.2306844731054034,0.5413533834586466,0.23999142137468882,0.5528222508272569
TOP20|$20000|30BPS,20,20000.0,30.0,20107.971911507786,0.005398595575389242,0.06476781546278709,52,135,107.97191150778286,1.0279574758166674,0.5333333333333333,0.21236528444090955,0.5437829364299762
TOP30|$5000|5BPS,30,5000.0,5.0,5321.770330015321,0.06435406600306415,0.03897916156523262,89,180,321.77033001531686,1.2652369775095773,0.5333333333333333,0.17885638712055066,0.4266500380124383
TOP30|$5000|10BPS,30,5000.0,10.0,5211.985453216071,0.042397090643214064,0.04623010314399134,90,179,211.9854532160662,1.1695688752908477,0.5195530726256983,0.187204898167929,0.44395858828957807
TOP30|$5000|20BPS,30,5000.0,20.0,4979.872402820604,-0.0040255194358791435,0.06362296067172912,88,181,-20.127597179391557,0.9844356478851612,0.5082872928176796,0.21164476725838718,0.4692491262078797
TOP30|$5000|30BPS,30,5000.0,30.0,4695.340254669722,-0.0609319490660557,0.08070756160387205,117,152,-304.65974533027673,0.7444023745202165,0.47368421052631576,0.20912888482496578,0.47211101685823653
TOP30|$20000|5BPS,30,20000.0,5.0,21287.081320061283,0.06435406600306415,0.03897916156523262,89,180,1287.0813200612674,1.2652369775095773,0.5333333333333333,0.17885638712055066,0.4266500380124383
TOP30|$20000|10BPS,30,20000.0,10.0,20847.941812864283,0.042397090643214064,0.04623010314399134,90,179,847.9418128642648,1.1695688752908477,0.5195530726256983,0.187204898167929,0.44395858828957807
TOP30|$20000|20BPS,30,20000.0,20.0,19919.489611282417,-0.0040255194358791435,0.06362296067172912,88,181,-80.51038871756623,0.9844356478851612,0.5082872928176796,0.21164476725838718,0.4692491262078797
TOP30|$20000|30BPS,30,20000.0,30.0,18781.361018678886,-0.0609319490660557,0.08070756160387205,117,152,-1218.638981321107,0.7444023745202165,0.47368421052631576,0.20912888482496578,0.47211101685823653
TOP40|$5000|5BPS,40,5000.0,5.0,5321.770330015321,0.06435406600306415,0.03897916156523262,89,180,321.77033001531686,1.2652369775095773,0.5333333333333333,0.17885638712055066,0.4266500380124383
TOP40|$5000|10BPS,40,5000.0,10.0,5211.985453216071,0.042397090643214064,0.04623010314399134,90,179,211.9854532160662,1.1695688752908477,0.5195530726256983,0.187204898167929,0.44395858828957807
TOP40|$5000|20BPS,40,5000.0,20.0,4979.872402820604,-0.0040255194358791435,0.06362296067172912,88,181,-20.127597179391557,0.9844356478851612,0.5082872928176796,0.21164476725838718,0.4692491262078797
TOP40|$5000|30BPS,40,5000.0,30.0,4695.340254669722,-0.0609319490660557,0.08070756160387205,117,152,-304.65974533027673,0.7444023745202165,0.47368421052631576,0.20912888482496578,0.47211101685823653
TOP40|$20000|5BPS,40,20000.0,5.0,21287.081320061283,0.06435406600306415,0.03897916156523262,89,180,1287.0813200612674,1.2652369775095773,0.5333333333333333,0.17885638712055066,0.4266500380124383
TOP40|$20000|10BPS,40,20000.0,10.0,20847.941812864283,0.042397090643214064,0.04623010314399134,90,179,847.9418128642648,1.1695688752908477,0.5195530726256983,0.187204898167929,0.44395858828957807
TOP40|$20000|20BPS,40,20000.0,20.0,19919.489611282417,-0.0040255194358791435,0.06362296067172912,88,181,-80.51038871756623,0.9844356478851612,0.5082872928176796,0.21164476725838718,0.4692491262078797
TOP40|$20000|30BPS,40,20000.0,30.0,18781.361018678886,-0.0609319490660557,0.08070756160387205,117,152,-1218.638981321107,0.7444023745202165,0.47368421052631576,0.20912888482496578,0.47211101685823653
