date,trades,pnl,wins,losses
2026-02-10,1,62910.35999999999,1,0
2026-02-24,1,80749.25,1,0
2026-04-13,1,41647.15000000002,1,0
2026-04-15,1,335092.90000000014,1,0
2026-04-22,1,-5013.125,0,1
2026-05-11,1,-40896.45000000007,0,1
