strategy,regime_mode,add_policy,max_hold,ticker,symbol,market,name,setup_id,entry_time,starting_equity,slippage_ticks,planned_seed,reserved_risk,structural_stop,active_stop,raw_first_entry,first_entry,R,level,touches,shares,cash_out,cash_in,buy_notional,sell_notional,commissions,taxes,added20,added60,entry_i,bars_held,last_mark,mfe_R,mae_R,peak_price,trail_pct,trail_samples,trail_armed,exit_time,exit_raw_price,exit_reason,status,pnl,fill_count,fill_detail,event_detail
V032|ASC|20M|3T,FAST,DIRECT,26,008|005930.KS,005930,KOSPI,삼성전자,KRLEVEL_RR|005930|2T|3630|3634|3636,2026-02-10 03:00:00+00:00,20000000,3,2063604.5471768302,200000.0,150905.03665505044,181860.8039945657,166800.0,167100.0,16194.96334494956,166550.0,2,0,2005500.78,2252347.02,2005200.0,2257200.0,639.3599999999999,4514.400000000001,False,False,3639,26,188400.0,1.469592705649568,-0.3149127226391931,190900.0,0.04735042433438607,54,True,2026-02-19 04:00:00+00:00,188400.0,time,TIME,246846.24,1,"[{""time"": ""2026-02-10 03:00:00+00:00"", ""raw_price"": 166800.0, ""price"": 167100.0, ""shares"": 12, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 3}]","[{""time"": ""2026-02-19 04:00:00+00:00"", ""raw_price"": 188400.0, ""price"": 188100.0, ""shares"": 12, ""reason"": ""time"", ""slippage_ticks"": 3, ""commission"": 338.58, ""stt"": 1128.6000000000001, ""rural_tax"": 3385.8}]"
V032|ASC|20M|3T,FAST,DIRECT,26,041|207940.KS,207940,KOSPI,삼성바이오로직스,KRLEVEL_RR|207940|3T|3529|3534|3536,2026-02-10 04:00:00+00:00,20000000,3,3999219.844,165837.74047450046,1634297.8734506841,1634297.8734506841,1702000.0,1705000.0,70702.12654931587,1693000.0,3,0,3410511.5,3442582.5,3410000.0,3450000.0,1029.0,6900.0,False,False,3539,26,1728000.0,0.6789046149343079,-0.11315076915571798,1753000.0,0.04151649510345746,60,False,2026-02-19 05:00:00+00:00,1728000.0,time,TIME,32071.0,1,"[{""time"": ""2026-02-10 04:00:00+00:00"", ""raw_price"": 1702000.0, ""price"": 1705000.0, ""shares"": 2, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 3}]","[{""time"": ""2026-02-19 05:00:00+00:00"", ""raw_price"": 1728000.0, ""price"": 1725000.0, ""shares"": 2, ""reason"": ""time"", ""slippage_ticks"": 3, ""commission"": 517.5, ""stt"": 1725.0, ""rural_tax"": 5175.0}]"
V032|ASC|20M|3T,FAST,DIRECT,26,016|012330.KS,012330,KOSPI,현대모비스,KRLEVEL_RR|012330|5T|3672|3676|3678,2026-02-24 02:00:00+00:00,20000000,3,4055783.448,177666.51615709317,431721.7171914136,492560.0,450000.0,451500.0,19778.282808586373,446500.0,5,0,3612541.8,3919554.8,3612000.0,3928000.0,1131.0,7856.0,False,False,3680,18,501000.0,3.6656367340710427,-0.1264012666921049,524000.0,0.06,57,True,2026-02-27 01:00:00+00:00,492560.0,stop,BE_OR_WIN,307013.0,1,"[{""time"": ""2026-02-24 02:00:00+00:00"", ""raw_price"": 450000.0, ""price"": 451500.0, ""shares"": 8, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 3}]","[{""time"": ""2026-02-27 01:00:00+00:00"", ""raw_price"": 492560.0, ""price"": 491000.0, ""shares"": 8, ""reason"": ""stop"", ""slippage_ticks"": 3, ""commission"": 589.1999999999999, ""stt"": 1964.0, ""rural_tax"": 5892.0}]"
V032|ASC|20M|3T,FAST,DIRECT,26,018|0126Z0.KS,0126Z0,KOSPI,삼성에피스홀딩스,KRLEVEL_RR|0126Z0|4T|540|542|544,2026-04-13 02:00:00+00:00,20000000,3,3143675.508161529,205859.3024,513984.0002487361,592200.0,547000.0,550000.0,36015.99975126388,543500.0,4,0,2750412.5,2938668.25,2750000.0,2945000.0,854.2499999999999,5890.0,False,False,547,23,606000.0,2.2212350220041475,-0.4164815666257777,630000.0,0.06,55,True,2026-04-17 00:00:00+00:00,592200.0,stop,BE_OR_WIN,188255.75,1,"[{""time"": ""2026-04-13 02:00:00+00:00"", ""raw_price"": 547000.0, ""price"": 550000.0, ""shares"": 5, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 3}]","[{""time"": ""2026-04-17 00:00:00+00:00"", ""raw_price"": 592200.0, ""price"": 589000.0, ""shares"": 5, ""reason"": ""stop"", ""slippage_ticks"": 3, ""commission"": 441.74999999999994, ""stt"": 1472.5, ""rural_tax"": 4417.5}]"
V032|ASC|20M|3T,FAST,DIRECT,26,009|006400.KS,006400,KOSPI,삼성SDI,KRLEVEL_RR|006400|4T|3888|3890|3891,2026-04-15 05:00:00+00:00,20000000,3,4176103.548,95315.16065753062,464158.62578790466,644840.0,473500.0,475000.0,10841.37421209534,471500.0,4,0,3800570.0,5116974.8,3800000.0,5128000.0,1339.1999999999998,10256.0,False,False,3893,26,657000.0,19.462477345777323,-0.7379138330152539,686000.0,0.06,62,True,2026-04-23 00:00:00+00:00,644840.0,stop,BE_OR_WIN,1316404.7999999998,1,"[{""time"": ""2026-04-15 05:00:00+00:00"", ""raw_price"": 473500.0, ""price"": 475000.0, ""shares"": 8, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 3}]","[{""time"": ""2026-04-23 00:00:00+00:00"", ""raw_price"": 644840.0, ""price"": 641000.0, ""shares"": 8, ""reason"": ""stop"", ""slippage_ticks"": 3, ""commission"": 769.1999999999999, ""stt"": 2564.0, ""rural_tax"": 7692.0}]"
V032|ASC|20M|3T,FAST,DIRECT,26,008|005930.KS,005930,KOSPI,삼성전자,KRLEVEL_RR|005930|2T|3906|3908|3910,2026-04-22 00:00:00+00:00,20000000,3,4492323.198,216129.77867055516,209415.59874216287,209415.59874216287,218500.0,220000.0,10584.401257837133,217750.0,2,0,4400660.0,4410497.0,4400000.0,4420000.0,1322.9999999999998,8840.0,False,False,3912,26,222500.0,0.897547227148612,-0.4251539497019741,229500.0,0.04733435929003796,60,False,2026-04-28 01:00:00+00:00,222500.0,time,TIME,9837.0,1,"[{""time"": ""2026-04-22 00:00:00+00:00"", ""raw_price"": 218500.0, ""price"": 220000.0, ""shares"": 20, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 3}]","[{""time"": ""2026-04-28 01:00:00+00:00"", ""raw_price"": 222500.0, ""price"": 221000.0, ""shares"": 20, ""reason"": ""time"", ""slippage_ticks"": 3, ""commission"": 662.9999999999999, ""stt"": 2210.0, ""rural_tax"": 6630.0}]"
V032|ASC|20M|3T,FAST,DIRECT,26,033|051910.KS,051910,KOSPI,LG화학,KRLEVEL_RR|051910|2T|3972|3974|3976,2026-05-11 02:00:00+00:00,20000000,3,4420085.558,201538.07291612113,411825.34046633804,411825.34046633804,430000.0,431500.0,19674.659533661965,428000.0,2,0,4315647.25,4091185.0,4315000.0,4100000.0,1262.25,8200.0,False,False,3979,5,419000.0,0.0,-0.48285460715323514,431500.0,0.06,56,False,2026-05-12 00:00:00+00:00,411825.34046633804,stop,LOSS,-224462.25,1,"[{""time"": ""2026-05-11 02:00:00+00:00"", ""raw_price"": 430000.0, ""price"": 431500.0, ""shares"": 10, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 3}]","[{""time"": ""2026-05-12 00:00:00+00:00"", ""raw_price"": 411825.34046633804, ""price"": 410000.0, ""shares"": 10, ""reason"": ""stop"", ""slippage_ticks"": 3, ""commission"": 615.0, ""stt"": 2050.0, ""rural_tax"": 6150.0}]"
V032|ASC|20M|3T,FAST,DIRECT,26,016|012330.KS,012330,KOSPI,현대모비스,KRLEVEL_RR|012330|2T|4110|4114|4116,2026-06-15 03:00:00+00:00,20000000,3,1217288.8602327346,218759.65539999996,528266.4032506921,528266.4032506921,641000.0,644000.0,115733.59674930794,636000.0,2,0,644096.6,597712.15,644000.0,599000.0,186.45,1198.0,False,False,4119,26,602000.0,0.3629023998189286,-0.4493077331091497,686000.0,0.06,51,False,2026-06-19 04:00:00+00:00,602000.0,time,TIME,-46384.44999999995,1,"[{""time"": ""2026-06-15 03:00:00+00:00"", ""raw_price"": 641000.0, ""price"": 644000.0, ""shares"": 1, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 3}]","[{""time"": ""2026-06-19 04:00:00+00:00"", ""raw_price"": 602000.0, ""price"": 599000.0, ""shares"": 1, ""reason"": ""time"", ""slippage_ticks"": 3, ""commission"": 89.85, ""stt"": 299.5, ""rural_tax"": 898.5}]"
