ticker,setup_id,pnl,time,event,reason,price
006|005380.KS,KRLEVEL_RR|005380|2T|3612|3615|3617,,2026-02-05 01:00:00+00:00,REJECT,MARKET_REGIME,
009|006400.KS,KRLEVEL_RR|006400|2T|3613|3616|3617,,2026-02-05 01:00:00+00:00,REJECT,MARKET_REGIME,
008|005930.KS,KRLEVEL_RR|005930|2T|3630|3634|3636,62910.359999999986,2026-02-10 03:00:00+00:00,ENTRY,PB_WIDE,166900.0
041|207940.KS,KRLEVEL_RR|207940|3T|3529|3534|3536,,2026-02-10 04:00:00+00:00,REJECT,STARTER_LT_1_OR_CASH,
028|034730.KS,KRLEVEL_RR|034730|2T|3634|3640|3641,,2026-02-11 01:00:00+00:00,REJECT,TOTAL_RISK_CAP,
008|005930.KS,KRLEVEL_RR|005930|2T|3630|3634|3636,62910.359999999986,2026-02-19 04:00:00+00:00,EXIT,time,188400.0
016|012330.KS,KRLEVEL_RR|012330|5T|3672|3676|3678,80749.25,2026-02-24 02:00:00+00:00,ENTRY,PB_WIDE,450500.0
016|012330.KS,KRLEVEL_RR|012330|5T|3672|3676|3678,80749.25,2026-02-27 01:00:00+00:00,EXIT,stop,492560.0
049|373220.KS,KRLEVEL_RR|373220|3T|3714|3717|3719,,2026-03-06 01:00:00+00:00,REJECT,MARKET_REGIME,
009|006400.KS,KRLEVEL_RR|006400|5T|3714|3718|3720,,2026-03-06 03:00:00+00:00,REJECT,MARKET_REGIME,
018|0126Z0.KS,KRLEVEL_RR|0126Z0|4T|540|542|544,41647.15000000002,2026-04-13 02:00:00+00:00,ENTRY,PB_WIDE,548000.0
009|006400.KS,KRLEVEL_RR|006400|4T|3888|3890|3891,335092.90000000014,2026-04-15 05:00:00+00:00,ENTRY,PB_WIDE,474000.0
018|0126Z0.KS,KRLEVEL_RR|0126Z0|4T|540|542|544,41647.15000000002,2026-04-17 00:00:00+00:00,EXIT,stop,592200.0
008|005930.KS,KRLEVEL_RR|005930|2T|3906|3908|3910,-5013.125,2026-04-22 00:00:00+00:00,ENTRY,PB_WIDE,219000.0
009|006400.KS,KRLEVEL_RR|006400|4T|3888|3890|3891,335092.90000000014,2026-04-23 00:00:00+00:00,EXIT,stop,644840.0
008|005930.KS,KRLEVEL_RR|005930|2T|3906|3908|3910,-5013.125,2026-04-23 03:00:00+00:00,EXIT,stop,219000.0
033|051910.KS,KRLEVEL_RR|051910|2T|3972|3974|3976,-40896.45000000007,2026-05-11 02:00:00+00:00,ENTRY,PB_WIDE,430500.0
033|051910.KS,KRLEVEL_RR|051910|2T|3972|3974|3976,-40896.45000000007,2026-05-12 00:00:00+00:00,EXIT,stop,411825.34046633804
050|402340.KS,KRLEVEL_RR|402340|2T|4095|4096|4097,,2026-06-10 01:00:00+00:00,REJECT,MARKET_REGIME,
016|012330.KS,KRLEVEL_RR|012330|2T|4110|4114|4116,,2026-06-15 03:00:00+00:00,REJECT,STARTER_LT_1_OR_CASH,
