market,universe,capital_krw,slippage_ticks,ending_equity,return_pct,trades,wins,losses,pf,max_dd_pct,commissions,taxes,pnl,resolved_tickers,setups_before,setups_after
KOSPI,KOSPI40_PIT_V028,5000000,0,4907596.677999993,-0.0184806644000014,85,50,35,0.752772295486481,0.02716380525603923,8990.720999999998,52672.600999999995,-92403.32200000033,40,2799,152
KOSPI,KOSPI40_PIT_V028,5000000,1,4816990.171500001,-0.03660196569999974,85,49,36,0.5871462308294153,0.040678896581676116,9283.2945,53936.53400000001,-183009.82850000047,40,2799,152
KOSPI,KOSPI40_PIT_V028,5000000,2,4738421.488000005,-0.05231570239999905,82,43,39,0.47144403261424317,0.05403632345788589,9151.704,52686.808,-261578.51199999967,40,2799,152
KOSPI,KOSPI40_PIT_V028,10000000,0,10112467.102500012,0.011246710250001124,106,65,41,1.1307330896509766,0.017668522724502922,22420.975499999997,130821.922,112467.10250000088,40,2799,152
KOSPI,KOSPI40_PIT_V028,10000000,1,9787447.878999986,-0.021255212100001475,102,61,41,0.7909361709747127,0.029793001171521616,23026.415999999994,132665.70500000002,-212552.12099999943,40,2799,152
KOSPI,KOSPI40_PIT_V028,10000000,2,9547900.013999997,-0.0452099986000003,102,56,46,0.6253238497782863,0.049318358504065296,23817.17099999999,136642.815,-452099.98599999957,40,2799,152
KOSPI,KOSPI40_PIT_V028,20000000,0,20177625.075500026,0.008881253775001374,118,72,46,1.090720678319223,0.019144713651947032,50057.96549999999,292306.95900000003,177625.07550000137,40,2799,152
KOSPI,KOSPI40_PIT_V028,20000000,1,19576262.631499972,-0.021186868425001393,117,70,47,0.8191590958660351,0.030691349572793514,52233.553499999995,302393.815,-423737.3684999989,40,2799,152
KOSPI,KOSPI40_PIT_V028,20000000,2,19276603.2825,-0.03616983587500011,116,65,51,0.7144579864527675,0.04153294771158822,52837.4145,303849.303,-723396.7174999975,40,2799,152
KOSPI,KOSPI40_PIT_V028,50000000,0,50204542.94199998,0.004090858839999489,127,75,52,1.0354287735972736,0.02274448823090458,139939.278,815597.78,204542.9420000012,40,2799,152
KOSPI,KOSPI40_PIT_V028,50000000,1,48527770.57000001,-0.029444588599999877,124,72,52,0.7835898900192043,0.0392600630474903,143248.113,829781.317,-1472229.4300000104,40,2799,152
KOSPI,KOSPI40_PIT_V028,50000000,2,47587475.972000025,-0.048250480559999476,125,67,58,0.6722001247952333,0.054509745241487995,143555.66999999998,825788.3579999999,-2412524.028000004,40,2799,152
