time,equity,cash,open_positions,drawdown
2026-08-11 13:30:00+00:00,5000.0,5000.0,0,0.0
2026-08-11 14:30:00+00:00,5000.0,5000.0,0,0.0
2026-08-11 15:30:00+00:00,5000.0,5000.0,0,0.0
2026-08-11 16:30:00+00:00,5000.0,5000.0,0,0.0
2026-08-11 17:30:00+00:00,5000.0,5000.0,0,0.0
2026-08-11 18:30:00+00:00,5000.0,5000.0,0,0.0
2026-08-11 19:30:00+00:00,5000.0,5000.0,0,0.0
2026-08-12 13:30:00+00:00,5000.0,5000.0,0,0.0
2026-08-12 14:30:00+00:00,5000.0,5000.0,0,0.0
2026-08-12 15:30:00+00:00,5000.0,5000.0,0,0.0
2026-08-12 16:30:00+00:00,5000.0,5000.0,0,0.0
2026-08-12 17:30:00+00:00,5000.0,5000.0,0,0.0
2026-08-12 18:30:00+00:00,5000.0,5000.0,0,0.0
2026-08-12 19:30:00+00:00,5000.0,5000.0,0,0.0
2026-08-13 13:30:00+00:00,5000.0,5000.0,0,0.0
2026-08-13 14:30:00+00:00,5000.0,5000.0,0,0.0
2026-08-13 15:30:00+00:00,5000.0,5000.0,0,0.0
2026-08-13 16:30:00+00:00,5000.0,5000.0,0,0.0
2026-08-13 17:30:00+00:00,5000.059115813851,4799.9,1,0.0
2026-08-13 18:30:00+00:00,5009.374343333302,4903.307756206559,1,0.0
2026-08-13 19:30:00+00:00,5008.873464806483,4903.307756206559,1,9.998824054457955e-05
2026-08-14 13:30:00+00:00,5005.859318910697,4903.307756206559,1,0.0007128567630084737
2026-08-14 14:30:00+00:00,5005.983070659456,4903.307756206559,1,0.0006881530061488839
2026-08-14 15:30:00+00:00,5005.407049114081,4903.307756206559,1,0.0008031404414421406
2026-08-14 16:30:00+00:00,5005.384956688978,4903.307756206559,1,0.0008075506086007156
2026-08-14 17:30:00+00:00,5005.423252024149,4903.307756206559,1,0.0007999059598710057
2026-08-14 18:30:00+00:00,5005.384956688978,4903.307756206559,1,0.0008075506086007156
2026-08-14 19:30:00+00:00,5005.409097420968,4702.991896512356,2,0.0008027315512583177
2026-08-17 13:30:00+00:00,5002.1353338845065,4602.53179777092,1,0.001456251677088627
2026-08-17 14:30:00+00:00,5002.643914498885,4602.53179777092,1,0.0013547270362884722
2026-08-17 15:30:00+00:00,5003.14131556731,4602.53179777092,1,0.0012554340955478471
2026-08-17 16:30:00+00:00,5001.774820145437,4602.53179777092,1,0.001528218690434735
2026-08-17 17:30:00+00:00,5002.414467627151,4602.53179777092,1,0.0014005300232230455
2026-08-17 18:30:00+00:00,5002.437713984612,4602.53179777092,1,0.0013958895040517838
2026-08-17 19:30:00+00:00,5002.681924955131,4602.53179777092,1,0.001347139256086427
2026-08-18 13:30:00+00:00,4998.185476068916,4998.185476068916,0,0.002244736107288925
2026-08-18 14:30:00+00:00,4998.185476068916,4998.185476068916,0,0.002244736107288925
2026-08-18 15:30:00+00:00,4998.185476068916,4998.185476068916,0,0.002244736107288925
2026-08-18 16:30:00+00:00,4998.185476068916,4998.185476068916,0,0.002244736107288925
2026-08-18 17:30:00+00:00,4998.185476068916,4998.185476068916,0,0.002244736107288925
2026-08-18 18:30:00+00:00,4998.185476068916,4998.185476068916,0,0.002244736107288925
2026-08-18 19:30:00+00:00,4998.185476068916,4998.185476068916,0,0.002244736107288925
2026-08-19 13:30:00+00:00,4998.185476068916,4998.185476068916,0,0.002244736107288925
2026-08-19 14:30:00+00:00,4998.185476068916,4998.185476068916,0,0.002244736107288925
2026-08-19 15:30:00+00:00,4998.185476068916,4998.185476068916,0,0.002244736107288925
2026-08-19 16:30:00+00:00,4998.185476068916,4998.185476068916,0,0.002244736107288925
2026-08-19 17:30:00+00:00,4998.185476068916,4998.185476068916,0,0.002244736107288925
2026-08-19 18:30:00+00:00,4998.185476068916,4998.185476068916,0,0.002244736107288925
2026-08-19 19:30:00+00:00,4998.185476068916,4998.185476068916,0,0.002244736107288925
2026-08-19 19:30:00+00:00,4998.185476068916,4998.185476068916,0,0.002244736107288925
