cost_bps_side,closed_trades,wins,losses,pnl,ending_equity,return_pct,pf,max_dd,fees,last_entry_time,last_exit_time
5.0,0,0,0,0.0,5000.0,0.0,,0.0,0.0,,
10.0,0,0,0,0.0,5000.0,0.0,,0.0,0.0,,
20.0,0,0,0,0.0,5000.0,0.0,,0.0,0.0,,
30.0,0,0,0,0.0,5000.0,0.0,,0.0,0.0,,
