as_of_us_date,forward_start_us_date,cost_bps_side,closed_trades,wins,losses,pnl,ending_equity,return_pct,pf,max_dd,fees,last_entry_time,last_exit_time
2026-08-11,2026-08-11,5.0,0,0,0,0.0,5000.0,0.0,,0.0,0.0,,
2026-08-11,2026-08-11,10.0,0,0,0,0.0,5000.0,0.0,,0.0,0.0,,
2026-08-11,2026-08-11,20.0,0,0,0,0.0,5000.0,0.0,,0.0,0.0,,
2026-08-11,2026-08-11,30.0,0,0,0,0.0,5000.0,0.0,,0.0,0.0,,
2026-08-12,2026-08-11,5.0,0,0,0,0.0,5000.0,0.0,,0.0,0.0,,
2026-08-12,2026-08-11,10.0,0,0,0,0.0,5000.0,0.0,,0.0,0.0,,
2026-08-12,2026-08-11,20.0,0,0,0,0.0,5000.0,0.0,,0.0,0.0,,
2026-08-12,2026-08-11,30.0,0,0,0,0.0,5000.0,0.0,,0.0,0.0,,
2026-08-13,2026-08-11,5.0,1,1,0,8.820681952183406,5008.820681952183,0.0017641363904365,inf,0.0001105250562589,0.204512597274729,2026-08-13 17:30:00+00:00,2026-08-13 19:30:00+00:00
2026-08-13,2026-08-11,10.0,1,1,0,8.616169354908692,5008.616169354908,0.0017232338709816,inf,0.0001210655389468,0.4090251945494581,2026-08-13 17:30:00+00:00,2026-08-13 19:30:00+00:00
2026-08-13,2026-08-11,20.0,1,1,0,8.207144160359206,5008.207144160359,0.0016414288320718,inf,0.0001421484200709,0.8180503890989163,2026-08-13 17:30:00+00:00,2026-08-13 19:30:00+00:00
2026-08-13,2026-08-11,30.0,1,1,0,7.798118965809778,5007.798118965809,0.0015596237931618,inf,0.0001632338559129,1.2270755836483744,2026-08-13 17:30:00+00:00,2026-08-13 19:30:00+00:00
2026-08-14,2026-08-11,5.0,2,2,0,5.257888820513614,5005.257888820513,0.0010515777641024,inf,0.0008329163408729,0.4030462193382197,2026-08-14 19:30:00+00:00,2026-08-14 19:30:00+00:00
2026-08-14,2026-08-11,10.0,2,1,1,4.854844731089571,5004.8548447310895,0.0009709689462178,70.09694933530271,0.0008831113379845,0.8060802902785177,2026-08-14 19:30:00+00:00,2026-08-14 19:30:00+00:00
2026-08-14,2026-08-11,20.0,2,1,1,4.048792997435271,5004.048792997436,0.0008097585994872,9.59648024860667,0.000983503179143,1.6121119869653486,2026-08-14 19:30:00+00:00,2026-08-14 19:30:00+00:00
2026-08-14,2026-08-11,30.0,2,1,1,3.242789857372685,5003.242789857372,0.0006485579714745,4.720266119086693,0.0010838974832545,2.4180950900604925,2026-08-14 19:30:00+00:00,2026-08-14 19:30:00+00:00
2026-08-17,2026-08-11,5.0,2,1,1,2.481849886529204,5002.481849886529,0.0004963699773057,4.640852368515315,0.0015282186904396,0.6019734152870965,2026-08-14 19:30:00+00:00,2026-08-17 19:30:00+00:00
2026-08-17,2026-08-11,10.0,2,1,1,1.8799092689057488,5001.879909268906,0.0003759818537811,2.737559232610765,0.0015781964098009,1.2039225623447516,2026-08-14 19:30:00+00:00,2026-08-17 19:30:00+00:00
2026-08-17,2026-08-11,20.0,2,1,1,0.6761008383471392,5000.676100838348,0.0001352201676696,1.3591755984401368,0.0016781536619682,2.407748051771738,2026-08-14 19:30:00+00:00,2026-08-17 19:30:00+00:00
2026-08-17,2026-08-11,30.0,2,1,1,-0.5276105192938587,4999.472389480705,-0.000105522103859,0.8033296181813581,0.0018366719941894,3.611476468280957,2026-08-14 19:30:00+00:00,2026-08-17 19:30:00+00:00
2026-08-18,2026-08-11,5.0,2,1,1,-1.8145239310840964,4998.185476068916,-0.0003629047862168,0.6354943846125657,0.0022447361072889,0.5998241537479195,2026-08-14 19:30:00+00:00,2026-08-18 13:30:00+00:00
2026-08-18,2026-08-11,10.0,2,1,1,-2.4141851152747904,4997.585814884726,-0.0004828370230548,0.5509344717195975,0.0023342244489544,1.1996241695685932,2026-08-14 19:30:00+00:00,2026-08-18 13:30:00+00:00
2026-08-18,2026-08-11,20.0,2,1,1,-3.613435069874356,4996.386564930127,-0.0007226870139745,0.4145348310050408,0.0025132029399362,2.3991517874282025,2026-08-14 19:30:00+00:00,2026-08-18 13:30:00+00:00
2026-08-18,2026-08-11,30.0,2,1,1,-4.812588472764816,4995.187411527236,-0.0009625176945528,0.309299544847396,0.002692183841484,3.5985828535788285,2026-08-14 19:30:00+00:00,2026-08-18 13:30:00+00:00
