ticker,rows,start,end,sha256
000270.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,71e5c6852241800057712cd0031db4947e924de1237df7c6619ba6c7f32b2c5b
000660.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,1ad2e4459b566253ad5a1f32ef6f2573520a51acb31f6c734133f94563607e15
000810.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,801027b159b9f8ffc5c9859ea030b7b51254dcb0e9e045d15d3db532d375d5d4
003490.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,899eaba73ada86db25efe8f3a05a2abe553dc39fac181c3d6138c94f133f7d54
003550.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,87ea81323d87e9b5ef927dd106c2b479df9bdb7a97dce72bd9e68cfe9f564136
003670.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,d9ae2a708dc4a4019d10444041145d7d8d18957fa4756742539b09a73bb9f806
005380.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,c1ddbf9c96736dd0c466b3c29957e8f273538d93d28fa4514b05424990718ce4
005490.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,4b64ee3d20dc571d4abb42d36ea900162bc28802bad78858a8475fae2753a451
005930.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,9fddaa28e4030c02b4bf7c5a6e8cfdac1e99f26298f0667a9c3663135e709a46
006400.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,2b47304eaf76f17006a6b8c669e9a08a95d365b561eb6dfa77153a89007c1f36
009150.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,511c1c4f811e9164eb773070d0257c719f5076522a6772b69b63d4e92a90fc9e
009540.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,c6f098b6460fbaf1628b1be95900af68fbac0f3e658bcf7bf8bc02c23aeb5cd3
010130.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,3f49b2314444e39f7cdd518b2e913bd659e1b1d03ec0d5b4b32ffc929f343939
010140.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,4f3f324f8b3e403508a8cfdfd6495ef19ae5cf7b7fdaacb4d483583bbc1b51dc
010950.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,be7701efd9c68f533edbca6db0f9ed84a955b4134834d4cb6fe3fac357add671
011200.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,1ec6be2ce0f5000ef0c979c7ac4c0e4c7d855c42a96bcb22cabc6736ad1fdddd
012330.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,9f2da096de4aeb4b44f2ccceb4445659585452eb8d601bcfd980c12157569fbd
012450.KS,4248,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,910d608957b6d9a0e6e53bd8de3e631b7115e1a5e50d982b60dece3ee963513e
0126Z0.KS,1025,2025-11-25 09:00:00+09:00,2026-08-10 14:00:00+09:00,d2baa5ccb281498516752b6136fc3c6afaddb92a4f07d485493bb54b77ea587f
015760.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,54bfe7adf0b4d989900d28f5d171716ef2c9e644620b7872b51dccf598c7fda1
017670.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,250e3676cdcc32c4ee86232282f48c0715bfe38975cc56418b09f388f2dbee2d
018260.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,6e55f53c238aa500e05dda322ac8ece66ea4548c97cc8f9eee37970a308ca840
024110.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,99799950bd0246af61d8fab4b758a3873271475e378893b9f84f605b3c2530fa
028260.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,711eafdeee80e04f3817fb352183f377f0736aafb7136f880e52b32ff50679bb
030200.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,3ba3d634b9a7b965bb3ccda4dfdecb2207fa2b243d8cb887b9cfadb9774cf93c
032830.KS,4355,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,3bd2e14f94e9f7822c1e8073333adceb331083712b7fe78556056f59dc530407
033780.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,b203eaaa572f5d0559b71342d33198524177e1925ab703bf228b1f72cb2c7efd
034020.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,724c0643eb9414fe507af7c50edd5518b65f81e22f79864f3694a5f18c351a33
034730.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,78e272463bf5bd61b9d7ea66629f405b4822514f04242d0a1dbb190cf8d65160
035420.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,e44b864fe447b9a1c541da899849a581affcd261b3ab069d5181575fadd88bc8
035720.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,23eb78d2c6d035dffca037c475c132dd3dc3ea6554adb11ccf23b2d3cd9425d9
042660.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,b4ff47ed9df3d3a3ad6a736cf724b1ca73f9a007d40dc12d37306d14f519893b
047050.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,8a31c4feb45b5f4a0cc3fc5ad281435ae166723bc3ea780e919b4900ca0b18a5
051910.KS,4355,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,b617a0f3286b5906d1e76a2349a986c957fb9f66d35b6d01eb7a7de490ab1e08
055550.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,dce49147c1a31b034fc29c00c2da01ebe725ccc4c3a744003808fc71cd787ac2
064350.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,58c4df383f3faa21c0bb39690b2aea41ae29b516118c754a588e5e2f45c7ffeb
066570.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,c20a78aa4964fe73415e9dd02357c3546f2f35cca4440eaba52044c66d5b8c7d
068270.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,502d36c752412391a2fd2e47ec8a93c209f3e91a683425c406d2f5fa5b53b396
086790.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,635ae55e017e8d1f7cd128db898196aca6836498178b80459027788c32de0431
096770.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,fec8ebbbe4b3ecb3ce8d59f3b791ca009617e5fcdb9417f44991c39ccc1af186
105560.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,f47385c5301e79d710665c43daa4c94b5e5d3365bc95a49b849cfe92f43e9789
207940.KS,4255,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,bd77f7bf3a54a02557e40f1e14d43b4503037967d224c2873d1ac8a2feb39414
259960.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,757b96865f8e15472544daabb3ce717b393dbdf4b1e9b8f94042be6490b7a743
267260.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,be0baa44f12e64af496510755e9d0ad89c558cc379855677b376577861a44713
298040.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,72b6d9872a4ec8566398f97ae171ce23ee9391f88e171cecabb376194fe65c0f
316140.KS,4356,2023-08-09 09:00:00+09:00,2026-08-10 14:00:00+09:00,0e7c280992365a4fb75ea231886b05e550d22526564b607d48bf82dbcee2b66c
