market,symbol,name,yf_ticker,marcap_snapshot,universe_source,pit_date,frozen_at_utc
KOSPI,005930,삼성전자,005930.KS,403557300380000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-10 05:11:17.580516+00:00
KOSPI,373220,LG에너지솔루션,373220.KS,122850000000000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-10 05:11:17.580639+00:00
KOSPI,000660,SK하이닉스,000660.KS,86341080489000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-10 05:11:17.580757+00:00
KOSPI,207940,삼성바이오로직스,207940.KS,56227460000000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-10 05:11:17.580848+00:00
KOSPI,005490,POSCO홀딩스,005490.KS,50489024310000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-10 05:11:17.580935+00:00
KOSPI,051910,LG화학,051910.KS,43414290945000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-10 05:11:17.581031+00:00
KOSPI,006400,삼성SDI,006400.KS,42221421420000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-10 05:11:17.581117+00:00
KOSPI,005380,현대차,005380.KS,39852535730400.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-10 05:11:17.581197+00:00
KOSPI,035420,NAVER,035420.KS,36582945955000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-10 05:11:17.581277+00:00
KOSPI,003670,포스코퓨처엠,003670.KS,34626059340000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-10 05:11:17.581358+00:00
KOSPI,000270,기아,000270.KS,31480061094900.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-10 05:11:17.581438+00:00
KOSPI,035720,카카오,035720.KS,23012838422000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-10 05:11:17.581517+00:00
KOSPI,068270,셀트리온,068270.KS,21665847576000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-10 05:11:17.581595+00:00
KOSPI,012330,현대모비스,012330.KS,21449858885000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-10 05:11:17.581693+00:00
KOSPI,105560,KB금융,105560.KS,20901873529600.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-10 05:11:17.581781+00:00
KOSPI,028260,삼성물산,028260.KS,19245856179000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-10 05:11:17.581859+00:00
KOSPI,055550,신한지주,055550.KS,18479074756700.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-10 05:11:17.581939+00:00
KOSPI,096770,SK이노베이션,096770.KS,17688662393200.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-10 05:11:17.582017+00:00
KOSPI,066570,LG전자,066570.KS,16757536153600.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-10 05:11:17.582093+00:00
KOSPI,047050,포스코인터내셔널,047050.KS,15305282556000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-10 05:11:17.582170+00:00
KOSPI,032830,삼성생명,032830.KS,14240000000000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-10 05:11:17.582248+00:00
KOSPI,323410,카카오뱅크,323410.KS,13492509977100.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-10 05:11:17.582325+00:00
KOSPI,003550,LG,003550.KS,13055982419000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-10 05:11:17.582403+00:00
KOSPI,015760,한국전력,015760.KS,12492620938420.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-10 05:11:17.582479+00:00
KOSPI,329180,HD현대중공업,329180.KS,12028757218000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-10 05:11:17.582556+00:00
KOSPI,000810,삼성화재,000810.KS,11985833761000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-10 05:11:17.582633+00:00
