strategy,quarter,trades,pnl,pf,winrate
KOSPI40_PIT,2023Q4,51,26145.21233677774,1.1663241239057383,0.5490196078431373
KOSPI40_PIT,2024Q1,54,74581.7003163927,1.3035457797667824,0.5370370370370371
KOSPI40_PIT,2024Q2,49,-24887.740260399558,0.895502814202732,0.42857142857142855
KOSPI40_PIT,2024Q3,48,20817.44288334172,1.1104911996293114,0.5833333333333334
KOSPI40_PIT,2024Q4,54,6139.034649608133,1.0256623636057705,0.46296296296296297
KOSPI40_PIT,2025Q1,38,-50612.74466255194,0.6953108517585538,0.47368421052631576
KOSPI40_PIT,2025Q2,40,131981.95044845832,1.8693271684230865,0.65
KOSPI40_PIT,2025Q3,60,13972.022009395965,1.0566441386489043,0.5166666666666667
KOSPI40_PIT,2025Q4,46,122142.6099182927,1.7343169877365345,0.6304347826086957
KOSPI40_PIT,2026Q1,41,177021.88017938135,1.9987180883317066,0.7317073170731707
KOSPI40_PIT,2026Q2,35,327851.78529199905,3.1667345806140563,0.6571428571428571
KOSPI40_PIT,2026Q3,15,33224.04858188101,1.272969908183903,0.5333333333333333
KOSDAQ40_PIT,2023Q4,34,-45436.98324707385,0.7322868076648303,0.5294117647058824
KOSDAQ40_PIT,2024Q1,37,59138.86244529355,1.3032176702540705,0.5135135135135135
KOSDAQ40_PIT,2024Q2,49,-100249.0456191147,0.7489529488679586,0.3673469387755102
KOSDAQ40_PIT,2024Q3,49,-147707.97500202715,0.42486969530141144,0.5102040816326531
KOSDAQ40_PIT,2024Q4,64,24398.240340063334,1.1218369603247242,0.546875
KOSDAQ40_PIT,2025Q1,56,50472.314862783554,1.3466680046831432,0.5535714285714286
KOSDAQ40_PIT,2025Q2,54,47249.78747128928,1.2488855118772846,0.5740740740740741
KOSDAQ40_PIT,2025Q3,43,134314.00458511498,1.5716824883514813,0.5116279069767442
KOSDAQ40_PIT,2025Q4,37,47847.30552140562,1.2997263477516507,0.4864864864864865
KOSDAQ40_PIT,2026Q1,34,73509.85237140571,1.2987267665429205,0.5294117647058824
KOSDAQ40_PIT,2026Q2,38,-102518.16581081501,0.6751287679619413,0.4473684210526316
KOSDAQ40_PIT,2026Q3,22,-107159.59474018445,0.36468198732595525,0.4090909090909091
KR80_PIT,2023Q4,53,33661.56210443625,1.166714809176855,0.6226415094339622
KR80_PIT,2024Q1,60,27770.436849136066,1.0961359164066358,0.5333333333333333
KR80_PIT,2024Q2,56,66793.86551812761,1.2670109280024393,0.4642857142857143
KR80_PIT,2024Q3,56,-37265.23541790123,0.8472536968261005,0.5892857142857143
KR80_PIT,2024Q4,62,-133729.90293612512,0.6291084211221111,0.41935483870967744
KR80_PIT,2025Q1,55,-4708.906957479056,0.9784621313875974,0.5272727272727272
KR80_PIT,2025Q2,43,146034.92164342373,2.1476064131392114,0.6511627906976745
KR80_PIT,2025Q3,72,205902.53732974283,1.9131689029814558,0.5694444444444444
KR80_PIT,2025Q4,53,49360.60958147253,1.2033290954165055,0.5283018867924528
KR80_PIT,2026Q1,43,112937.92636706037,1.6101865968304636,0.6976744186046512
KR80_PIT,2026Q2,42,16050.149200232758,1.0551050215745486,0.5714285714285714
KR80_PIT,2026Q3,18,-63846.26038601881,0.6252799628834024,0.3888888888888889
