strategy,test,excluded_symbols,trades,pnl,pf
KOSPI40_PIT,exclude_top1,032830,517,620688.7048267005,1.2775338508808616
KOSPI40_PIT,exclude_top3,"032830,033780,086790",486,367182.9558656032,1.17286837733321
KOSPI40_PIT,exclude_top5,"032830,033780,086790,009150,010130",453,182764.0405703021,1.0902469161868282
KOSDAQ40_PIT,exclude_top1,000250,499,-257857.16586156128,0.9019035576811852
KOSDAQ40_PIT,exclude_top3,"000250,039200,393890",474,-549259.8069079737,0.7863443576224938
KOSDAQ40_PIT,exclude_top5,"000250,039200,393890,041510,086900",441,-711799.9506431823,0.7112406252079728
KR80_PIT,exclude_top1,006400,607,262691.524479787,1.0937722501989724
KR80_PIT,exclude_top3,"006400,086790,032830",587,60718.9703877173,1.0220380780715763
KR80_PIT,exclude_top5,"006400,086790,032830,028300,042660",570,-89455.95553835601,0.967185115359716
