cost_bps_side,closed_trades,wins,losses,pnl,ending_equity,return_pct,pf,max_dd,fees
5.0,7,7,0,30.47078290351689,5030.470782903516,0.006094156580703114,inf,0.004975126703126387,2.824438967071191
10.0,7,6,1,27.639392521207157,5027.639392521209,0.0055278785042416345,105.22603038655704,0.005155315764655111,5.647756779230605
20.0,7,6,1,21.979979317284318,5021.979979317285,0.0043959958634569585,21.519944986569428,0.005515720110380151,11.291030198235578
30.0,7,5,2,16.32505409394068,5016.325054093938,0.003265010818787495,7.05835248690752,0.005876159443426232,16.92982277525834
