capital_krw,slippage_ticks,rejects,starter_lt_1_share,add20_lt_1_share,add60_lt_1_share,partial_rounded_up_to_one,partial_whole_exit
5000000,0,67,56,0,0,14,14
5000000,1,67,54,0,0,14,14
5000000,2,70,62,0,0,12,12
10000000,0,46,29,0,0,10,10
10000000,1,50,31,0,0,7,7
10000000,2,50,31,0,0,7,7
20000000,0,34,12,0,0,5,5
20000000,1,35,11,0,0,6,6
20000000,2,36,11,0,0,6,6
50000000,0,25,2,0,0,3,3
50000000,1,28,2,0,0,3,3
50000000,2,27,3,0,0,2,2
