market,entry_mode,fold,trades,wins,sum_net_r,mean_net_r,median_net_r,pf,winrate,avg_win_r,avg_loss_r,max_drawdown_r,top3_ticker_r,residual_ex_top3_r,max_positive_month_share
US,DAILY_5_20_CROSS,2024_SEP_DEC,27,8,-8.419584339505926,-0.311836457018738,-0.47374920789017927,0.30009043414287373,0.2962962962962963,0.45124342540073237,0.6331332496164096,11.775326335264271,1.8169828451118526,-10.236567184617778,1.0
US,DAILY_5_20_CROSS,2025_Q1,10,4,-2.042626597001526,-0.2042626597001526,-0.5125169225631566,0.625442737554142,0.4,0.8527040446947705,0.9089071292967678,4.171710981603907,3.1250046553132975,-5.167631252314823,0.0
US,DAILY_5_20_CROSS,2025_Q2,1,1,1.506362519740787,1.506362519740787,1.506362519740787,inf,1.0,1.506362519740787,0.0,0.0,1.506362519740787,0.0,1.0
US,DAILY_5_20_CROSS,2025_Q3,15,6,2.246998059642608,0.14979987064284053,-0.25306919207987366,1.3139640545490203,0.4,1.567310354074733,0.7952071183117544,5.811408266026551,3.5929234912653265,-1.3459254316227187,1.0
US,DAILY_5_20_CROSS,2025_Q4,22,5,-4.109235437312802,-0.18678342896876374,-0.24812797864760983,0.4164642997608338,0.22727272727272727,0.5865450419748,0.4142329792462825,4.962707406298224,2.4968543994669554,-6.606089836779757,1.0
US,CROSS_60M_REGIME,2024_SEP_DEC,19,8,-3.0473158253350525,-0.16038504343868698,-0.1507257487773045,0.5422569724642029,0.42105263157894735,0.45124342540073237,0.6052057480491737,6.403057821093397,1.8169828451118526,-4.864298670446905,1.0
US,CROSS_60M_REGIME,2025_Q1,0,0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0
US,CROSS_60M_REGIME,2025_Q2,1,1,1.506362519740787,1.506362519740787,1.506362519740787,inf,1.0,1.506362519740787,0.0,0.0,1.506362519740787,0.0,1.0
US,CROSS_60M_REGIME,2025_Q3,11,4,-0.542273259798018,-0.04929756907254709,-0.25306919207987366,0.899127513985124,0.36363636363636365,1.208388994970588,0.7679756056686244,5.317377036276351,1.216491832135998,-1.758765091934016,1.0
US,CROSS_60M_REGIME,2025_Q4,11,1,-3.2713446561949553,-0.29739496874499594,-0.3895760512799429,0.29576023182989797,0.09090909090909091,1.3738696643413917,0.4645214320536346,3.2713446561949544,1.0469768916299798,-4.318321547824935,1.0
US,MA20_RECLAIM_60M,2024_SEP_DEC,27,16,4.298078081748949,0.15918807710181293,0.07037848616812536,1.6594475566572018,0.5925925925925926,0.6759858213019919,0.592517732643902,2.252282964189538,5.219578189160305,-0.9215001074113554,0.7164126655441407
US,MA20_RECLAIM_60M,2025_Q1,12,2,-7.313511217091665,-0.6094592680909721,-0.7196942359576386,0.059535190043014316,0.16666666666666666,0.23148727925885063,0.7776485775609367,7.313511217091666,-0.26514188857228516,-7.04836932851938,0.0
US,MA20_RECLAIM_60M,2025_Q2,3,3,4.362404613643738,1.4541348712145794,1.352866423922978,inf,1.0,1.4541348712145794,0.0,0.0,4.362404613643738,0.0,1.0
US,MA20_RECLAIM_60M,2025_Q3,33,9,-0.7310300544750177,-0.022152425893182354,-0.37104334315942344,0.9553201718164619,0.2727272727272727,1.7367214831894295,0.6817301417991617,9.342373991390868,7.094973613813643,-7.826003668288661,1.0
US,MA20_RECLAIM_60M,2025_Q4,27,5,-8.999397505107082,-0.3333110187076697,-0.546529386241733,0.36288735888734036,0.18518518518518517,1.0251774588877285,0.6420583999793511,8.99939750510708,3.7113405644290043,-12.710738069536086,1.0
US,RSI40_45_RECOVERY_60M,2024_SEP_DEC,0,0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0
US,RSI40_45_RECOVERY_60M,2025_Q1,0,0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0
US,RSI40_45_RECOVERY_60M,2025_Q2,0,0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0
US,RSI40_45_RECOVERY_60M,2025_Q3,0,0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0
US,RSI40_45_RECOVERY_60M,2025_Q4,0,0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0
