market,entry_mode,selected_development_mode,development_gate_pass,window,trades,wins,sum_net_r,mean_net_r,median_net_r,pf,winrate,avg_win_r,avg_loss_r,max_drawdown_r,top3_ticker_r,residual_ex_top3_r,max_positive_month_share
US,DAILY_5_20_CROSS,False,False,VALIDATION_2026_H1,19,2,-10.013115372246018,-0.5270060722234746,-0.8407780532431469,0.24043368100433815,0.10526315789473684,1.5847794504985047,0.7754514278378251,11.556450290943491,0.6793935467752472,-10.692508919021265,1.0
US,DAILY_5_20_CROSS,False,False,STRESS_2026_07_PLUS,7,3,-1.0995635180324208,-0.15708050257606013,-0.1554835709400817,0.3473525012008493,0.42857142857142855,0.1950701508959104,0.421193492680038,1.6330508979943306,0.5852104526877312,-1.6847739707201521,1.0
US,CROSS_60M_REGIME,False,False,VALIDATION_2026_H1,8,0,-6.67570780807205,-0.8344634760090063,-0.9244698613843445,0.0,0.0,0.0,0.8344634760090063,6.675707808072051,-1.6841699500966927,-4.9915378579753575,0.0
US,CROSS_60M_REGIME,False,False,STRESS_2026_07_PLUS,1,0,-0.19059326512619598,-0.19059326512619598,-0.19059326512619598,0.0,0.0,0.0,0.19059326512619598,0.19059326512619598,-0.19059326512619598,0.0,0.0
US,MA20_RECLAIM_60M,True,False,VALIDATION_2026_H1,34,11,-7.733473615743594,-0.2274551063453998,-0.5053646103287084,0.546961173505055,0.3235294117647059,0.8487953624122355,0.7421835914033994,10.794714207902448,5.110920809296081,-12.844394425039674,1.0
US,MA20_RECLAIM_60M,True,False,STRESS_2026_07_PLUS,9,2,-2.184995636206758,-0.242777292911862,-0.40028742105334514,0.22995487606866813,0.2222222222222222,0.32624737506896506,0.40535576947781266,2.184995636206758,0.5125343142839023,-2.6975299504906607,0.0
