market,entry_mode,base_trades,base_wins,base_sum_net_r,base_mean_net_r,base_median_net_r,base_pf,base_winrate,base_avg_win_r,base_avg_loss_r,base_max_drawdown_r,base_top3_ticker_r,base_residual_ex_top3_r,base_max_positive_month_share,double_cost_trades,double_cost_wins,double_cost_sum_net_r,double_cost_mean_net_r,double_cost_median_net_r,double_cost_pf,double_cost_winrate,double_cost_avg_win_r,double_cost_avg_loss_r,double_cost_max_drawdown_r,double_cost_top3_ticker_r,double_cost_residual_ex_top3_r,double_cost_max_positive_month_share,profitable_folds,sample_30,base_positive,pf_1p10,mdd_20r_or_less,three_profitable_folds,double_cost_positive,residual_ex_top3_positive,month_share_50pct_or_less,criteria_pass_count,development_gate_pass,net_r_per_mdd,selected_for_locked_test
US,DAILY_5_20_CROSS,75,24,-10.81808579443686,-0.1442411439258248,-0.3895760512799429,0.6585394119906093,0.32,0.8693213931686717,0.6212117496173527,15.848069888976571,8.206910521981369,-19.02499631641823,0.6751881993076118,75,24,-13.481423537095994,-0.1797523138279466,-0.4271039080419738,0.5975718049252084,0.32,0.8341155323504775,0.656866594382499,17.423149954621262,7.791815432427591,-21.273238969523586,0.7103085494902717,2,True,False,False,True,False,False,False,False,2,False,-0.6826121963256602,False
US,CROSS_60M_REGIME,42,14,-5.354571221587238,-0.12748979099017235,-0.29195766749100316,0.6789499504112371,0.3333333333333333,0.8088382547978848,0.5956538138842008,10.214072337628963,3.896717524745502,-9.25128874633274,0.5276554036657746,42,14,-6.893498606678311,-0.16413091920662645,-0.3388078249299898,0.6109550773193855,0.3333333333333333,0.7732522332649084,0.6328224954423939,11.026955394044379,3.6944449329320475,-10.58794353961036,0.5461810983675842,1,True,False,False,True,False,False,False,False,2,False,-0.524234707234335,False
US,MA20_RECLAIM_60M,102,35,-8.383456081281075,-0.0821907458949125,-0.30668143011224924,0.8127898409238781,0.3431372549019608,1.0399295130324804,0.6683729707077297,13.951038727753682,11.06945828811843,-19.452914369399505,0.452072732932411,102,34,-12.516608790764687,-0.12271185088984987,-0.3460392736953378,0.736745687896009,0.3333333333333333,1.030267192293384,0.6992013724814669,17.27185063345675,10.621859184741764,-23.13846797550645,0.4761572532500325,2,True,False,False,True,False,False,False,True,3,False,-0.6009198486850543,True
US,RSI40_45_RECOVERY_60M,0,0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0,False,False,False,True,False,False,False,True,2,False,0.0,False
