strategy,signal_time,entry_time,exit_time,entry_i,exit_i,entry_price,initial_stop,stop_source,pivot_time,risk_pct,entry_gap_atr,atr_ratio_setup,vol_ratio_setup,breakout_vol_ratio,exit_price_weighted,return_pct,r_multiple,tp1_hit,exit_reason,period,trade_year,market,symbol,name,ticker,cost_bps_side,priority_breakout_vol,priority_atr_ratio,priority_vol_ratio,notional,allocation_at_entry_pct,planned_risk_dollars,equity_at_entry,open_positions_after_entry,open_risk_pct_of_equity_after_entry,gross_exposure_pct_after_entry,config,portfolio_pnl,equity_before_exit,equity_after_exit,portfolio_return_on_exit_equity_pct,closed_event_drawdown_pct,universe
SOR_E1_BE,2019-01-31,2019-02-01,2019-02-15,507,514,34000.0,32350.0,pivot,2019-01-28,4.852941176470588,0.0,0.8745980707395499,0.6308493899297053,1.0199144977823598,32350.0,-4.948040685539579,-1.0,False,initial_stop,Y2019,2019,KOSPI,035250,강원랜드,035250.KS,5.0,1.0199144977823598,0.8745980707395499,0.6308493899297053,0.20606060606060608,20.60606060606061,0.01,1.0,1,1.0,20.60606060606061,P8_R8,-0.010195962624748223,1.0,0.9898040373752518,-1.0195962624748223,1.01959626247482,KOSPI40_ROLLING
SOR_E1_BE,2019-02-18,2019-02-19,2019-03-06,516,526,390500.0,366000.0,pivot,2019-02-08,6.274007682458387,0.0,0.6779661016949152,0.962947544536911,1.9172641263064447,373500.0,-4.4489918932979045,-0.6938775510204082,False,trend_off_next_open,Y2019,2019,KOSPI,051910,LG화학,051910.KS,5.0,1.9172641263064447,0.6779661016949152,0.962947544536911,0.1577626435081779,15.938775510204083,0.009898040373752519,0.9898040373752518,1,1.0000000000000002,15.938775510204083,P8_R8,-0.007018847220331307,0.9898040373752518,0.9827851901549205,-0.7091148303399313,1.7214809845079504,KOSPI40_ROLLING
SOR_E1_BE,2019-04-03,2019-04-04,2019-05-13,547,572,36500.0,33750.0,pivot,2019-03-25,7.534246575342466,0.10101010101010101,0.8631578947368421,0.9642667114609001,1.6971578198862467,41850.0,14.54293401244582,1.9454545454545453,True,trend_off_next_open,Y2019,2019,KOSPI,000270,기아차,000270.KS,5.0,1.6971578198862467,0.8631578947368421,0.9642667114609001,0.13044239796601675,13.272727272727277,0.009827851901549207,0.9827851901549205,1,1.0000000000000002,13.272727272727277,P8_R8,0.018970151860449782,0.9827851901549205,1.0017553420153702,1.9302439689246271,-0.0,KOSPI40_ROLLING
SOR_E1_BE,2019-06-13,2019-06-14,2019-07-02,595,607,467000.0,441000.0,pivot,2019-06-07,5.56745182012848,0.0,0.8725490196078431,0.8391091648086832,1.4463121131574712,455500.0,-2.560015495464263,-0.4423076923076923,False,trend_off_next_open,Y2019,2019,KOSPI,010130,고려아연,010130.KS,5.0,1.4463121131574712,0.8725490196078431,0.8391091648086832,0.17993067104660684,17.96153846153846,0.0100175534201537,1.0017553420153702,1,0.9999999999999998,17.96153846153846,P8_R8,-0.004606253059885965,1.0017553420153702,0.9971490889554843,-0.4598181678391579,0.4598181678391544,KOSPI40_ROLLING
SOR_E1_BE,2019-06-24,2019-06-25,2019-07-03,602,608,43150.0,41250.0,pivot,2019-06-14,4.40324449594438,0.0,0.5971370143149284,0.4901807078087834,1.0480958633614121,41250.0,-4.4987934769579185,-1.0,False,initial_stop,Y2019,2019,KOSPI,000270,기아차,000270.KS,5.0,1.0480958633614121,0.5971370143149284,0.4901807078087834,0.22750391056822752,22.710526315789476,0.010017553420153704,1.0017553420153702,2,2.0,40.67206477732794,P8_R8,-0.010234931088467597,0.9971490889554843,0.9869141578670166,-1.0264193390768386,1.4815178443167043,KOSPI40_ROLLING
SOR_E1_BE,2019-06-25,2019-06-26,2019-07-09,603,612,26200.0,24000.0,pivot,2019-06-20,8.396946564885496,0.13333333333333333,0.8947368421052632,0.5601328633467157,1.3637610416802237,25700.0,-2.0064395283274306,-0.22727272727272727,False,trend_off_next_open,Y2019,2019,KOSPI,035720,카카오,035720.KS,5.0,1.3637610416802237,0.8947368421052632,0.5601328633467157,0.119299954367285,11.909090909090908,0.010017553420153702,1.0017553420153702,3,3.0,52.581155686418846,P8_R8,-0.002393681441701793,0.9869141578670166,0.9845204764253148,-0.24254201063192507,1.7204665517811524,KOSPI40_ROLLING
SOR_E1_BE,2019-06-27,2019-06-28,2019-07-19,605,620,233500.0,222000.0,pivot,2019-06-21,4.925053533190578,0.0,0.8305084745762712,0.821108728077357,1.0277151630825858,233500.0,-0.09995002498750516,0.0,False,trend_off_next_open,Y2019,2019,KOSPI,012330,현대모비스,012330.KS,5.0,1.0277151630825858,0.8305084745762712,0.821108728077357,0.20339988900920777,20.304347826086953,0.010017553420153702,1.0017553420153702,4,4.0,72.8855035125058,P8_R8,-0.00020329823988926094,0.9845204764253148,0.9843171781854255,-0.020649467914310368,1.7407607525068869,KOSPI40_ROLLING
SOR_E1_BE,2019-09-02,2019-09-03,2019-09-10,651,656,27500.0,26200.0,pivot,2019-08-29,4.7272727272727275,0.1342281879194631,0.7012987012987013,0.7910685798728022,1.2203665963952293,26600.0,-3.3694062059879126,-0.6923076923076923,False,trend_off_next_open,Y2019,2019,KOSPI,035720,카카오,035720.KS,5.0,1.2203665963952293,0.7012987012987013,0.7910685798728022,0.20822094153922463,21.153846153846153,0.009843171781854254,0.9843171781854255,1,0.9999999999999999,21.153846153846153,P8_R8,-0.0070158093263890985,0.9843171781854255,0.9773013688590364,-0.7127590051128277,2.441112328598749,KOSPI40_ROLLING
SOR_E1_BE,2019-09-02,2019-09-03,2019-09-16,651,658,549000.0,521000.0,pivot,2019-08-26,5.100182149362477,0.0,0.8548387096774194,0.807118179999536,1.1685282105572021,521000.0,-5.195034541017285,-1.0,False,initial_stop,Y2019,2019,KOSPI,036570,엔씨소프트,036570.KS,5.0,1.1685282105572021,0.8548387096774194,0.807118179999536,0.1929964752942138,19.607142857142858,0.009843171781854256,0.9843171781854255,2,2.0000000000000004,40.760989010989015,P8_R8,-0.010026233554480297,0.9773013688590364,0.9672751353045561,-1.025910110633075,3.4419788210408253,KOSPI40_ROLLING
SOR_E1_BE,2019-09-18,2019-09-19,2019-10-07,661,672,157000.0,145000.0,pivot,2019-09-05,7.643312101910828,0.0,0.8323699421965318,0.9759636300403843,1.0049906041907388,150500.0,-4.235939355163188,-0.5416666666666666,False,trend_off_next_open,Y2019,2019,KOSPI,035420,NAVER,035420.KS,5.0,1.0049906041907388,0.8323699421965318,0.9759636300403843,0.1265518302023461,13.083333333333334,0.00967275135304556,0.9672751353045561,1,0.9999999999999999,13.083333333333334,P8_R8,-0.0053606587802204715,0.9672751353045561,0.9619144765243356,-0.5542020656338504,3.977105368949785,KOSPI40_ROLLING
SOR_E1_BE,2019-10-22,2019-10-23,2019-11-21,683,704,51300.0,49650.0,pivot,2019-10-18,3.216374269005848,0.11019283746556474,0.8137535816618912,0.7004812601761417,1.1066770540183506,51600.0,0.4842607935798382,0.18181818181818182,False,trend_off_next_open,Y2019,2019,KOSPI,005930,삼성전자,005930.KS,5.0,1.1066770540183506,0.8137535816618912,0.7004812601761417,0.29906795542847525,31.090909090909093,0.009619144765243356,0.9619144765243356,1,1.0,31.090909090909093,P8_R8,0.001448268854300931,0.9619144765243356,0.9633627453786365,0.1505610830948224,3.8325322587742794,KOSPI40_ROLLING
SOR_E1_BE,2019-11-22,2019-11-25,2019-11-29,706,710,44500.0,43100.0,pivot,2019-11-20,3.146067415730337,0.3519061583577713,0.8163265306122449,0.8080658881359243,1.1286249570037352,43100.0,-3.2428729455496907,-1.0,False,initial_stop,Y2019,2019,KOSPI,000270,기아차,000270.KS,5.0,1.1286249570037352,0.8163265306122449,0.8080658881359243,0.3062117297810666,31.785714285714285,0.009633627453786365,0.9633627453786365,1,1.0,31.785714285714285,P8_R8,-0.009930057341169933,0.9633627453786365,0.9534326880374666,-1.0307703291211516,4.823797982517986,KOSPI40_ROLLING
SOR_E1_BE,2019-12-09,2019-12-10,2019-12-30,717,730,117000.0,109500.0,pivot,2019-11-29,6.410256410256411,0.0,0.896,0.8129823289725914,1.1110847137158146,125000.0,6.730822622876587,1.0666666666666667,False,end_of_data,Y2019,2019,KOSPI,009150,삼성전기,009150.KS,5.0,1.1110847137158146,0.896,0.8129823289725914,0.14873549933384478,15.599999999999998,0.009534326880374666,0.9534326880374666,1,1.0,15.599999999999998,P8_R8,0.010011122637410878,0.9534326880374666,0.9634438106748775,1.0500083291687474,3.824439933947954,KOSPI40_ROLLING
