universe,base_positive_years,base_years,base_median_annual_return_pct,base_compounded_return_pct,cost20_compounded_return_pct,verdict
KOSPI40_ROLLING,5,8,0.844815967567325,15.359676423106494,7.5568316819845105,ROLLING_PIT_SUPPORTED
KOSDAQ40_ROLLING,5,8,1.7369192927484067,20.485961080993565,16.431550058938903,ROLLING_PIT_SUPPORTED
KR80_ROLLING,4,8,0.5890117991413646,16.122430291221356,5.758595022984037,ROLLING_PIT_MIXED
