strategy,signal_time,entry_time,exit_time,entry_i,exit_i,entry_price,initial_stop,stop_source,pivot_time,risk_pct,entry_gap_atr,atr_ratio_setup,vol_ratio_setup,breakout_vol_ratio,exit_price_weighted,return_pct,r_multiple,tp1_hit,exit_reason,period,trade_year,market,symbol,name,ticker,cost_bps_side,priority_breakout_vol,priority_atr_ratio,priority_vol_ratio
SOR_E1_BE,2019-06-25,2019-06-26,2019-07-01,603,606,476000.0,462500.0,pivot,2019-06-18,2.8361344537815127,0.0,0.8629441624365483,0.8761904875518859,1.1937565564938362,462500.0,-2.933249761673784,-1.0,False,initial_stop,Y2019,2019,KOSPI,010130,고려아연,010130.KS,5.0,1.1937565564938362,0.8629441624365483,0.8761904875518859
SOR_E1_BE,2019-12-09,2019-12-10,2019-12-30,717,730,117000.0,109500.0,pivot,2019-11-29,6.410256410256411,0.0,0.896,0.8129823289725914,1.1110847137158146,125000.0,6.730822622876587,1.0666666666666667,False,end_of_data,Y2019,2019,KOSPI,009150,삼성전기,009150.KS,5.0,1.1110847137158146,0.896,0.8129823289725914
SOR_E1_BE,2019-12-13,2019-12-16,2019-12-30,721,730,122500.0,109500.0,pivot,2019-11-29,10.612244897959183,0.0,0.7272727272727273,0.8827891705355267,1.2279658338215607,125000.0,1.938826505114788,0.19230769230769232,False,end_of_data,Y2019,2019,KOSPI,009150,삼성전기,009150.KS,5.0,1.2279658338215607,0.7272727272727273,0.8827891705355267
SOR_E1_BE,2019-01-31,2019-02-01,2019-02-15,507,514,34000.0,32350.0,pivot,2019-01-28,4.852941176470588,0.0,0.8745980707395499,0.6308493899297053,1.0199144977823598,32350.0,-4.948040685539579,-1.0,False,initial_stop,Y2019,2019,KOSPI,035250,강원랜드,035250.KS,5.0,1.0199144977823598,0.8745980707395499,0.6308493899297053
SOR_E1_BE,2019-01-23,2019-01-24,2019-01-28,501,503,30800.0,26550.0,pivot,2019-01-18,13.7987012987013,0.0,0.8663967611336032,0.8185077415389241,1.651496257056757,26550.0,-13.884859518292792,-1.0,False,initial_stop,Y2019,2019,KOSDAQ,025980,아난티,025980.KQ,5.0,1.651496257056757,0.8663967611336032,0.8185077415389241
SOR_E1_BE,2019-12-13,2019-12-16,2019-12-26,721,728,21060.0,19580.0,pivot,2019-12-04,7.027540360873695,0.0,0.8959435626102292,0.9056587699807711,1.038354464017383,20300.0,-3.7050800335824308,-0.5135135135135135,False,trend_off_next_open,Y2019,2019,KOSDAQ,098460,고영,098460.KQ,5.0,1.038354464017383,0.8959435626102292,0.9056587699807711
SOR_E1_BE,2019-01-15,2019-01-16,2019-01-21,495,498,33100.0,29650.0,pivot,2019-01-11,10.422960725075528,0.09316770186335403,0.6787479406919276,0.6205099386217624,2.3987084956766913,29650.0,-10.512492998213862,-1.0,False,initial_stop,Y2019,2019,KOSDAQ,035900,JYP Ent.,035900.KQ,5.0,2.3987084956766913,0.6787479406919276,0.6205099386217624
SOR_E1_BE,2019-04-02,2019-04-03,2019-04-19,546,558,32300.0,28000.0,pivot,2019-03-15,13.312693498452012,0.0,0.7124463519313304,0.7487276848673882,2.8732020225158483,30750.0,-4.893915271466431,-0.36046511627906974,False,trend_off_next_open,Y2019,2019,KOSDAQ,035900,JYP Ent.,035900.KQ,5.0,2.8732020225158483,0.7124463519313304,0.7487276848673882
SOR_E1_BE,2019-02-21,2019-02-22,2019-03-18,519,534,51500.0,46400.0,pivot,2019-02-14,9.902912621359222,0.34146341463414637,0.8480204342273308,0.8755621551596784,2.7837495192233197,50000.0,-3.0096602184344734,-0.29411764705882354,False,trend_off_next_open,Y2019,2019,KOSDAQ,000250,삼천당제약,000250.KQ,5.0,2.7837495192233197,0.8480204342273308,0.8755621551596784
SOR_E1_BE,2019-10-08,2019-10-10,2019-11-11,674,696,29500.0,28450.0,pivot,2019-10-04,3.559322033898305,0.0,0.7755102040816326,0.7721292476236823,1.1826306884426763,31350.0,6.164968363276002,1.7619047619047619,True,trend_off_next_open,Y2019,2019,KOSDAQ,240810,원익IPS,240810.KQ,5.0,1.1826306884426763,0.7755102040816326,0.7721292476236823
SOR_E1_BE,2019-02-27,2019-02-28,2019-04-08,523,549,37933.33203125,27833.333984375,pivot,2019-01-24,26.62565481607174,0.4488779585287616,0.8712331331219088,0.6365004673674847,1.7010768275791854,41166.66796875,8.41526349425077,0.32013233294638244,False,trend_off_next_open,Y2019,2019,KOSDAQ,140410,메지온,140410.KQ,5.0,1.7010768275791854,0.8712331331219088,0.6365004673674847
