ticker,interval
AMAT,NONE
AMZN,NONE
AVGO,NONE
GOOGL,NONE
ISRG,NONE
JNJ,NONE
JPM,NONE
MA,NONE
META,NONE
MSFT,NONE
MU,NONE
NFLX,NONE
NVDA,NONE
ORCL,NONE
PLTR,NONE
QCOM,NONE
TMUS,NONE
TSLA,NONE
WMT,NONE
