variant,research_survivor,trades_5bps,pnl_5bps,pf_5bps,pnl_20bps,pf_20bps,h1_pnl,july_pnl
STRICT_30_35,False,11,-83.28432262732386,0.6521511503681946,-117.0567806210898,0.5450042297245259,-17.716758224120223,-65.56756440320363
MODERATE_35_40,False,39,-201.29726401849766,0.6939754424482633,-324.04892550646645,0.55695457595058,-61.78299663290966,-139.514267385588
