variant,cost_bps_side,candidates,risk_rejects,open_at_boundary,trades,pnl,pf,winrate,max_trade_loss,avg_mfe_R
STRICT_30_35,5.0,11,0,0,11,-83.28432262732386,0.6521511503681946,0.45454545454545453,-65.56756440320363,1.3520443965794027
STRICT_30_35,10.0,11,0,0,11,-94.56444202335241,0.6146296218884004,0.45454545454545453,-66.5685382346512,1.3520443965794027
STRICT_30_35,20.0,11,0,0,11,-117.0567806210898,0.5450042297245259,0.45454545454545453,-68.55714681735716,1.3520443965794027
MODERATE_35_40,5.0,43,4,0,39,-201.29726401849766,0.6939754424482633,0.358974358974359,-63.40780690733326,1.246588721330212
MODERATE_35_40,10.0,43,4,0,39,-242.55276522427076,0.6446242054187853,0.358974358974359,-64.00138044707712,1.246588721330212
MODERATE_35_40,20.0,43,4,0,39,-324.04892550646645,0.55695457595058,0.358974358974359,-65.14832117483216,1.246588721330212
