order_policy,ending_equity,return_pct,trades,wins,losses,pf,max_dd_pct,commissions,taxes,pnl,trade_trades,trade_pnl,trade_pf,trade_winrate,trade_top1_share,trade_top3_share,trade_residual_top1,trade_residual_top3,rejects
ASC,5761572.426500001,0.15231448530000025,27,14,13,4.102127428929279,0.02833554624517176,7465.327499999999,44252.246,761572.4265000003,27,761572.4265000003,4.102127428929279,0.5185185185185185,0.33829255129462554,0.5853311384233535,426479.52650000015,181777.48900000006,36
DESC,5786433.966500001,0.15728679330000017,27,14,13,4.203396411990894,0.02833554624517176,7506.187499999999,44549.846,786433.9665000002,27,786433.9665000002,4.203396411990894,0.5185185185185185,0.3411832956265283,0.5710764504290095,451341.0665000001,225551.6889999999,36
HASH_0,5788652.1665,0.15773043330000003,27,14,13,4.212431848179774,0.02833554624517176,7529.5875,44708.246,788652.1665000003,27,788652.1665000003,4.212431848179774,0.5185185185185185,0.329290309979471,0.5511698368421614,453559.26650000014,227769.88899999997,36
HASH_1,5788652.1665,0.15773043330000003,27,14,13,4.212431848179774,0.02833554624517176,7529.5875,44708.246,788652.1665000003,27,788652.1665000003,4.212431848179774,0.5185185185185185,0.329290309979471,0.5511698368421614,453559.26650000014,227769.88899999997,36
HASH_2,5758252.626500001,0.15165052530000023,27,14,13,4.088604824538402,0.02833554624517176,7377.1275,43660.246,758252.6265000002,27,758252.6265000002,4.088604824538402,0.5185185185185185,0.3394301512006729,0.5681420175050047,423159.7265000001,197370.34899999993,36
HASH_3,5786433.966500001,0.15728679330000017,27,14,13,4.203396411990894,0.02833554624517176,7506.187499999999,44549.846,786433.9665000002,27,786433.9665000002,4.203396411990894,0.5185185185185185,0.3411832956265283,0.5710764504290095,451341.0665000001,225551.6889999999,36
HASH_4,5761572.426500001,0.15231448530000025,27,14,13,4.102127428929279,0.02833554624517176,7465.327499999999,44252.246,761572.4265000003,27,761572.4265000003,4.102127428929279,0.5185185185185185,0.33829255129462554,0.5853311384233535,426479.52650000015,181777.48900000006,36
HASH_5,5786433.966500001,0.15728679330000017,27,14,13,4.203396411990894,0.02833554624517176,7506.187499999999,44549.846,786433.9665000002,27,786433.9665000002,4.203396411990894,0.5185185185185185,0.3411832956265283,0.5710764504290095,451341.0665000001,225551.6889999999,36
HASH_6,5758252.626500001,0.15165052530000023,27,14,13,4.088604824538402,0.02833554624517176,7377.1275,43660.246,758252.6265000002,27,758252.6265000002,4.088604824538402,0.5185185185185185,0.3394301512006729,0.5681420175050047,423159.7265000001,197370.34899999993,36
HASH_7,5786433.966500001,0.15728679330000017,27,14,13,4.203396411990894,0.02833554624517176,7506.187499999999,44549.846,786433.9665000002,27,786433.9665000002,4.203396411990894,0.5185185185185185,0.3411832956265283,0.5710764504290095,451341.0665000001,225551.6889999999,36
HASH_8,5786433.966500001,0.15728679330000017,27,14,13,4.203396411990894,0.02833554624517176,7506.187499999999,44549.846,786433.9665000002,27,786433.9665000002,4.203396411990894,0.5185185185185185,0.3411832956265283,0.5710764504290095,451341.0665000001,225551.6889999999,36
HASH_9,5761572.426500001,0.15231448530000025,27,14,13,4.102127428929279,0.02833554624517176,7465.327499999999,44252.246,761572.4265000003,27,761572.4265000003,4.102127428929279,0.5185185185185185,0.33829255129462554,0.5853311384233535,426479.52650000015,181777.48900000006,36
