capital_krw,slippage_ticks,ending_equity,return_pct,trades,wins,losses,pf,max_dd_pct,commissions,taxes,pnl,trade_trades,trade_pnl,trade_pf,trade_winrate,trade_top1_share,trade_top3_share,trade_residual_top1,trade_residual_top3,rejects
5000000,0,5928071.574999999,0.1856143149999998,28,16,12,5.177756750056753,0.024958024308723514,7955.684999999999,47272.74,928071.5750000001,28,928071.5750000001,5.177756750056753,0.5714285714285714,0.30692194798213407,0.5966413378640006,589982.8250000001,270843.49,35
5000000,1,5761572.426500001,0.15231448530000025,27,14,13,4.102127428929279,0.02833554624517176,7465.327499999999,44252.246,761572.4265000003,27,761572.4265000003,4.102127428929279,0.5185185185185185,0.33829255129462554,0.5853311384233535,426479.52650000015,181777.48900000006,36
5000000,2,5671730.920500001,0.1343461841000002,27,15,12,3.5269601122678504,0.030132421954038868,7323.697499999999,43275.382,671730.9204999998,27,671730.9204999998,3.5269601122678504,0.5555555555555556,0.3600261301502606,0.6075502692507952,339633.87049999984,111311.45299999963,36
5000000,3,5611323.5195,0.1222647039,27,15,12,3.0923941240618364,0.03225469243175538,7323.862499999999,43222.618,611323.5194999997,27,611323.5194999997,3.0923941240618364,0.5555555555555556,0.3698783156197419,0.6113314006053615,282222.31949999975,67388.152,36
20000000,0,23605319.142500002,0.18026595712500004,33,17,16,3.723532282351806,0.030051220165250192,37997.392499999994,224333.465,3605319.1424999996,33,3605319.1424999996,3.723532282351806,0.5151515151515151,0.3315127398950333,0.6108783246148958,2083919.7674999996,801837.4374999995,30
20000000,1,23106609.29100001,0.15533046455000044,32,15,17,3.172055756140938,0.031375164005345346,36436.275,214614.434,3106609.291000001,32,3106609.291000001,3.172055756140938,0.46875,0.3475407130074461,0.6125191654962846,1598691.2410000013,448996.32350000134,31
20000000,2,22893442.290999986,0.1446721145499994,32,16,16,2.947495440254172,0.031554466228018385,35953.485,211464.224,2893442.2909999993,32,2893442.2909999993,2.947495440254172,0.5,0.35315267399633754,0.6089310014836419,1399005.5659999996,316628.0159999998,31
20000000,3,22415807.73249999,0.12079038662499952,32,16,16,2.5009902951840823,0.03363434839879642,35452.5675,207989.7,2415807.732499998,32,2415807.732499998,2.5009902951840823,0.5,0.3387547386729665,0.6000692156989439,1099402.9324999982,83931.87749999901,31
