symbol,name,pnl
006400,삼성SDI,335092.90000000014
000810,삼성화재,135345.65000000008
003490,대한항공,109356.38750000007
034730,SK,86288.19999999995
012330,현대모비스,80749.25
096770,SK이노베이션,73179.995
009540,HD한국조선해양,62766.83999999997
009150,삼성전기,60515.76000000001
003550,LG,24195.080000000075
035420,NAVER,23051.70000000007
055550,신한지주,-2275.9649999999674
005930,삼성전자,-5013.125
010950,S-Oil,-6620.880000000121
010130,고려아연,-8284.79999999993
068270,셀트리온,-8491.079999999958
018260,삼성에스디에스,-11354.734999999986
005380,현대차,-29814.400000000023
086790,하나금융지주,-33254.1050000001
373220,LG에너지솔루션,-36252.07499999995
051910,LG화학,-40896.45000000007
011200,HMM,-46711.72100000002
