top_n,ticker_count,ending_equity,return_pct,trades,wins,losses,pf,max_dd_pct,commissions,taxes,pnl,trade_trades,trade_pnl,trade_pf,trade_winrate,trade_top1_share,trade_top3_share,trade_residual_top1,trade_residual_top3,rejects
25,25,5484838.069999998,0.09696761399999976,14,7,7,4.950023176456487,0.02597975269361852,3846.5999999999995,23615.33,484838.07000000024,14,484838.07000000024,4.950023176456487,0.5,0.5773480439999531,0.8425603135381604,149745.1700000001,-4184.074999999895,21
30,30,5632579.819999998,0.12651596399999976,19,10,9,5.055071629490786,0.025308870255798865,5287.830000000001,31632.35,632579.8200000003,19,632579.8200000003,5.055071629490786,0.5263157894736842,0.42493363552491037,0.7026236067594259,297486.92000000016,78506.98999999999,25
35,35,5653914.8999999985,0.13078297999999977,22,12,10,4.5561534368836165,0.025214841931337273,5917.0199999999995,35268.08,653914.9000000004,22,653914.9000000004,4.5561534368836165,0.5454545454545454,0.40801952023303123,0.6711433805798331,318822.00000000023,102727.1000000001,29
40,40,5761572.426500001,0.15231448530000025,27,14,13,4.102127428929279,0.02833554624517176,7465.327499999999,44252.246,761572.4265000003,27,761572.4265000003,4.102127428929279,0.5185185185185185,0.33829255129462554,0.5853311384233535,426479.52650000015,181777.48900000006,36
