test,excluded_symbols,ticker_count,ending_equity,return_pct,trades,wins,losses,pf,max_dd_pct,commissions,taxes,pnl,trade_trades,trade_pnl,trade_pf,trade_winrate,trade_top1_share,trade_top3_share,trade_residual_top1,trade_residual_top3,rejects
EXCLUDE_TOP1,006400,39,5426694.124,0.08533882479999999,26,13,13,2.7451886496585978,0.02833554624517176,7056.629999999999,41189.246,426694.124,26,426694.124,2.7451886496585978,0.5,0.2067416328639853,0.5043866874975039,291348.47399999993,96491.91399999999,34
EXCLUDE_RANK1,006400,39,5426694.124,0.08533882479999999,26,13,13,2.7451886496585978,0.02833554624517176,7056.629999999999,41189.246,426694.124,26,426694.124,2.7451886496585978,0.5,0.2067416328639853,0.5043866874975039,291348.47399999993,96491.91399999999,34
EXCLUDE_RANK2,000810,39,5594282.538500001,0.11885650770000011,24,11,13,3.5593911384018546,0.02889592794273499,6567.637499999999,38859.82399999999,594282.5385000003,24,594282.5385000003,3.5593911384018546,0.4583333333333333,0.4137211559344866,0.6458374639963296,259189.63850000012,71187.34350000008,36
EXCLUDE_RANK3,003490,39,5655064.339,0.1310128678,26,13,13,3.6682860132743094,0.02833554624517176,7100.865,42274.796,655064.3390000002,26,655064.3390000002,3.6682860132743094,0.5,0.3790499270290807,0.6234918596285375,319971.439,103876.53899999987,35
EXCLUDE_TOP3_TOGETHER,"000810,003490,006400",37,5185572.358499999,0.03711447169999982,22,9,13,1.8026686882973986,0.02889592794273499,5829.067499999999,34108.57400000001,185572.35849999986,22,185572.35849999986,1.8026686882973986,0.4090909090909091,0.20175415813872657,0.5414209568650227,104823.10849999986,-31123.726500000106,33
