fold,asof_exclusive,recovered_episodes,min_required,quantile,available,pct_q75,atr_q75,latest_recovery_used
2025Q1,2025-01-01 00:00:00+00:00,4010,30,0.75,True,0.025441256710810836,3.697531053359946,2024-12-26 16:30:00+00:00
2025Q2,2025-04-01 00:00:00+00:00,4693,30,0.75,True,0.025935006627540245,3.6710854498663825,2025-03-31 16:30:00+00:00
2025Q3,2025-07-01 00:00:00+00:00,5355,30,0.75,True,0.025860762214840075,3.6096899884705063,2025-06-30 18:30:00+00:00
2025Q4,2025-10-01 00:00:00+00:00,6383,30,0.75,True,0.027167992793914637,3.68234761766319,2025-09-30 16:30:00+00:00
FROZEN_2026,2026-01-01 00:00:00+00:00,7200,30,0.75,True,0.029521686385547675,3.8600498876069826,2025-12-29 17:30:00+00:00
