exit_mode,window,slippage_ticks,trades,wins,losses,sum_net_r,mean_net_r,median_net_r,pf,winrate,avg_win_r,avg_loss_r,max_drawdown_r,mean_ci95_low,mean_ci95_high,top3_ticker_r,residual_ex_top3_r,max_positive_month_share,best_month_net_r,worst_month_net_r
FIXED_1R_2R,VALIDATION_2026_H1,1,329,112,217,18.68402496728801,0.05679034944464441,-0.2562660301791322,1.2048659191645799,0.3404255319148936,0.9811183982337691,0.4202821918658715,20.616175826476088,-0.025307853054448437,0.13888855194373725,18.708266986699712,-0.024242019411701676,0.4954701421573943,16.503068005842906,-12.841848213246461
FIXED_1R_2R,STRESS_2026_07_PLUS,2,55,18,37,-3.097403521164213,-0.05631642765753114,-0.2805528851517298,0.7846043007638487,0.32727272727272727,0.6268143629311009,0.3886503257817305,8.61446076491411,-0.21231528155798196,0.09968242624291968,4.639890548422584,-7.737294069586797,1.0,1.839982160523335,-4.937385681687548
ATR75_RUNNER,VALIDATION_2026_H1,1,329,111,218,16.524104235863433,0.05022524083849068,-0.2562660301791322,1.1810128527081896,0.3373860182370821,0.9712704105580515,0.4187472997067902,12.60572628117591,-0.031611679702841976,0.13206216137982332,18.068075442834754,-1.543971206971321,0.5237067572727265,16.33138905687663,-10.974059623722788
ATR75_RUNNER,STRESS_2026_07_PLUS,2,55,18,37,-2.406491020151841,-0.04375438218457893,-0.2805528851517298,0.8326508598413762,0.32727272727272727,0.6651983907651215,0.3886503257817305,7.745801797824064,-0.22144676656762197,0.13393800219846408,6.099428256577258,-8.505919276729099,1.0,1.6684958721179663,-4.074986892269807
