exit_mode,selection_window,one_tick_trades,one_tick_wins,one_tick_losses,one_tick_sum_net_r,one_tick_mean_net_r,one_tick_median_net_r,one_tick_pf,one_tick_winrate,one_tick_avg_win_r,one_tick_avg_loss_r,one_tick_max_drawdown_r,one_tick_mean_ci95_low,one_tick_mean_ci95_high,one_tick_top3_ticker_r,one_tick_residual_ex_top3_r,two_tick_trades,two_tick_wins,two_tick_losses,two_tick_sum_net_r,two_tick_mean_net_r,two_tick_median_net_r,two_tick_pf,two_tick_winrate,two_tick_avg_win_r,two_tick_avg_loss_r,two_tick_max_drawdown_r,two_tick_mean_ci95_low,two_tick_mean_ci95_high,two_tick_top3_ticker_r,two_tick_residual_ex_top3_r,baseline_one_tick_net_r,profit_retention_vs_baseline,folds_available,profitable_folds,max_positive_month_share,best_month_net_r,worst_month_net_r,sample_100,all_four_folds,one_tick_positive,retains_half_baseline,mdd_20r_or_less,three_profitable_folds,two_tick_positive,residual_ex_top3_positive,month_share_50pct_or_less,criteria_pass_count,development_gate_pass,net_r_per_mdd,selected_for_locked_test
FIXED_1R_2R,2025_QUARTERLY_WALK_FORWARD_ONLY,623,186,437,-7.380277553178372,-0.011846352412806375,-0.2769514219638296,0.960556724115456,0.2985553772070626,0.9662951280135261,0.4281720168505589,37.38851772099754,-0.06929389816686497,0.045601193341252226,19.771878641175057,-27.15215619435343,623,186,437,-9.72877660183902,-0.015616013807125231,-0.2791027302411955,0.9483008727937181,0.2985553772070626,0.959418803106638,0.43061939125783444,37.88503373212371,-0.07292580192060882,0.041693774306358365,19.72270024027673,-29.45147684211575,-7.380277553178372,,4,1,0.6113843117476252,22.939991066832413,-15.87030843790183,True,True,False,False,False,False,False,False,False,2,False,-0.19739422697235143,False
PCT75_RUNNER,2025_QUARTERLY_WALK_FORWARD_ONLY,623,188,435,-4.476166442931719,-0.007184857853822984,-0.2737999555817652,0.9759929315587987,0.3017656500802568,0.9679566762300578,0.4286253369521439,31.89382665057229,-0.06490590391208305,0.050536188204437074,21.963540379886595,-26.439706822818316,623,188,435,-6.079086811292122,-0.009757763742041929,-0.27731204878680416,0.9675816906991102,0.3017656500802568,0.9651121347886484,0.43108084632542065,32.441922882624766,-0.0674459209224707,0.04793039343838684,21.890709533850448,-27.96979634514257,-7.380277553178372,,4,1,0.6282262466760555,24.0929521505514,-15.222229468771843,True,True,False,False,False,False,False,False,False,2,False,-0.1403458572711406,False
ATR75_RUNNER,2025_QUARTERLY_WALK_FORWARD_ONLY,623,188,435,-3.801051508511117,-0.0061012062736936065,-0.2737999555817652,0.979613782267312,0.3017656500802568,0.9715477131152738,0.4286253369521439,29.38057070185764,-0.06314500618886883,0.05094259364148161,20.21466814730915,-24.01571965582027,623,188,435,-5.4092197706526015,-0.008682535747435957,-0.27731204878680416,0.9711539306733089,0.3017656500802568,0.9686752573452413,0.43108084632542065,30.064734660104918,-0.06569325075444209,0.04832817925957017,20.13722624898895,-25.54644601964155,-7.380277553178372,,4,1,0.5746462644847441,23.465762208446883,-16.70849803112825,True,True,False,False,False,False,False,False,False,2,False,-0.12937296375494806,True
HIGHER_LOW_RUNNER,2025_QUARTERLY_WALK_FORWARD_ONLY,623,187,436,-8.2630114776526,-0.013263260798800322,-0.2769514219638296,0.9557928148148217,0.3001605136436597,0.9553613070528725,0.42870544930399024,26.84836873550976,-0.0676074642736451,0.04108094267604445,15.491358820484557,-23.754370298137157,623,187,436,-9.856155299805682,-0.01582047399647782,-0.2791027302411955,0.947569233013802,0.3001605136436597,0.9525563390512168,0.4311564006935395,27.22483640196719,-0.07014589651538006,0.03850494852242441,15.437995379387143,-25.294150679192825,-7.380277553178372,,4,1,0.5478459130422537,19.186134300726003,-17.014065464359344,True,True,False,False,False,False,False,False,False,2,False,-0.30776586685968405,False
