horizon_bars,target2_exits,available,mean_max_extra_r,median_max_extra_r,q75_max_extra_r,continued_at_least_0_5r,continued_at_least_1r
5,92,92,0.22227635541980037,0.15724336834143413,0.36099375469503003,0.11956521739130435,0.05434782608695652
10,92,92,0.3814410108599099,0.25044918801854354,0.5475532910962577,0.2717391304347826,0.09782608695652174
26,92,92,0.7084656673653913,0.48122829335318423,0.9637883348947613,0.5,0.21739130434782608
