period_type,period,trades,pnl,pf,winrate,variant,cost_bps_side
year,2023,52,-62.07519558620865,0.737680322911087,0.4807692307692308,RAW,5.0
year,2024,164,201.18314471475708,1.3373734798899293,0.5304878048780488,RAW,5.0
year,2025,140,211.16582784024038,1.3788081192706692,0.5428571428571428,RAW,5.0
year,2026,84,112.70803330631375,1.297826236819948,0.5833333333333334,RAW,5.0
month,2023-09,6,-41.754738602026606,0.28390698618486837,0.5,RAW,5.0
month,2023-10,17,45.36541863780087,1.7692535358521952,0.5882352941176471,RAW,5.0
month,2023-11,13,-24.204456243436,0.504782420443876,0.5384615384615384,RAW,5.0
month,2023-12,16,-41.48141937854692,0.41144985287336455,0.3125,RAW,5.0
month,2024-01,15,88.46539052596165,3.4784433833172717,0.5333333333333333,RAW,5.0
month,2024-02,15,31.294095571865853,1.9662118918987912,0.6,RAW,5.0
month,2024-03,14,48.81334873793608,3.478937685612563,0.7142857142857143,RAW,5.0
month,2024-04,12,-34.10016075557505,0.40315912331369563,0.4166666666666667,RAW,5.0
month,2024-05,18,-3.9594195035830637,0.9310832343793531,0.5,RAW,5.0
month,2024-06,14,70.36108786021848,2.9746276324036254,0.6428571428571429,RAW,5.0
month,2024-07,17,-124.68025860772744,0.16680732893573652,0.29411764705882354,RAW,5.0
month,2024-08,12,-5.4546187044316525,0.8711636749687439,0.5833333333333334,RAW,5.0
month,2024-09,12,36.25309074644903,1.9448908356008856,0.5833333333333334,RAW,5.0
month,2024-10,14,13.33494228472091,1.3885045508113734,0.5714285714285714,RAW,5.0
month,2024-11,12,39.20303236995477,1.9071471507253286,0.6666666666666666,RAW,5.0
month,2024-12,9,41.652614188967505,1.8257398226655388,0.2222222222222222,RAW,5.0
month,2025-01,14,46.75413269887059,2.312243229987151,0.5714285714285714,RAW,5.0
month,2025-02,13,-9.044818088836848,0.8089210863571048,0.6153846153846154,RAW,5.0
month,2025-03,10,-27.09118933041333,0.530227628696063,0.4,RAW,5.0
month,2025-04,7,24.28087181086869,1.6570826867906314,0.7142857142857143,RAW,5.0
month,2025-05,10,16.767050207231847,1.5415357172365696,0.5,RAW,5.0
month,2025-06,9,-8.117620844986504,0.81146185129145,0.3333333333333333,RAW,5.0
month,2025-07,12,31.88210941106314,3.504678727774988,0.6666666666666666,RAW,5.0
month,2025-08,13,-55.1128390474168,0.3921401830715815,0.38461538461538464,RAW,5.0
month,2025-09,11,67.2000691537493,2.583582574340318,0.5454545454545454,RAW,5.0
month,2025-10,20,132.07346059800886,3.0719710881780387,0.65,RAW,5.0
month,2025-11,8,38.23305316158198,2.3987157300579933,0.75,RAW,5.0
month,2025-12,13,-46.658451889480546,0.3231586468247521,0.38461538461538464,RAW,5.0
month,2026-01,14,-40.54810589252983,0.5343775028823995,0.42857142857142855,RAW,5.0
month,2026-02,9,-5.475247375684461,0.9048035820778157,0.4444444444444444,RAW,5.0
month,2026-03,11,-23.681738624022216,0.6942819725817663,0.45454545454545453,RAW,5.0
month,2026-04,11,121.2202410190699,8.545210851189795,0.8181818181818182,RAW,5.0
month,2026-05,11,38.773954689906134,2.9018240098217696,0.6363636363636364,RAW,5.0
month,2026-06,9,14.646165379561182,1.3417498209566143,0.5555555555555556,RAW,5.0
month,2026-07,15,-11.930053333864606,0.8451927608858663,0.6,RAW,5.0
month,2026-08,4,19.70281744387765,inf,1.0,RAW,5.0
year,2023,52,-86.5976197779294,0.6577062602556691,0.4807692307692308,RAW,10.0
year,2024,164,123.6135585837009,1.1957673808295615,0.5304878048780488,RAW,10.0
year,2025,139,114.7064029467374,1.195428838359554,0.5251798561151079,RAW,10.0
year,2026,84,64.19476317427238,1.1661358391001406,0.5476190476190477,RAW,10.0
month,2023-09,6,-45.718715434918664,0.2537644520031477,0.5,RAW,10.0
month,2023-10,17,37.62872184045011,1.5998308381028818,0.5882352941176471,RAW,10.0
month,2023-11,13,-28.917880951950508,0.44302555554182815,0.5384615384615384,RAW,10.0
month,2023-12,16,-49.589745231510335,0.3566000108046878,0.3125,RAW,10.0
month,2024-01,15,80.83195528961107,3.1472634844455367,0.5333333333333333,RAW,10.0
month,2024-02,15,26.056951441147817,1.7584873968583912,0.6,RAW,10.0
month,2024-03,14,42.96158737299416,2.99368814098667,0.7142857142857143,RAW,10.0
month,2024-04,12,-40.647298828534076,0.33630640455456123,0.4166666666666667,RAW,10.0
month,2024-05,18,-11.30702531762364,0.8158750663047779,0.5,RAW,10.0
month,2024-06,14,62.515991228741,2.6381382462296354,0.6428571428571429,RAW,10.0
month,2024-07,17,-132.17597535788914,0.1515891974889992,0.29411764705882354,RAW,10.0
