variant,cost_bps_side,test,excluded,trades,pnl,return_pct,pf,max_dd,wins,losses,rejects
RAW,5.0,top3,"AMAT,NFLX,ORCL",405,179.99851372319768,0.03599970274464037,1.1132794085324655,0.037165600230832485,216,189,110
RAW,5.0,semis,"AMAT,AMD,AVGO,MU,NVDA,QCOM",381,504.76139280199476,0.10095227856039757,1.3796837257514085,0.026876281458520168,213,168,81
RAW,10.0,top3,"AMAT,NFLX,ORCL",405,-30.40899594481718,-0.006081799188964343,0.9818609818878139,0.046386994008700055,210,195,110
RAW,10.0,semis,"AMAT,AMD,AVGO,MU,NVDA,QCOM",380,319.0949684757045,0.06381899369514143,1.2278924795383752,0.03054249391227759,209,171,82
NOT_BEAR,5.0,top3,"AAPL,AMAT,ORCL",339,264.6627161700791,0.05293254323401664,1.2000954941925002,0.038800013467388705,182,157,82
NOT_BEAR,5.0,semis,"AMAT,AMD,AVGO,MU,NVDA,QCOM",317,443.58983189760727,0.08871796637952034,1.4116394274681152,0.02999480187216519,176,141,62
NOT_BEAR,10.0,top3,"AAPL,AMAT,ORCL",339,98.08707589834115,0.019617415179665754,1.070309963017371,0.04349190982681972,179,160,82
NOT_BEAR,10.0,semis,"AMAT,AMD,AVGO,MU,NVDA,QCOM",316,291.47590176808455,0.058295180353616916,1.2560667102373024,0.031873905993005325,172,144,63
BULL,5.0,top3,"AMAT,NFLX,ORCL",191,137.18899566206608,0.027437799132413954,1.1949644904456567,0.03263502358099457,104,87,19
BULL,5.0,semis,"AMAT,AMD,AVGO,MU,NVDA,QCOM",181,424.5892536928735,0.08491785073857483,1.759545056078747,0.020906581308001937,105,76,15
BULL,10.0,top3,"AMAT,NFLX,ORCL",190,30.819235847239383,0.006163847169450731,1.0412741201893236,0.03996795836541667,101,89,20
BULL,10.0,semis,"AMAT,AMD,AVGO,MU,NVDA,QCOM",181,330.56483541090756,0.0661129670821814,1.5524212629535148,0.022880810012678388,103,78,15
