variant,forward_shadow_candidate,strict_survivor,all_5bps_years_positive,july_2026_5bps_pnl,5bps_pf,10bps_pf,20bps_pf,30bps_pf,top3_5_ok,semis_5_ok,top3_10_ok,semis_10_ok
RAW,False,False,False,-11.930053333864606,1.2617424738874083,1.1162238486226002,0.8793169662703872,0.5416370292643656,True,True,False,True
NOT_BEAR,True,True,False,-34.6243519880681,1.442565115972189,1.2893416921130754,1.0419788064259383,0.741352648456823,True,True,True,True
BULL,True,True,False,12.705693504848227,1.6037109632991116,1.4289619026324034,1.1422127233844255,0.8914452893493049,True,True,True,True
