variant,cost_bps_side,trades,pnl,return_pct,pf,max_dd,wins,losses,rejects
RAW,5.0,440,462.9818102751026,0.09259636205502253,1.2617424738874083,0.03314585656418445,237,203,146
RAW,10.0,439,215.9171049267813,0.04318342098535677,1.1162238486226002,0.03609973011912293,231,208,147
RAW,20.0,457,-239.5334887984118,-0.04790669775967982,0.8793169662703872,0.0760130603104,236,221,129
RAW,30.0,172,-407.61384847886166,-0.08152276969577432,0.5416370292643656,0.08152276969577432,78,94,414
NOT_BEAR,5.0,367,626.2691050824669,0.12525382101649263,1.442565115972189,0.03174681030714477,201,166,107
NOT_BEAR,10.0,367,431.5127012742263,0.08630254025484319,1.2893416921130754,0.0350495312686574,197,170,107
NOT_BEAR,20.0,366,68.5181176060092,0.013703623521199138,1.0419788064259383,0.045386920474744796,193,173,108
NOT_BEAR,30.0,323,-380.20936133239667,-0.07604187226647796,0.741352648456823,0.08162655409653796,159,164,151
BULL,5.0,208,451.21562424308956,0.0902431248486184,1.6037109632991116,0.027709217703447475,116,92,31
BULL,10.0,208,340.6678995918975,0.06813357991838087,1.4289619026324034,0.03043157949811326,114,94,31
BULL,20.0,208,126.17020324348047,0.025234040648697276,1.1422127233844255,0.03646861961849557,110,98,31
BULL,30.0,206,-107.1608643578661,-0.021432172871572064,0.8914452893493049,0.05446119284975448,103,103,33
