market,capital,slippage_ticks,window,trades,wins,losses,pnl,return_pct,pf,winrate,avg_win,avg_loss,payoff_ratio,max_dd_pct
US,5000.0,0,DEVELOPMENT_TO_2025,262,113,149,111.92902500000035,0.022385805000000092,1.4604663866174563,0.4312977099236641,3.141650796460177,1.631392718120803,1.9257477133274423,0.004568192574449514
US,5000.0,0,STRESS_2026_07_PLUS,15,4,11,-8.99587500000007,-0.0017991750000001527,0.4356974026413901,0.26666666666666666,1.7364262499999832,1.4492345454545457,1.1981678572638228,0.0017935589784683348
US,5000.0,0,VALIDATION_2026_H1,35,8,27,-42.444555000000236,-0.008488911000000043,0.20224252175577426,0.22857142857142856,1.3450349999999887,1.9705494444444498,0.6825685109257381,0.008920416148933352
US,5000.0,1,DEVELOPMENT_TO_2025,262,112,150,98.4554650000011,0.01969109300000027,1.3861406800864038,0.42748091603053434,3.155611696428577,1.699820299999997,1.8564384108300052,0.005427637447640743
US,5000.0,1,STRESS_2026_07_PLUS,15,4,11,-9.50593000000002,-0.0019011859999999992,0.42077963781094757,0.26666666666666666,1.7264162499999856,1.4919631818181784,1.1571440039801058,0.0018435757582994095
US,5000.0,1,VALIDATION_2026_H1,34,7,27,-47.83240999999978,-0.009566481999999987,0.17126842472614462,0.20588235294117646,1.412172142857153,2.137689444444439,0.6606067810865579,0.009936150060162907
US,5000.0,2,DEVELOPMENT_TO_2025,260,109,151,77.7214099999974,0.015544281999999576,1.292419566607589,0.41923076923076924,3.151456146788983,1.7601808609271636,1.7904160968600544,0.007093732076835391
US,5000.0,2,STRESS_2026_07_PLUS,15,4,11,-10.005980000000122,-0.0020011959999999274,0.40693372088784263,0.26666666666666666,1.7164062499999915,1.5337822727272807,1.1190677324415672,0.0019052980629431504
US,5000.0,2,VALIDATION_2026_H1,34,7,27,-50.69265000000013,-0.010138529999999979,0.16026990552411866,0.20588235294117646,1.3821628571428326,2.2358440740740724,0.6181839213073148,0.01044268528403769
US,20000.0,0,DEVELOPMENT_TO_2025,429,177,252,418.2450750000033,0.020912253750000165,1.234452249807861,0.4125874125874126,12.441635112994367,7.079064841269839,1.7575252370145817,0.0074226207537537725
US,20000.0,0,STRESS_2026_07_PLUS,28,10,18,-58.5898750000008,-0.0029294937500000673,0.5959111626141324,0.35714285714285715,8.640268499999957,8.055142222222242,1.0726400927054383,0.002797741891855443
US,20000.0,0,VALIDATION_2026_H1,74,22,52,-294.37844499999846,-0.014718922249999933,0.4371745012700305,0.2972972972972973,10.393561363636325,10.058399903846107,1.0333215484564358,0.015181860636861
US,20000.0,1,DEVELOPMENT_TO_2025,429,177,252,347.8324000000101,0.017391620000000607,1.1899078770522789,0.4125874125874126,12.31309209039551,7.268194047619031,1.6941061300405327,0.007781425950548537
US,20000.0,1,STRESS_2026_07_PLUS,28,10,18,-61.28647999999873,-0.003064323999999896,0.5831671897213482,0.35714285714285715,8.574244500000031,8.168273611111058,1.0497009414984266,0.002926606727311043
US,20000.0,1,VALIDATION_2026_H1,72,20,52,-317.09820499999495,-0.015854910249999743,0.40934745814891066,0.2777777777777778,10.988130500000043,10.324246442307611,1.0643033911871678,0.016318296141281663
US,20000.0,2,DEVELOPMENT_TO_2025,428,173,255,216.4820499999974,0.010824102499999988,1.1131939564547404,0.40420560747663553,12.306183554913309,7.499951784313746,1.6408350225199932,0.009228739745939518
US,20000.0,2,STRESS_2026_07_PLUS,28,10,18,-64.37681499999968,-0.003218840750000007,0.569008122335984,0.35714285714285715,8.49921600000008,8.298276388888915,1.0242146202047713,0.0030751624470245487
US,20000.0,2,VALIDATION_2026_H1,72,20,52,-331.4530950000012,-0.016572654750000027,0.39745122886351825,0.2777777777777778,10.931599749999961,10.578559423076932,1.0333731950451475,0.017036683225912896
