strategy,exit_spec,ticker,symbol,market,name,setup_id,entry_time,starting_equity,slippage_ticks,planned_seed,reserved_risk,structural_stop,initial_stop,active_stop,first_entry,R,target1,target2,level,shares,cash_out,cash_in,commissions,taxes,partial_taken,added20,added60,bars_held,last_mark,mfe_R,mae_R,entry_i,exit_time,exit_raw_price,exit_reason,status,pnl,fill_count,fill_detail,event_detail
US|VALIDATE|execution_core_trend120_200|ma32_exit|5000.0|1T,ma32_exit,KO,KO,US,KO,NLEVEL_RR|KO|2T|327|333|334,2023-11-15 20:30:00+00:00,5000.0,1,1000.6043922746582,7.553206388930105,56.748368533404886,56.748368533404886,56.748368533404886,57.18,0.431631466595114,57.611631466595114,58.04326293319023,57.11750030517578,0,911.55555,909.1452,0.91035,0.0,False,True,True,9,57.189998626708984,0.810874105305179,-0.8572095765577171,335,2023-11-17 14:30:00+00:00,56.8650016784668,ma32_exit,MA_EXIT,-2.410349999999994,3,"[{""time"": ""2023-11-15 20:30:00+00:00"", ""price"": 57.18, ""shares"": 3, ""fraction"": 0.2, ""reason"": ""starter20""}, {""time"": ""2023-11-16 17:30:00+00:00"", ""price"": 57.019999999999996, ""shares"": 3, ""fraction"": 0.2, ""reason"": ""adverse20""}, {""time"": ""2023-11-16 17:30:00+00:00"", ""price"": 56.85, ""shares"": 10, ""fraction"": 0.6, ""reason"": ""support60""}]","[{""time"": ""2023-11-17 14:30:00+00:00"", ""price"": 56.85, ""shares"": 16, ""reason"": ""ma32_exit""}]"
US|VALIDATE|execution_core_trend120_200|ma32_exit|5000.0|1T,ma32_exit,SCHW,SCHW,US,SCHW,NLEVEL_RR|SCHW|4T|323|326|327,2023-11-14 20:30:00+00:00,5000.0,1,1000.0,34.135057680806185,53.47028320679057,53.47028320679057,53.47028320679057,55.36,1.8897167932094305,57.24971679320943,59.13943358641886,55.150001525878906,0,166.16304,170.13489,0.16815,0.0,False,False,False,26,56.75,0.7884771302638062,-0.3122158539080835,328,2023-11-20 17:30:00+00:00,56.75,time,TIME,3.9718500000000176,1,"[{""time"": ""2023-11-14 20:30:00+00:00"", ""price"": 55.36, ""shares"": 3, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2023-11-20 17:30:00+00:00"", ""price"": 56.74, ""shares"": 3, ""reason"": ""time""}]"
US|VALIDATE|execution_core_trend120_200|ma32_exit|5000.0|1T,ma32_exit,NVDA,NVDA,US,NVDA,NLEVEL_RR|NVDA|3T|350|351|353,2023-11-20 18:30:00+00:00,5000.0,1,1000.7648642065432,19.631239650521866,48.91134599125734,48.91134599125734,48.91134599125734,49.89,0.9786540087426587,50.86865400874266,51.84730801748532,49.717002868652344,0,397.7988,393.96292,0.39588,0.0,False,True,False,4,49.51,0.6723523633635703,-0.651382898769743,354,2023-11-21 14:30:00+00:00,49.28499984741211,ma32_exit,MA_EXIT,-3.8358800000000315,2,"[{""time"": ""2023-11-20 18:30:00+00:00"", ""price"": 49.89, ""shares"": 4, ""fraction"": 0.2, ""reason"": ""starter20""}, {""time"": ""2023-11-21 14:30:00+00:00"", ""price"": 49.51, ""shares"": 4, ""fraction"": 0.2, ""reason"": ""adverse20""}]","[{""time"": ""2023-11-21 14:30:00+00:00"", ""price"": 49.27, ""shares"": 8, ""reason"": ""ma32_exit""}]"
US|VALIDATE|execution_core_trend120_200|ma32_exit|5000.0|1T,ma32_exit,MU,MU,US,MU,NLEVEL_RR|MU|5T|345|347|349,2023-11-20 14:30:00+00:00,5000.0,1,1000.2411881994631,12.926578457628397,76.35037025520073,76.35037025520073,77.35000000000001,77.35000000000001,0.9996297447992788,78.34962974479929,79.34925948959857,77.38999938964844,0,154.77735,155.592165,0.15518500000000002,0.0,True,False,False,8,77.8499984741211,1.5555747389340673,-0.6102280763493717,350,2023-11-21 14:30:00+00:00,77.35000000000001,stop,BE_STOP,0.8148149999999816,1,"[{""time"": ""2023-11-20 14:30:00+00:00"", ""price"": 77.35000000000001, ""shares"": 2, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2023-11-20 17:30:00+00:00"", ""price"": 78.33, ""shares"": 1, ""reason"": ""target1_partial""}, {""time"": ""2023-11-21 14:30:00+00:00"", ""price"": 77.33999999999999, ""shares"": 1, ""reason"": ""stop""}]"
US|VALIDATE|execution_core_trend120_200|ma32_exit|5000.0|1T,ma32_exit,C,C,US,C,NLEVEL_RR|C|2T|346|347|348,2023-11-17 20:30:00+00:00,5000.0,1,1000.2843225493166,23.736173617309177,44.254345082875595,44.254345082875595,44.254345082875595,45.33,1.0756549171244032,46.4056549171244,47.481309834248805,45.185001373291016,0,361.14048,360.13984,0.36063999999999996,0.0,False,True,False,18,45.11000061035156,0.38116469505189876,-0.585688985408769,349,2023-11-22 16:30:00+00:00,45.05500030517578,ma32_exit,MA_EXIT,-1.0006400000000326,2,"[{""time"": ""2023-11-17 20:30:00+00:00"", ""price"": 45.33, ""shares"": 4, ""fraction"": 0.2, ""reason"": ""starter20""}, {""time"": ""2023-11-21 14:30:00+00:00"", ""price"": 44.91, ""shares"": 4, ""fraction"": 0.2, ""reason"": ""adverse20""}]","[{""time"": ""2023-11-22 16:30:00+00:00"", ""price"": 45.04, ""shares"": 8, ""reason"": ""ma32_exit""}]"
US|VALIDATE|execution_core_trend120_200|ma32_exit|5000.0|1T,ma32_exit,AVGO,AVGO,US,AVGO,NLEVEL_RR|AVGO|2T|358|361|362,2023-11-21 20:30:00+00:00,5000.0,1,999.6959883144535,13.86753876955451,97.10404819205046,97.10404819205046,97.10404819205046,98.47,1.3659518079495427,99.83595180794954,101.20190361589908,98.28200149536133,0,977.64858,976.9113,0.9772800000000001,0.0,False,True,True,6,98.21900177001953,0.24085474301875334,-0.9663580123683634,363,2023-11-22 18:30:00+00:00,97.75598907470703,ma32_exit,MA_EXIT,-0.7372800000000552,3,"[{""time"": ""2023-11-21 20:30:00+00:00"", ""price"": 98.47, ""shares"": 2, ""fraction"": 0.2, ""reason"": ""starter20""}, {""time"": ""2023-11-22 14:30:00+00:00"", ""price"": 97.94000000000001, ""shares"": 2, ""fraction"": 0.2, ""reason"": ""adverse20""}, {""time"": ""2023-11-22 14:30:00+00:00"", ""price"": 97.39, ""shares"": 6, ""fraction"": 0.6, ""reason"": ""support60""}]","[{""time"": ""2023-11-22 18:30:00+00:00"", ""price"": 97.74, ""shares"": 10, ""reason"": ""ma32_exit""}]"
US|VALIDATE|execution_core_trend120_200|ma32_exit|5000.0|1T,ma32_exit,AAPL,AAPL,US,AAPL,NLEVEL_RR|AAPL|2T|364|366|367,2023-11-22 18:30:00+00:00,5000.0,1,1000.3511705400393,12.921049587838553,189.539771041486,189.539771041486,189.539771041486,192.01999999999998,2.480228958513976,194.50022895851396,196.98045791702793,191.78700256347656,0,383.25153,378.85048,0.38105,0.0,False,True,False,4,190.8699951171875,0.004154437050165233,-1.0966717160950534,368,2023-11-24 14:30:00+00:00,189.539771041486,stop,LOSS,-4.401049999999998,2,"[{""time"": ""2023-11-22 18:30:00+00:00"", ""price"": 192.01999999999998, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20""}, {""time"": ""2023-11-22 19:30:00+00:00"", ""price"": 191.04, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""adverse20""}]","[{""time"": ""2023-11-24 14:30:00+00:00"", ""price"": 189.52, ""shares"": 2, ""reason"": ""stop""}]"
US|VALIDATE|execution_core_trend120_200|ma32_exit|5000.0|1T,ma32_exit,HON,HON,US,HON,NLEVEL_RR|HON|4T|364|367|368,2023-11-22 19:30:00+00:00,5000.0,1,999.2293233886721,7.824369832412411,188.13519869073644,188.13519869073644,188.13519869073644,189.62,1.4848013092635597,191.10480130926356,192.58960261852712,189.539306640625,0,189.71481,190.99445500000002,0.190355,0.0,False,False,False,3,190.8935089111328,1.1972166060800158,-0.15752383844442558,369,2023-11-24 14:30:00+00:00,191.10480130926356,target1_full,WIN,1.2796450000000164,1,"[{""time"": ""2023-11-22 19:30:00+00:00"", ""price"": 189.62, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2023-11-24 14:30:00+00:00"", ""price"": 191.09, ""shares"": 1, ""reason"": ""target1_full""}]"
US|VALIDATE|execution_core_trend120_200|ma32_exit|5000.0|1T,ma32_exit,TGT,TGT,US,TGT,NLEVEL_RR|TGT|2T|359|361|362,2023-11-21 20:30:00+00:00,5000.0,1,999.6762943144536,20.27465427013085,128.10802774914217,128.10802774914217,128.10802774914217,130.76,2.651972250857824,133.41197225085781,136.06394450171564,130.32249450683594,0,130.82538,131.77408,0.1313,0.0,False,False,False,26,131.85000610351562,0.8823644752537364,-0.3770396471219419,363,2023-11-29 14:30:00+00:00,131.85000610351562,time,TIME,0.9487000000000023,1,"[{""time"": ""2023-11-21 20:30:00+00:00"", ""price"": 130.76, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20""}]","[{""time"": ""2023-11-29 14:30:00+00:00"", ""price"": 131.84, ""shares"": 1, ""reason"": ""time""}]"
US|VALIDATE|execution_core_trend120_200|ma32_exit|5000.0|1T,ma32_exit,ORCL,ORCL,US,ORCL,NLEVEL_RR|ORCL|5T|388|390|391,2023-11-29 18:30:00+00:00,5000.0,1,998.9259620000003,6.336818962191676,115.79077653224094,115.79077653224094,115.79077653224094,116.53,0.7392234677590608,117.26922346775906,118.00844693551812,116.45999908447266,0,232.89639,231.96396,0.23242999999999997,0.0,False,True,False,2,116.25,0.28407900036795897,-0.7710806547515189,392,2023-11-29 19:30:00+00:00,116.05000305175781,ma32_exit,MA_EXIT,-0.9324300000000108,2,"[{""time"": ""2023-11-29 18:30:00+00:00"", ""price"": 116.53, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20""}, {""time"": ""2023-11-29 19:30:00+00:00"", ""price"": 116.25, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""adverse20""}]","[{""time"": ""2023-11-29 19:30:00+00:00"", ""price"": 116.03999999999999, ""shares"": 2, ""reason"": ""ma32_exit""}]"
