lever,start,end,cagr,max_dd,calmar
TQQQ,2010-11-24,2013-11-22,0.30550589696432273,0.4244421202121953,0.7197822327614147
TQQQ,2011-02-25,2014-02-25,0.2945365985536337,0.4244421202121953,0.6939381944619051
TQQQ,2011-05-26,2014-05-23,0.3056058917848814,0.39469799376000314,0.7742777936963765
TQQQ,2011-08-25,2014-08-25,0.5903273158246796,0.3193847004692526,1.848326845203754
TQQQ,2011-11-23,2014-11-21,0.7346697110759148,0.3193847004692526,2.3002658236180666
TQQQ,2012-02-27,2015-02-27,0.5992382086596468,0.3193847004692526,1.8762270321002303
TQQQ,2012-05-25,2015-05-22,0.6885775579022217,0.2511931311208909,2.7412276555079536
TQQQ,2012-08-24,2015-08-24,0.40487057512222835,0.3076415981091909,1.3160462616584383
TQQQ,2012-11-27,2015-11-27,0.5662699780408924,0.31024371753080204,1.825242369282373
TQQQ,2013-02-28,2016-02-26,0.4550243350466625,0.37088717714783814,1.226853779485848
TQQQ,2013-05-30,2016-05-27,0.3315571618522022,0.37088717714783814,0.8939569289019698
TQQQ,2013-08-28,2016-08-26,0.3622381040853433,0.3915022380750264,0.9252516814882805
TQQQ,2013-11-26,2016-11-25,0.23220598534443315,0.3915022380750264,0.5931153458691949
TQQQ,2014-02-28,2017-02-28,0.26112136566799493,0.3915022380750264,0.6669728555113761
TQQQ,2014-05-30,2017-05-30,0.35851193991318775,0.3915022380750264,0.9157340751765601
TQQQ,2014-08-28,2017-08-28,0.2521185866716058,0.3915022380750264,0.6439773828912072
TQQQ,2014-11-26,2017-11-24,0.2962851119747525,0.3915022380750264,0.7567903402840146
TQQQ,2015-03-02,2018-03-02,0.3181640116120126,0.3915022380750264,0.8126748219279414
TQQQ,2015-06-01,2018-06-01,0.34469552755743926,0.3915022380750264,0.8804433130504423
TQQQ,2015-08-28,2018-08-28,0.5291364720070244,0.29676118157205233,1.7830380281005598
TQQQ,2015-11-27,2018-11-27,0.3253138203146355,0.3228692291382047,1.0075714591413862
TQQQ,2016-03-01,2019-03-01,0.4362398415023938,0.3877464485956814,1.1250646990638937
TQQQ,2016-05-31,2019-05-31,0.38894853922814376,0.3877464485956814,1.00310019765962
TQQQ,2016-08-29,2019-08-29,0.3773421366542662,0.3877464485956814,0.973167228277404
TQQQ,2016-11-28,2019-11-27,0.485449252552298,0.3877464485956814,1.2519760124443982
TQQQ,2017-03-01,2020-02-28,0.33105279161315715,0.3877464485956814,0.853786779510543
TQQQ,2017-05-31,2020-05-29,0.21938080374543878,0.5472995931406525,0.4008422562248449
TQQQ,2017-08-29,2020-08-28,0.500934882713842,0.5472995931406525,0.9152845881708978
TQQQ,2017-11-28,2020-11-27,0.3738608925904121,0.5472995931406525,0.6831009876053978
TQQQ,2018-03-01,2021-03-01,0.417734374147807,0.5472995931406525,0.7632645435576854
TQQQ,2018-05-31,2021-05-28,0.418183962382235,0.5472995931406525,0.7640860099721734
TQQQ,2018-08-29,2021-08-27,0.4592613013328548,0.5472995931406525,0.8391405860497828
TQQQ,2018-11-28,2021-11-26,0.6871616224353392,0.5472995931406525,1.2555493025165525
TQQQ,2019-03-04,2022-03-04,0.5030932569214526,0.5472995931406525,0.9192282677106994
TQQQ,2019-06-03,2022-06-03,0.5180602181948815,0.5472995931406525,0.9465751933452349
TQQQ,2019-08-30,2022-08-30,0.45603023972040724,0.5472995931406525,0.8332369426834388
TQQQ,2019-11-29,2022-11-29,0.3089914631889794,0.5472995931406525,0.564574626149175
TQQQ,2020-03-03,2023-03-03,0.255311712908578,0.5124894590571052,0.498179442321231
TQQQ,2020-06-02,2023-06-02,0.45544238325001496,0.5169259723010434,0.8810591992943583
TQQQ,2020-08-31,2023-08-31,0.23582752893477754,0.5169259723010434,0.4562114143443311
TQQQ,2020-11-30,2023-11-30,0.22798341402874267,0.5169259723010434,0.4410368722892713
TQQQ,2021-03-03,2024-03-01,0.3589900940265036,0.5169259723010434,0.6944709944220749
TQQQ,2021-06-02,2024-05-31,0.2723827682889963,0.5169259723010434,0.5269279991417574
TQQQ,2021-08-31,2024-08-30,0.13284633581621907,0.5169259723010434,0.25699296018125595
TQQQ,2021-11-30,2024-11-29,0.12549677889751254,0.5064782798361039,0.2477831407461801
TQQQ,2022-03-02,2025-02-28,0.20452237165009968,0.37078753208706305,0.5515891284124317
TQQQ,2022-06-01,2025-05-30,0.2655036566535205,0.3916477766202413,0.6779143723084744
TQQQ,2022-08-31,2025-08-29,0.36646880025088135,0.3916477766202413,0.935710151129558
TQQQ,2022-11-30,2025-11-28,0.46988325934313546,0.3916477766202413,1.199759803050675
TQQQ,2023-03-03,2026-03-03,0.4820825362771166,0.3916477766202413,1.2309083953885553
TQQQ,2023-06-02,2026-06-02,0.5421382488328028,0.3916477766202413,1.3842495252015272
TECL,2009-10-14,2012-10-12,0.019359602105707863,0.5317292693578148,0.036408757654226985
TECL,2010-01-14,2013-01-14,-0.12222440918799016,0.5317292693578148,-0.2298621050814152
TECL,2010-04-16,2013-04-16,-0.12546835647901433,0.5317292693578148,-0.23596285498924327
TECL,2010-07-16,2013-07-16,0.10745394990744184,0.49270450880300354,0.21809004786356603
TECL,2010-10-14,2013-10-14,0.08150027854175113,0.49270450880300354,0.16541411147170387
TECL,2011-01-13,2014-01-13,0.04137903628554729,0.49270450880300354,0.08398347396104656
TECL,2011-04-14,2014-04-14,0.09131075845610082,0.448897852329042,0.20341099424367495
TECL,2011-07-15,2014-07-15,0.23495095016626388,0.3933568880198789,0.5972971551330513
TECL,2011-10-13,2014-10-13,0.2558419355888264,0.37325515020293265,0.6854344419620985
TECL,2012-01-13,2015-01-13,0.3917110357067497,0.37325515020293265,1.0494457624865534
TECL,2012-04-16,2015-04-16,0.2562457371194735,0.33376894308570304,0.767733914217646
TECL,2012-07-16,2015-07-16,0.3757118009101177,0.33376894308570304,1.1256643516219687
TECL,2012-10-12,2015-10-12,0.2531148742436562,0.26038098271235544,0.9720943196657101
TECL,2013-01-16,2016-01-15,0.3167755985133509,0.26038098271235544,1.216585002535669
TECL,2013-04-18,2016-04-18,0.42878076481052796,0.26038098271235544,1.6467437842194677
TECL,2013-07-18,2016-07-18,0.3210639232109507,0.26038098271235544,1.2330544261200216
TECL,2013-10-16,2016-10-14,0.35202992759577145,0.26038098271235544,1.3519801789236705
TECL,2014-01-16,2017-01-13,0.28337250802303515,0.26038098271235544,1.0882995565620037
TECL,2014-04-17,2017-04-17,0.3673033673301971,0.26038098271235544,1.4106382252038718
TECL,2014-07-18,2017-07-18,0.3419386624063361,0.26038098271235544,1.313224410033347
TECL,2014-10-16,2017-10-16,0.512966102778134,0.26038098271235544,1.9700597848377084
TECL,2015-01-16,2018-01-16,0.5382800822170186,0.26038098271235544,2.0672787874514635
TECL,2015-04-20,2018-04-20,0.44293088056167185,0.28083586422113527,1.5771877348717114
TECL,2015-07-20,2018-07-20,0.5363456991111193,0.28083586422113527,1.9098191058987783
TECL,2015-10-16,2018-10-16,0.5565721573658142,0.28392268079674987,1.9602948091499757
TECL,2016-01-19,2019-01-18,0.40800764684244517,0.5348830804211264,0.7627978183965192
TECL,2016-04-19,2019-04-18,0.4885929940801099,0.5348830804211264,0.9134575610345139
TECL,2016-07-19,2019-07-19,0.5178178068548136,0.5348830804211264,0.9680953199101439
