lever,delay_days,ending_equity,return_pct,cagr,max_dd,calmar,longest_dd_days,switches,fees,bh_cagr,bh_max_dd,bh_calmar
TQQQ,0,1268855.2233783402,125.88552233783402,0.36109697881916536,0.5472995931406525,0.659779366447228,788,47,20324.67026562949,0.40888133835776874,0.8165984808725131,0.5007128324815033
TQQQ,1,1443739.617368946,143.3739617368946,0.3723299519434542,0.5038553996384638,0.73896191687261,643,47,22601.61148732626,0.40888133835776874,0.8165984808725131,0.5007128324815033
TECL,0,1473735.1267503172,146.37351267503172,0.3455693213136124,0.6286219171448688,0.5497252193864796,1337,91,21012.03589347924,0.40326717369327114,0.7795580019669495,0.5173023337272705
TECL,1,1364597.4247748237,135.45974247748237,0.33942888766563817,0.6477540929271915,0.5240088659753022,1437,91,19368.86228627026,0.40326717369327114,0.7795580019669495,0.5173023337272705
SOXL,0,2252825.5769361635,224.28255769361635,0.41414254111130777,0.6941516732921514,0.5966167871456032,1036,29,5995.760381376447,0.38890491186099063,0.9046051426914523,0.4299167598184222
SOXL,1,1716704.2032467066,170.67042032467066,0.3897709051281666,0.6941516732921515,0.5615068293066283,1047,29,4963.069753756373,0.38890491186099063,0.9046051426914523,0.4299167598184222
