lever,slice,cagr,max_dd,calmar,return_pct
TQQQ,PRE_2020,0.3485643748909477,0.4244421202121953,0.8212294640237088,14.203255196392691
TQQQ,POST_2020,0.3688472916686907,0.5472995931406525,0.6739403724970416,6.951800549699159
TQQQ,2022_BEAR,-0.4543183234385094,0.4636985519377017,-0.9797708479787262,-0.4504654907170974
TQQQ,2023_2026,0.5076724016615857,0.3916477766202413,1.2962473731948359,3.384975245425906
TECL,PRE_2020,0.27431188790551353,0.5348830804211264,0.5128445784629065,10.888229747273954
TECL,POST_2020,0.4520692491841318,0.6286219171448688,0.7191433146928449,10.741864224830945
TECL,2022_BEAR,-0.598331537778463,0.6208480519177864,-0.9637326491244189,-0.5940532807981268
TECL,2023_2026,0.7837076047981584,0.5006016804123988,1.5655313105472102,7.032534118912867
SOXL,PRE_2020,0.3222712858103498,0.6358226354214769,0.5068572080588499,11.439816173342129
SOXL,POST_2020,0.5363975397117178,0.6941516732921514,0.7727382362528156,16.046624947377918
SOXL,2022_BEAR,-0.5786922095359621,0.6357496678338836,-0.9102516899578936,-0.5744408028518817
SOXL,2023_2026,0.9750400552758682,0.6941516732921514,1.40464986657966,10.592471697374027
