lever,cost_bps_side,ending_equity,return_pct,cagr,max_dd,calmar,longest_dd_days,switches,fees
TQQQ,5.0,1330008.994369609,132.0008994369609,0.3651812111282966,0.5468459855185492,0.6677953588376658,788,47,10541.31921806425
TQQQ,10.0,1268855.2233783402,125.88552233783402,0.36109697881916536,0.5472995931406525,0.659779366447228,788,47,20324.67026562949
TQQQ,20.0,1154690.3524215107,114.46903524215108,0.352952934376374,0.5482068083848599,0.6438317236815289,788,47,37783.44078711002
TECL,5.0,1614357.0942815093,160.43570942815091,0.3528791387192258,0.6275044311845321,0.5623532220371741,1334,91,11351.346565153432
TECL,10.0,1473735.1267503172,146.37351267503172,0.3455693213136124,0.6286219171448688,0.5497252193864796,1337,91,21012.03589347924
TECL,20.0,1227834.902615068,121.7834902615068,0.3310462583936167,0.6365812879994618,0.5200376835360209,1424,91,36013.50119276746
SOXL,5.0,2319215.096802545,230.92150968025447,0.4167721540366407,0.6941516732921515,0.6004050268437968,1036,29,3064.107256149157
SOXL,10.0,2252825.5769361635,224.28255769361635,0.41414254111130777,0.6941516732921514,0.5966167871456032,1036,29,5995.760381376447
SOXL,20.0,2125507.7122203447,211.55077122203446,0.40889007114434284,0.6941516732921513,0.5890500403249062,1039,29,11479.400692978083
