stage,market,filter,exit,capital,slippage_ticks,selection_score,trades,wins,losses,pnl,return_pct,pf,winrate,avg_win,avg_loss,payoff_ratio,max_dd_pct
v0.29A,KOSPI,v028_strict,combo_cap_trail_time18,5000000.0,1,-1.1899764062825293,97,46,51,-34037.3200000006,-0.006807464000001318,0.8438925154785123,0.4742268041237113,4000.008695652181,4275.249411764724,0.9356199628131333,0.01713768099115165
v0.29A,KOSPI,v028_strict,stopcap_1p25ATR,5000000.0,1,-1.2136277274885239,97,50,47,-3307.6870000005874,-0.0006615374000010776,0.9892314904290626,0.5154639175257731,6077.104950000004,6535.381585106397,0.9298776010033187,0.018103446949789936
v0.29A,KOSPI,v028_strict,time_12,5000000.0,1,-1.265344561312914,88,48,40,-50643.521500000046,-0.010128704300000013,0.7979979317407764,0.5454545454545454,4168.008625000001,6267.698387500002,0.664998276450647,0.01815923106464523
v0.29A,KOSPI,v028_strict,full_2R,5000000.0,1,-1.3737504862243202,85,42,43,-166817.38100000034,-0.03336347620000024,0.6329287598463856,0.49411764705882355,6848.5160714285685,10568.722232558144,0.6479984922236806,0.037036564662655036
v0.29A,KOSPI,v028_strict,wider_1p5R_3R,5000000.0,1,-1.4121757158070665,85,44,41,-139621.7960000001,-0.02792435920000036,0.6746450145934352,0.5176470588235295,6579.886363636365,10466.751121951222,0.6286464908711554,0.034010510458868604
v0.29A,KOSPI,v028_strict,baseline_1R_2R_26,5000000.0,1,-1.4910637707716994,86,49,37,-140438.4485000003,-0.028087689699999974,0.644613858037397,0.5697674418604651,5198.632193877547,10680.308810810813,0.4867492397425243,0.033592898008641514
v0.29A,KOSPI,v028_strict,ma32_exit,5000000.0,1,-1.5063401443210342,87,32,55,-61299.861500000276,-0.012259972300000643,0.6492293279117445,0.367816091954023,3545.556171875001,3177.4119818181875,1.1158629073483108,0.013819644882134496
v0.29A,KOSPI,v028_strict,trail_1p5ATR,5000000.0,1,-1.5304089434478634,86,49,37,-143987.5260000002,-0.028797505199999907,0.635632749418476,0.5697674418604651,5126.202040816324,10680.308810810813,0.47996758629558395,0.03493746173713819
v0.29A,KOSDAQ,v028_strict,trail_1p5ATR,5000000.0,1,1.863357242808301,113,60,53,170754.29249999998,0.03415085849999944,1.2384444615946366,0.5309734513274337,14781.19939166667,13511.654169811323,1.0939592744085955,0.04111265434868483
v0.29A,KOSDAQ,v028_strict,full_2R,5000000.0,1,1.6990987392150187,113,48,65,150253.98949999965,0.03005079789999865,1.1718610674434342,0.4247787610619469,21344.372708333325,13450.39846923077,1.586895195496317,0.04188283128160275
v0.29A,KOSDAQ,v028_strict,baseline_1R_2R_26,5000000.0,1,1.6974902451779876,113,60,53,158048.89699999976,0.03160977939999987,1.221575560546164,0.5309734513274337,14522.41013333333,13458.409641509435,1.0790584118157782,0.04108389609971941
v0.29A,KOSDAQ,v028_strict,wider_1p5R_3R,5000000.0,1,1.646204758498193,113,50,63,87905.69499999957,0.017581138999999135,1.1037711936142636,0.4424778761061947,18700.329159999994,13446.202587301588,1.3907517039539723,0.042309017673021976
v0.29A,KOSDAQ,v028_strict,time_12,5000000.0,1,1.5364380587110493,119,62,57,56831.31399999974,0.011366262799999305,1.1092859828482757,0.5210084033613446,9304.11502419355,9123.224868421057,1.0198274358443824,0.02598537830405423
v0.29A,KOSDAQ,v028_strict,combo_cap_trail_time18,5000000.0,1,1.1063841172283537,128,53,75,-67309.96549999964,-0.013461993099999958,0.8524684070115429,0.4140625,7338.321915094343,6083.213693333331,1.2063232174691645,0.03159967081240411
v0.29A,KOSDAQ,v028_strict,stopcap_1p25ATR,5000000.0,1,-1.2708238072590317,128,61,67,-140905.07549999974,-0.028181015100000262,0.766490676111762,0.4765625,7582.273606557384,9006.324858208956,0.8418832016309518,0.037099871201350276
v0.29A,KOSDAQ,v028_strict,ma32_exit,5000000.0,1,-1.4157792019412638,118,37,81,-69391.92749999989,-0.013878385499999646,0.8174946619559085,0.3135593220338983,8400.721378378375,4694.057018518516,1.7896504761737457,0.02266679761863466
