stage,market,filter,exit,capital,slippage_ticks,selection_score,trades,wins,losses,pnl,return_pct,pf,winrate,avg_win,avg_loss,payoff_ratio,max_dd_pct
v0.29B,KOSPI,no_min_risk_pct,combo_cap_trail_time18,5000000.0,1,-1.1855971995953383,100,47,53,-34339.582500000586,-0.006867916500001181,0.8467664744887824,0.47,4037.448670212773,4228.2956603773755,0.954864322295861,0.017970202784251765
v0.29B,KOSPI,v028_strict,combo_cap_trail_time18,5000000.0,1,-1.1899764062825293,97,46,51,-34037.3200000006,-0.006807464000001318,0.8438925154785123,0.4742268041237113,4000.008695652181,4275.249411764724,0.9356199628131333,0.01713768099115165
v0.29B,KOSPI,no_min_r_atr,combo_cap_trail_time18,5000000.0,1,-1.1899764062825293,98,46,52,-37633.40000000059,-0.00752668000000134,0.8302000868098619,0.46938775510204084,4000.008695652181,4262.188461538479,0.9384870546546266,0.017854466929128954
v0.29B,KOSPI,no_tick_burden,combo_cap_trail_time18,5000000.0,1,-1.226955398915608,101,46,55,-39673.710000000676,-0.007934742000001105,0.8226271695011975,0.45544554455445546,4000.008695652181,4066.8020000000183,0.9835759635340405,0.018137113682434758
v0.29B,KOSPI,gap_relaxed_0p50,combo_cap_trail_time18,5000000.0,1,-1.4833850668856436,252,112,140,-184603.02100000044,-0.03692060420000176,0.6942168980965836,0.4444444444444444,3741.9887723214297,4312.184025000004,0.8677711226207295,0.05223504014471181
v0.29B,KOSPI,execution_core_trend120_200,combo_cap_trail_time18,5000000.0,1,-1.543915338678016,110,44,66,-154665.03900000025,-0.030933007800001633,0.47090142533762913,0.4,3128.4764659090997,4429.060659090919,0.7063521380064438,0.037471831119271104
v0.29B,KOSPI,execution_core,combo_cap_trail_time18,5000000.0,1,-1.6000375277378636,279,113,166,-237391.64850000048,-0.04747832970000154,0.6383863704545412,0.4050179211469534,3708.7350442477878,3954.6910150602434,0.937806526508441,0.061763197098434586
v0.29B,KOSPI,no_entry_gap,combo_cap_trail_time18,5000000.0,1,-1.9601950738526175,260,104,156,-413609.19049999974,-0.08272183810000178,0.47711566291239077,0.4,3628.8990096153857,5070.606971153846,0.7156734943685862,0.08272183810000178
v0.29B,KOSDAQ,no_min_r_atr,trail_1p5ATR,5000000.0,1,1.865283388014238,114,61,53,171347.1975,0.03426943949999939,1.239272405135217,0.5350877192982456,14548.604401639348,13511.654169811323,1.0767448765928935,0.041108107741154365
v0.29B,KOSDAQ,v028_strict,trail_1p5ATR,5000000.0,1,1.863357242808301,113,60,53,170754.29249999998,0.03415085849999944,1.2384444615946366,0.5309734513274337,14781.19939166667,13511.654169811323,1.0939592744085955,0.04111265434868483
v0.29B,KOSDAQ,no_tick_burden,trail_1p5ATR,5000000.0,1,1.863357242808301,115,60,55,162125.16649999964,0.03242503329999957,1.2237646181703656,0.5217391304347826,14777.659674999997,13173.352981818183,1.1217842333228354,0.041100633495826044
v0.29B,KOSDAQ,no_min_risk_pct,trail_1p5ATR,5000000.0,1,1.863357242808301,113,60,53,170754.29249999998,0.03415085849999944,1.2384444615946366,0.5309734513274337,14781.19939166667,13511.654169811323,1.0939592744085955,0.04111265434868483
v0.29B,KOSDAQ,execution_core_trend120_200,trail_1p5ATR,5000000.0,1,1.1156208320729832,93,44,49,-142951.31549999974,-0.028590263099998237,0.8068102174585537,0.4731182795698925,13568.21496590909,15101.07702040816,0.8984931967152076,0.045408438882541424
v0.29B,KOSDAQ,execution_core,trail_1p5ATR,5000000.0,1,-1.0720052067466481,234,114,120,-174320.18849999917,-0.034864037699999684,0.88215973783704,0.48717948717948717,11447.123491228072,12327.435554166663,0.9285891977231999,0.0642305408108994
v0.29B,KOSDAQ,gap_relaxed_0p50,trail_1p5ATR,5000000.0,1,-1.2452682445539898,225,111,114,-179980.54249999914,-0.03599610849999957,0.8680018683348533,0.49333333333333335,10662.411846846848,11960.59875,0.8914613782898493,0.06684549090633118
v0.29B,KOSDAQ,no_entry_gap,trail_1p5ATR,5000000.0,1,-1.5299787255441992,450,231,219,-332118.59599999955,-0.06642371920000056,0.8272563719828808,0.5133333333333333,6885.243404761906,8779.040285388126,0.7842820149967572,0.08220851956118702
