market,capital,slippage_ticks,window,trades,wins,losses,pnl,return_pct,pf,winrate,avg_win,avg_loss,payoff_ratio,max_dd_pct
KOSPI,5000000.0,0,DEVELOPMENT_TO_2025,76,40,36,15820.747999999978,0.003164149599999888,1.1541564083691591,0.5263157894736842,2961.216124999996,2850.7749166666626,1.0387407675322433,0.005851021036206272
KOSPI,5000000.0,0,STRESS_2026_07_PLUS,10,6,4,20166.139999999796,0.004033227999999944,1.8619657885392287,0.6,7260.277083333305,5848.880625000009,1.241310525692819,0.0020630634713342255
KOSPI,5000000.0,0,VALIDATION_2026_H1,14,6,8,-11385.425000000047,-0.002277085000000012,0.7117311789134346,0.42857142857142855,4685.072499999999,4936.9825000000055,0.9489749052179127,0.0059093154133378345
KOSPI,5000000.0,1,DEVELOPMENT_TO_2025,76,35,41,-24264.81250000022,-0.004852962500000002,0.8386676129046619,0.4605263157894737,3603.9371428571526,3668.3564024390384,0.9824392036883182,0.009289419483334393
KOSPI,5000000.0,1,STRESS_2026_07_PLUS,10,6,4,14584.942499999976,0.002916988499999995,1.5759073340321093,0.6,6651.682916666672,6331.288750000014,1.0506048893547395,0.0022836091822732163
KOSPI,5000000.0,1,VALIDATION_2026_H1,14,6,8,-24659.712500000343,-0.004931942500000064,0.4902058586593695,0.42857142857142855,3952.031666666657,6046.487812500036,0.653607811545826,0.007025570499111344
KOSPI,5000000.0,2,DEVELOPMENT_TO_2025,76,29,47,-76914.99049999975,-0.015382998099999878,0.5872752221245979,0.3815789473684211,3773.9325000000113,3965.08580851064,0.9517908772364173,0.016071337471945668
KOSPI,5000000.0,2,STRESS_2026_07_PLUS,10,6,4,9496.248999999967,0.0018992497999998914,1.3481640063915146,0.6,6128.577750000001,6818.804375000011,0.8987760042610097,0.0025041898574349464
KOSPI,5000000.0,2,VALIDATION_2026_H1,14,4,10,-41961.7275000002,-0.008392345500000009,0.2978213486571315,0.2857142857142857,4449.401250000003,5975.933250000021,0.7445533716428286,0.007694815485902784
KOSPI,20000000.0,0,DEVELOPMENT_TO_2025,99,55,44,168969.85000000155,0.008448492500000127,1.3008668663726835,0.5555555555555556,13283.270554545448,12763.86432954541,1.0406934930981468,0.006676055302529904
KOSPI,20000000.0,0,STRESS_2026_07_PLUS,10,7,3,-5063.77999999997,-0.0002531890000000425,0.9538099349030659,0.7,14937.917500000007,36543.067500000005,0.40877568638702827,0.002823509960514059
KOSPI,20000000.0,0,VALIDATION_2026_H1,31,16,15,91523.66249999963,0.004576183124999966,1.351723833209024,0.5161290322580645,21983.638906249987,17347.637333333343,1.2672410936334602,0.006616380505598096
KOSPI,20000000.0,1,DEVELOPMENT_TO_2025,99,49,50,-9109.22250000044,-0.0004554611250000562,0.9881382443114237,0.494949494949495,15486.524489795904,15358.978449999993,1.0083043309300241,0.01193778665267875
KOSPI,20000000.0,1,STRESS_2026_07_PLUS,10,6,4,-34380.537499999744,-0.0017190268750000293,0.7135814463994146,0.6,14275.910416666631,30008.999999999884,0.47572096426627636,0.0031041299439649173
KOSPI,20000000.0,1,VALIDATION_2026_H1,31,15,16,-32045.44500000024,-0.0016022722499999809,0.9062295241131761,0.4838709677419355,20646.532999999978,21358.964999999993,0.9666448257207212,0.008062464580877338
KOSPI,20000000.0,2,DEVELOPMENT_TO_2025,100,43,57,46839.38250000047,0.002341969124999954,1.047716720639771,0.43,23917.5115,17221.291438596483,1.3888337924759755,0.0200150107200745
