month,trades,wins,losses,pnl,return_pct,pf,winrate,avg_win,avg_loss,payoff_ratio,max_dd_pct
2023-11,1,1,0,2379.7850000000035,0.00047595700000013785,inf,1.0,2379.7850000000035,0.0,,0.0
2023-12,3,2,1,102.36750000002212,2.0473500000006695e-05,1.0644443919828288,0.6666666666666666,845.4149999999936,1588.462499999965,0.5322221959914144,0.0
2024-01,5,2,3,-42522.39999999982,-0.008504479999999925,0.13356351762526675,0.4,3277.471249999988,16359.114166666599,0.20034527643790012,0.00621111497177429
2024-02,2,2,0,5030.4349999999395,0.0010060869999999333,inf,1.0,2515.2174999999697,0.0,,0.0
2024-03,4,2,2,2537.9599999999627,0.0005075919999999456,1.266706179315964,0.5,6026.949999999997,4757.970000000016,1.266706179315964,0.000746570141500591
2024-04,3,3,0,21241.889999999985,0.004248377999999997,inf,1.0,7080.629999999995,0.0,,0.0
2024-05,3,1,2,1005.5900000000256,0.0002011179999998891,1.2295233508551369,0.3333333333333333,5386.799999999988,2190.6049999999814,2.4590467017102737,0.0008752989878824113
2024-06,2,1,1,-10583.37000000014,-0.0021166740000000406,0.34661964813891777,0.5,5614.499999999971,16197.870000000112,0.34661964813891777,0.0
2024-07,2,1,1,-3050.5100000000375,-0.0006101020000000013,0.6333045635731535,0.5,5268.410000000004,8318.920000000042,0.6333045635731535,0.0016620327460120654
2024-08,3,1,2,-9235.007499999934,-0.0018470015000000561,0.1826226242085134,0.3333333333333333,2063.332500000004,5649.169999999969,0.3652452484170268,0.001559163487343862
2024-09,2,2,0,11872.559999999998,0.0023745119999998288,inf,1.0,5936.279999999999,0.0,,0.0
2024-10,3,2,1,-2087.8549999999814,-0.000417571000000061,0.8928886844785807,0.6666666666666666,8702.265000000014,19492.38500000001,0.44644434223929036,0.0038849538408657347
2024-11,4,3,1,13454.390000000043,0.0026908779999998966,4.834514187348271,0.75,5654.383333333341,3508.75999999998,1.6115047291160904,0.0006993792649245822
2024-12,4,2,2,-5331.47000000003,-0.0010662939999999121,0.48595813690472783,0.5,2520.097499999989,5185.832500000004,0.48595813690472783,0.0012742263874671034
2025-02,3,0,3,-35941.320000000065,-0.007188264000000055,0.0,0.0,0.0,11980.440000000022,0.0,0.00341318217161124
2025-03,3,1,2,-36462.922500000015,-0.007292584500000032,0.0633949379218164,0.3333333333333333,2468.024999999994,19465.473750000005,0.1267898758436328,0.0050586581266826025
2025-04,2,1,1,-13055.570000000007,-0.0026111140000000255,0.0750875015452921,0.5,1059.8950000000186,14115.465000000026,0.0750875015452921,0.0
2025-05,3,3,0,34238.00999999998,0.006847601999999897,inf,1.0,11412.669999999993,0.0,,0.0
2025-06,2,2,0,3864.4249999999884,0.0007728849999999454,inf,1.0,1932.2124999999942,0.0,,0.0
2025-07,4,3,1,3784.969999999943,0.0007569939999998443,1.3403684191357734,0.75,4968.395000000009,11120.215000000084,0.4467894730452578,0.002217432750924453
2025-08,2,0,2,-33018.82999999996,-0.006603766000000011,0.0,0.0,0.0,16509.41499999998,0.0,0.0035908928941617013
2025-09,4,3,1,618.1275000000132,0.00012362550000011296,1.0261316269828653,0.75,8090.836666666654,23654.38249999995,0.34204387566095507,0.004726412771797306
2025-10,1,1,0,2361.450000000012,0.00047229000000004184,inf,1.0,2361.450000000012,0.0,,0.0
2025-11,1,0,1,-10222.080000000016,-0.002044416000000049,0.0,0.0,0.0,10222.080000000016,0.0,0.0
2025-12,1,0,1,-6957.044999999984,-0.0013914090000000101,0.0,0.0,0.0,6957.044999999984,0.0,0.0
2026-01,1,1,0,2527.2699999999604,0.0005054540000000163,inf,1.0,2527.2699999999604,0.0,,0.0
2026-02,3,2,1,-34368.0650000001,-0.006873613000000112,0.30854452297498625,0.6666666666666666,7667.939999999988,49703.94500000007,0.15427226148749312,0.0
2026-03,1,1,0,2458.295000000013,0.0004916589999999221,inf,1.0,2458.295000000013,0.0,,0.0
2026-04,3,2,1,7147.964999999822,0.0014295929999998958,1.658976875311412,0.6666666666666666,8997.514999999941,10847.06500000006,0.829488437655706,0.002161633268895513
2026-05,2,0,2,-11162.009999999951,-0.0022324019999999667,0.0,0.0,0.0,5581.004999999976,0.0,0.0010054218742271415
2026-06,2,1,1,-19570.04249999998,-0.003914008500000121,0.10042594072683993,0.5,2184.744999999996,21754.787499999977,0.10042594072683993,0.004349057183812732
2026-07,5,2,3,-28618.221000000165,-0.005723644199999933,0.32024900764912173,0.4,6741.407500000001,14033.678666666723,0.48037351147368257,0.0037664498094339693
2026-08,1,1,0,4551.400000000009,0.0009102800000000411,inf,1.0,4551.400000000009,0.0,,0.0
