window,trades,wins,losses,pnl,return_pct,pf,winrate,avg_win,avg_loss,payoff_ratio,max_dd_pct
DEVELOPMENT_TO_2025,67,39,28,-105976.42000000007,-0.021195284000000036,0.655597758911457,0.582089552238806,5172.686153846151,10989.684999999998,0.47068557050053317,0.022627026753795132
STRESS_2026_07_PLUS,6,3,3,-24066.821000000156,-0.004813364200000114,0.42835561101156605,0.5,6011.405000000003,14033.678666666723,0.42835561101156605,0.0037664498094339693
VALIDATION_2026_H1,12,7,5,-52966.587500000234,-0.010593317500000032,0.4333173215815488,0.5833333333333334,5785.888571428547,18693.561500000014,0.30951237255824915,0.011093164415673429
