exit_reason,trades,wins,losses,pnl,return_pct,pf,winrate,avg_win,avg_loss,payoff_ratio,max_dd_pct,mfe_R_mean,mae_R_mean
stop,28,6,22,-242223.18600000028,-0.04844463720000014,0.10456151149536971,0.21428571428571427,4714.119166666642,12295.81368181819,0.3833922088163556,0.04759717022024501,0.45620497831227214,-0.6479036445775753
gap_stop,4,1,3,-68844.03000000012,-0.013768806000000078,0.019162329033966127,0.25,1344.984999999986,23396.338333333366,0.05748698710189839,0.012510822799892019,0.3428575708386011,-0.6832215895158975
time,31,20,11,-4009.225000000046,-0.0008018449999999122,0.9609172982013627,0.6451612903225806,4928.694124999994,9325.737045454538,0.5285045140107495,0.007613985615065433,0.7951991125837846,-0.46169978284297347
target1_whole_share_exit,14,14,0,52840.67000000001,0.010568133999999896,inf,1.0,3774.333571428572,0.0,,0.0,1.5206479926309624,-0.13427848585779317
target2,8,8,0,79225.94249999998,0.01584518849999994,inf,1.0,9903.242812499997,0.0,,0.0,2.2749117335264915,-0.293774799661769
