ticker,trades,wins,losses,pnl,return_pct,pf,winrate,avg_win,avg_loss,payoff_ratio,max_dd_pct,mfe_R_mean,mae_R_mean
011200.KS,7,2,5,-65437.21349999991,-0.013087442699999952,0.06463268166492384,0.2857142857142857,2260.8137500000084,13991.768199999986,0.16158170416230958,0.013494540455221027,0.4821970462811334,-0.5787734650157904
042660.KS,3,1,2,-59036.68250000003,-0.011807336499999987,0.12974468459745434,0.3333333333333333,8801.665000000008,33919.173750000016,0.25948936919490867,0.009959378653326967,0.8739740074757584,-0.6949170236905481
096770.KS,4,1,3,-23799.905000000086,-0.00475998100000008,0.0939558236983267,0.25,2468.024999999994,8755.976666666693,0.2818674710949801,0.0034905066296961884,0.9836460385727488,-0.6273477016866448
003670.KS,1,0,1,-17900.17499999993,-0.003580034999999926,0.0,0.0,0.0,17900.17499999993,0.0,0.0,0.0,-0.9049937263809016
323410.KS,1,0,1,-17648.344999999972,-0.0035296689999999575,0.0,0.0,0.0,17648.344999999972,0.0,0.0,0.0955903577582153,-0.9081083987030456
034730.KS,3,0,3,-17515.33500000005,-0.0035030670000000264,0.0,0.0,0.0,5838.445000000017,0.0,0.0023483031185902448,0.45677674153610864,-0.3590328866865559
086790.KS,5,2,3,-16887.31500000003,-0.0033774630000000805,0.4458754222426321,0.4,6794.1750000000175,10158.555000000022,0.6688131333639482,0.004531167576150796,0.7969438082141673,-0.6975871183498126
015760.KS,2,1,1,-15727.914999999979,-0.0031455830000000073,0.2770366063102204,0.5,6026.872499999998,21754.787499999977,0.2770366063102204,0.0043457192807947465,1.0503825541004392,-0.4895559035691096
010130.KS,4,2,2,-13360.710000000108,-0.0026721419999999885,0.3056518288813715,0.5,2940.689999999988,9621.045000000042,0.3056518288813715,0.0038438965167807426,0.7783179410318922,-0.5314859114333662
005930.KS,2,1,1,-11144.08500000008,-0.002228816999999994,0.2105052862232977,0.5,2971.3799999999464,14115.465000000026,0.2105052862232977,0.0028214163000068737,0.32598225005517634,-0.4844874747411401
068270.KS,4,3,1,-10860.99500000005,-0.0021721989999999858,0.4058307500371307,0.75,2472.766666666663,18279.29500000004,0.13527691667904357,0.003650442983762714,1.1385940880482888,-0.44977868285136186
105560.KS,3,1,2,-9473.61000000016,-0.0018947220000000708,0.5870646625213002,0.3333333333333333,13468.504999999888,11471.057500000024,1.1741293250426004,0.003791045398229387,0.5720009851166169,-0.5857384288827894
055550.KS,5,2,3,-7137.307499999822,-0.0014274615000000601,0.6605183352987388,0.4,6943.412499999991,7008.044166666601,0.9907775029481083,0.0026597639870704626,0.8091148643729233,-0.5742076963139471
000270.KS,2,1,1,-5788.725000000035,-0.0011577449999998768,0.46633259780410624,0.5,5058.340000000026,10847.06500000006,0.46633259780410624,0.0,0.8975214875922237,-0.5603447433339601
035720.KS,3,2,1,-1363.8300000000163,-0.00027276600000003537,0.9459580369702607,0.6666666666666666,11936.334999999992,25236.5,0.47297901848513035,0.005023316006932177,0.959171397197739,-0.6783656996676424
017670.KS,1,1,0,443.11999999999534,8.86239999999816e-05,inf,1.0,443.11999999999534,0.0,,0.0,1.1755667187192085,-0.0904282091322468
000660.KS,1,1,0,2236.459999999992,0.00044729200000004354,inf,1.0,2236.459999999992,0.0,,0.0,1.4648860152568466,-0.2501024904097055
035420.KS,3,2,1,2844.2949999999837,0.0005688589999999216,1.34190676193544,0.6666666666666666,5581.607500000013,8318.920000000042,0.67095338096772,0.0,1.1495519227437951,-0.31322281175409644
009150.KS,4,3,1,4566.054999999993,0.0009132109999998583,1.3020146302696889,0.75,6561.570000000007,15118.655000000028,0.434004876756563,0.003011873428998779,0.934598293687892,-0.4806237171300447
329180.KS,1,1,0,5268.410000000004,0.0010536820000000002,inf,1.0,5268.410000000004,0.0,,0.0,1.2230419026594104,-0.2970244620744282
003550.KS,4,3,1,6049.255000000034,0.0012098510000000395,5.52453271901815,0.75,2462.0816666666747,1336.9899999999907,1.841510906339383,0.000267312233404593,0.9485421038829647,-0.1694639407570715
032830.KS,1,1,0,6177.630000000005,0.0012355259999998758,inf,1.0,6177.630000000005,0.0,,0.0,1.1316120143587511,-0.0707257508974219
033780.KS,2,2,0,7053.794999999955,0.0014107590000000947,inf,1.0,3526.8974999999773,0.0,,0.0,1.14774610484722,-0.381079277892185
009540.KS,3,3,0,8719.54999999996,0.0017439100000000707,inf,1.0,2906.5166666666532,0.0,,0.0,1.3383679277156926,-0.23791405096476462
010950.KS,3,3,0,10866.409999999974,0.0021732819999999986,inf,1.0,3622.136666666658,0.0,,0.0,0.8899112756839832,-0.4430048097314354
003490.KS,5,4,1,13727.729999999967,0.0027455459999998766,2.3429487932005957,0.8,5987.452499999996,10222.080000000016,0.5857371983001489,0.0020397405760028686,1.393869506042099,-0.17336540992302243
034020.KS,2,2,0,14357.259999999995,0.002871451999999941,inf,1.0,7178.629999999997,0.0,,0.0,1.577194527611581,-0.18048740285646475
018260.KS,6,4,2,27762.349999999944,0.0055524700000000315,4.836014585570017,0.6666666666666666,8749.909999999982,3618.6449999999895,2.4180072927850085,0.0007022756911965189,1.161213370609489,-0.40918065061262804
