holding_bucket,trades,wins,losses,pnl,return_pct,pf,winrate,avg_win,avg_loss,payoff_ratio,max_dd_pct,mfe_R_mean,mae_R_mean
7-12,14,7,7,-68205.95850000001,-0.013641191699999888,0.22859269196030862,0.5,2887.372857142855,12631.081214285714,0.22859269196030862,0.016654729980904448,0.9388535040393656,-0.5101246482179602
4-6,10,6,4,-55637.98749999997,-0.01112759749999992,0.28277656592625916,0.6,3656.024583333337,19393.533749999995,0.1885177106175061,0.012110553975085425,1.089722693845846,-0.4188819687927811
19-26,43,28,15,-23900.34250000027,-0.004780068500000012,0.8732934589851887,0.6511627906976745,5883.114017857135,12575.169000000002,0.46783578159920824,0.008372593016831686,0.9369608735712575,-0.4925696923701636
1-3,11,5,6,-18726.959999999992,-0.003745392000000014,0.48723597641340677,0.45454545454545453,3558.926999999996,6086.932499999995,0.5846831716960881,0.005146731610053412,0.5816905912785276,-0.23308930915442466
13-18,7,3,4,-16538.580000000224,-0.003307716000000016,0.6827994451006975,0.42857142857142855,11866.869999999986,13034.797500000044,0.9103992601342634,0.007211626598024767,1.0793739812290446,-0.6202764197251674
