market,symbol,name,yf_ticker,marcap_snapshot,universe_source,pit_date,frozen_at_utc
KOSPI,005930,삼성전자,005930.KS,403557300380000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.409644+00:00
KOSPI,373220,LG에너지솔루션,373220.KS,122850000000000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.409736+00:00
KOSPI,000660,SK하이닉스,000660.KS,86341080489000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.409790+00:00
KOSPI,207940,삼성바이오로직스,207940.KS,56227460000000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.409837+00:00
KOSPI,005490,POSCO홀딩스,005490.KS,50489024310000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.409881+00:00
KOSPI,051910,LG화학,051910.KS,43414290945000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.409925+00:00
KOSPI,006400,삼성SDI,006400.KS,42221421420000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.409969+00:00
KOSPI,005380,현대차,005380.KS,39852535730400.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.410010+00:00
KOSPI,035420,NAVER,035420.KS,36582945955000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.410051+00:00
KOSPI,003670,포스코퓨처엠,003670.KS,34626059340000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.410091+00:00
KOSPI,000270,기아,000270.KS,31480061094900.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.410133+00:00
KOSPI,035720,카카오,035720.KS,23012838422000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.410174+00:00
KOSPI,068270,셀트리온,068270.KS,21665847576000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.410214+00:00
KOSPI,012330,현대모비스,012330.KS,21449858885000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.410254+00:00
KOSPI,105560,KB금융,105560.KS,20901873529600.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.410294+00:00
KOSPI,028260,삼성물산,028260.KS,19245856179000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.410333+00:00
KOSPI,055550,신한지주,055550.KS,18479074756700.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.410378+00:00
KOSPI,096770,SK이노베이션,096770.KS,17688662393200.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.410420+00:00
KOSPI,066570,LG전자,066570.KS,16757536153600.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.410460+00:00
KOSPI,047050,포스코인터내셔널,047050.KS,15305282556000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.410500+00:00
KOSPI,032830,삼성생명,032830.KS,14240000000000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.410554+00:00
KOSPI,323410,카카오뱅크,323410.KS,13492509977100.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.410598+00:00
KOSPI,003550,LG,003550.KS,13055982419000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.410638+00:00
KOSPI,015760,한국전력,015760.KS,12492620938420.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.410678+00:00
KOSPI,329180,HD현대중공업,329180.KS,12028757218000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.410718+00:00
KOSPI,000810,삼성화재,000810.KS,11985833761000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.410757+00:00
KOSPI,033780,KT&G,033780.KS,11546298997700.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.410797+00:00
KOSPI,086790,하나금융지주,086790.KS,11377488652200.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.410835+00:00
KOSPI,352820,하이브,352820.KS,11329370384000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.410874+00:00
KOSPI,009150,삼성전기,009150.KS,11301156204800.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.410913+00:00
KOSPI,034730,SK,034730.KS,11206664169900.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.410953+00:00
KOSPI,034020,두산에너빌리티,034020.KS,10735804806960.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.410991+00:00
KOSPI,018260,삼성에스디에스,018260.KS,10546594140000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.411030+00:00
KOSPI,017670,SK텔레콤,017670.KS,10175741196000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.411069+00:00
KOSPI,042660,한화오션,042660.KS,10084613053500.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.411109+00:00
KOSPI,010130,고려아연,010130.KS,10030894790000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.411153+00:00
KOSPI,003490,대한항공,003490.KS,9039817227550.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.411199+00:00
KOSPI,010950,S-Oil,010950.KS,8747682938400.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.411239+00:00
KOSPI,009540,HD한국조선해양,009540.KS,8698015956400.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.411278+00:00
KOSPI,011200,HMM,011200.KS,8460383280800.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.411317+00:00
KOSDAQ,086520,에코프로,086520.KQ,28677998436000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.414466+00:00
KOSDAQ,028300,HLB,028300.KQ,3696277652200.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.414547+00:00
KOSDAQ,068760,셀트리온제약,068760.KQ,3374701113600.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.414604+00:00
KOSDAQ,041510,에스엠,041510.KQ,3288664338000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.414652+00:00
KOSDAQ,048260,오스템임플란트,048260.KQ,2959531200000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.414696+00:00
KOSDAQ,403870,HPSP,403870.KQ,2929839900000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.414739+00:00
KOSDAQ,277810,레인보우로보틱스,277810.KQ,2781761697000.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.414780+00:00
KOSDAQ,393890,더블유씨피,393890.KQ,2382343822600.0,FinanceData/marcap point-in-time KRX market-cap snapshot,2023-08-08,2026-08-17 12:14:11.414819+00:00
