stage,count,conversion_from_prior
RAW_DORO_AGG_SETUP_IN_JULY,23,1.0
BULL_GATE_PASS,3,0.13043478260869565
ENTRY_IN_REPLAY_WINDOW,3,1.0
RISK_ACCEPTED_AND_TRADED,3,1.0
PORTFOLIO_RISK_REJECT,0,0.0
