period_type,period,trades,pnl,pf,winrate,cost_bps_side
year,2023,52,-62.07519558620865,0.737680322911087,0.4807692307692308,5.0
year,2024,162,225.58296401509776,1.3880643593505044,0.5370370370370371,5.0
year,2025,140,160.383981171301,1.282697722989304,0.5357142857142857,5.0
year,2026,86,79.75530362034942,1.1850229603679672,0.5697674418604651,5.0
month,2023-09,6,-41.754738602026606,0.28390698618486837,0.5,5.0
month,2023-10,17,45.36541863780087,1.7692535358521952,0.5882352941176471,5.0
month,2023-11,13,-24.204456243436,0.504782420443876,0.5384615384615384,5.0
month,2023-12,16,-41.48141937854692,0.41144985287336455,0.3125,5.0
month,2024-01,15,88.46539052596165,3.4784433833172717,0.5333333333333333,5.0
month,2024-02,15,31.294095571865853,1.9662118918987912,0.6,5.0
month,2024-03,14,48.81334873793608,3.478937685612563,0.7142857142857143,5.0
month,2024-04,12,-34.10016075557505,0.40315912331369563,0.4166666666666667,5.0
month,2024-05,18,-3.9594195035830637,0.9310832343793531,0.5,5.0
month,2024-06,14,70.36108786021848,2.9746276324036254,0.6428571428571429,5.0
month,2024-07,17,-124.61606209136374,0.1668827935446051,0.29411764705882354,5.0
month,2024-08,12,-5.056467504795194,0.8836075628627895,0.5833333333333334,5.0
month,2024-09,11,31.77616053003456,1.7616176747596124,0.5454545454545454,5.0
month,2024-10,13,41.32689789406035,3.848314626741943,0.6923076923076923,5.0
month,2024-11,12,39.38362221600593,1.9070341031802127,0.6666666666666666,5.0
month,2024-12,9,41.8944705343319,1.8273421239486616,0.2222222222222222,5.0
month,2025-01,14,46.97901627277378,2.312542797262429,0.5714285714285714,5.0
month,2025-02,13,-9.088117775192728,0.8089142191240914,0.6153846153846154,5.0
month,2025-03,10,-27.223885553343308,0.5301558663783082,0.4,5.0
month,2025-04,7,24.38434030122977,1.6567932614442504,0.7142857142857143,5.0
month,2025-05,10,16.8427362819711,1.5413440642945127,0.5,5.0
month,2025-06,9,-8.284798161787535,0.8090829608750765,0.3333333333333333,5.0
month,2025-07,12,32.77813105762067,3.562658464409373,0.6666666666666666,5.0
